,pc_fee,sav_i,sav_f
1218356,0.03330143489521148,0.0,-0.03330143489521148
1218404,0.039807859759325395,0.0,-0.039807859759325395
1218421,0.04559237709816355,0.0,-0.04559237709816355
1218476,0.05407547188095105,0.0,-0.05407547188095105
1218487,0.033030182004602206,0.0,-0.033030182004602206
1218515,0.047533329191573506,0.0,-0.047533329191573506
1218584,0.043831465498556876,0.0,-0.043831465498556876
1218661,0.05377938699839376,0.0,-0.05377938699839376
1218682,0.039345366293769536,0.0,-0.039345366293769536
1218744,0.0338506732113011,0.0,-0.0338506732113011
1218764,0.05123215927047477,0.0,-0.05123215927047477
1218915,0.040173589693765596,0.0,-0.040173589693765596
1218918,0.06263658291510245,0.0,-0.06263658291510245
1218920,0.05868466105099692,0.0,-0.05868466105099692
1218978,0.0499736598502312,0.0,-0.0499736598502312
1219028,0.042992477494003194,0.0,-0.042992477494003194
1219038,0.04044785211730854,0.0,-0.04044785211730854
1219167,0.0466525521740675,0.0,-0.0466525521740675
1219169,0.0570036322579575,0.0,-0.0570036322579575
1219187,0.03564374275319634,0.0,-0.03564374275319634
1219189,0.061412799429252804,0.0,-0.061412799429252804
1219239,0.03946313825869552,0.0,-0.03946313825869552
1219324,0.041504874040771265,0.0,-0.041504874040771265
1219326,0.04924903464221906,0.0,-0.04924903464221906
1219360,0.05596054259653152,0.0,-0.05596054259653152
1219363,0.05380446907491626,0.0,-0.05380446907491626
1219368,0.03323860126543446,0.0,-0.03323860126543446
1219382,0.04721282500040838,0.0,-0.04721282500040838
1219397,0.06085631458458483,0.0,-0.06085631458458483
1219418,0.02916332255923545,0.0,-0.02916332255923545
1219448,0.02932680148926307,0.0,-0.02932680148926307
1219460,0.024391776324238463,0.0,-0.024391776324238463
1219469,0.05887743741031467,0.0,-0.05887743741031467
1219541,0.05507250601440505,0.0,-0.05507250601440505
1219548,0.044356116894206175,0.0,-0.044356116894206175
1219557,0.03880508685660405,0.0,-0.03880508685660405
1219594,0.04469662753611362,0.0,-0.04469662753611362
1219616,0.053294196332863614,0.0,-0.053294196332863614
1219632,0.05041653069083665,0.0,-0.05041653069083665
