region,hazard,rp,c,dc0,dc_post_reco
ARMM,EQ,1,243302.09000000003,220999.41250000003,301.3211222559921
ARMM,EQ,1,98041.719,75739.0415,364.94529016402487
ARMM,EQ,1,116599.21000000002,94296.53250000002,345.01094575221344
ARMM,EQ,1,21066.311000000005,9443.410060535609,8474.537537639866
ARMM,EQ,1,26179.943,9827.285298006482,0.06075560800203481
ARMM,EQ,1,23040.299000000006,6687.641298006485,5599.243320746317
ARMM,EQ,1,18463.852000000006,7180.351410464005,6443.66358882559
ARMM,EQ,1,25606.15000000001,10070.070305263149,9040.236430496623
ARMM,EQ,1,25441.725,9089.067298006485,7923.89861605004
ARMM,EQ,1,32336.27100000001,15983.613298006492,578.9375227386499
ARMM,EQ,1,28000.33800000001,11647.680298006491,1421.346300712872
ARMM,EQ,1,24290.74000000001,7938.08229800649,7072.821761792727
ARMM,EQ,1,14660.443000000005,5844.9205091345975,5245.244878879362
ARMM,EQ,1,25692.90800000001,9340.250298006491,882.4153877932982
ARMM,EQ,1,28644.793000000005,12292.135298006488,7743.342890099194
ARMM,EQ,1,21983.363000000005,10508.586530016228,9430.429309463678
ARMM,EQ,1,41782.48800000001,25429.8302980065,1007.3751578965224
ARMM,EQ,1,75756.96100000001,53454.28350000001,0.03518658933046605
ARMM,EQ,1,17893.768000000004,3896.913465855837,3497.098954258106
ARMM,EQ,1,20441.686,4524.793238456721,4061.074053038697
ARMM,EQ,1,20354.516000000007,4001.8582980064893,3020.714025127134
ARMM,EQ,1,29381.92200000001,13029.264298006487,1938.4622368343796
ARMM,EQ,1,14467.27099999999,2250.5107459864025,2019.6085559797732
ARMM,EQ,1,9765.75679999997,985.1302312830243,884.0514105177996
ARMM,EQ,1,14189.76599999998,1840.6643329814765,1651.808695690403
ARMM,EQ,1,26386.826,10034.16829800648,2.3602471261854867
ARMM,EQ,1,24692.90000000001,9772.019133137506,8769.432062300151
ARMM,EQ,1,12662.072000000002,1488.2673432342956,1335.5744784386973
ARMM,EQ,1,16819.752000000008,1870.562716948791,1678.6472110894488
ARMM,EQ,1,14568.435,2025.1723239648272,1817.3933444001048
ARMM,EQ,1,19211.766000000003,2859.1082980064857,1668.8538226366675
ARMM,EQ,1,16270.782000000007,5574.49071110274,5002.560566747803
ARMM,EQ,1,15593.180000000002,5694.596378086001,5110.34366382907
ARMM,EQ,1,16000.623,5773.025723452765,5180.726335671391
ARMM,EQ,1,13540.620999999996,5216.3959654338505,4681.203094746709
ARMM,EQ,1,11936.803999999998,1150.5229613532374,1032.4809924521574
ARMM,EQ,1,21340.802999999967,4988.1452980064505,3542.0363465471532
ARMM,EQ,1,217936.58,195633.90250000003,0.08466766157879077
ARMM,EQ,1,18579.625,4448.066104325214,3991.7006777739375
ARMM,EQ,1,28168.06600000001,11815.408298006487,10040.956341922678
ARMM,EQ,1,40491.92200000001,24139.26429800649,8767.641415280594
ARMM,EQ,1,47652.73400000001,31300.076298006494,3876.5919368741443
ARMM,EQ,1,32448.801,16096.143298006482,2157.7969156736053
ARMM,EQ,1,27148.196999999996,10795.539298006475,0.02296706280386869
ARMM,EQ,1,17948.328,1717.9103115764303,1542.2109877279306
ARMM,EQ,1,20872.67799999999,4520.0202980064705,4218.096925083082
ARMM,EQ,1,15453.292999999969,5334.456166688869,4787.141323112411
ARMM,EQ,1,236120.69000000012,213818.01250000013,381.30213076484796
ARMM,EQ,1,78659.79700000005,56357.11950000004,0.04992009165145299
ARMM,EQ,1,50589.066,34236.408298006485,497.48812825345163
ARMM,EQ,1,140935.58000000005,118632.90250000005,135.38710721271616
ARMM,EQ,1,24142.43600000001,10209.02083123353,9161.59837412894
ARMM,EQ,1,20699.721,7248.112363008503,6504.470331398802
ARMM,EQ,1,18379.77500000001,6274.724011724349,5630.951513787405
ARMM,EQ,1,18344.682000000008,8460.417640588472,7592.397917666082
ARMM,EQ,1,22801.00600000001,8312.405534369083,7459.571518924462
ARMM,EQ,1,15999.516000000005,6819.20676452746,6119.5715670995605
ARMM,EQ,1,18754.285000000003,6898.8327304066215,6191.028088894984
ARMM,EQ,1,68036.97700000001,51684.319298006485,971.9087603680232
ARMM,EQ,1,22240.632999999998,5887.975298006484,4.798459491575478
ARMM,EQ,1,29673.542999999998,13320.885298006482,0.042845204582127205
ARMM,EQ,1,30097.895999999993,13745.238298006478,11024.180466002384
ARMM,EQ,1,62615.32800000003,40312.65050000002,0.027879308159112985
ARMM,EQ,1,74621.10900000003,52318.43150000001,427.9839602958682
ARMM,EQ,1,29568.06100000001,13215.403298006497,0.4106223310391017
ARMM,EQ,1,44617.312999999995,28264.655298006484,476.0818306124573
ARMM,EQ,1,64729.30900000002,42426.63150000002,0.03542604436847277
ARMM,EQ,1,111140.91000000002,88838.23250000001,0.04522771224953341
ARMM,EQ,1,49402.30100000001,33049.64329800649,710.4448716063039
ARMM,EQ,1,25535.25600000001,9182.598298006491,2988.07925008468
ARMM,EQ,1,17854.453000000005,6560.4800574811825,5887.389635276379
ARMM,EQ,1,18049.627000000004,7400.171300509162,6640.930455112863
ARMM,EQ,1,21050.871000000006,9578.06553298896,8595.377663043657
ARMM,EQ,1,19140.492000000006,9003.840124054246,8080.066482877893
ARMM,EQ,1,21132.137000000006,9646.578702404811,8656.861536169505
ARMM,EQ,1,21142.00600000001,4789.348298006491,4208.669805480316
ARMM,EQ,1,27279.287000000004,12638.992387537844,11342.260342347025
ARMM,EQ,1,23346.767999999996,9320.604586642072,8364.330374074685
ARMM,EQ,1,19313.260000000006,7992.942920680323,7172.885047170806
ARMM,EQ,1,37827.42200000001,21474.764298006485,0.12421438696189695
ARMM,EQ,1,39478.04700000001,23125.38929800649,0.04177350329957565
ARMM,EQ,1,31803.641,15450.983298006477,0.013229369802207123
ARMM,EQ,1,40550.086,24197.42829800649,529.4691525273206
ARMM,EQ,1,26021.849999999995,9669.192298006476,845.7489941215185
ARMM,EQ,1,39276.79299999998,22924.135298006473,614.626613948911
ARMM,EQ,1,27355.366999999995,11002.709298006477,0.011440859916631407
ARMM,EQ,1,59169.49600000003,42816.838298006514,541.6389877923484
ARMM,EQ,1,52427.59800000001,36074.94029800649,470.1497912946483
ARMM,EQ,1,60632.23,38329.55250000001,520.2394396334519
