district,hazard,rp,c,di0,dc_post_reco
Ampara,PF,25.0,42252.357492762654,2825.382784727489,1560.9135041182485
Ampara,PF,25.0,93913.92441984806,8916.711434709203,343.63013190617363
Ampara,PF,25.0,189888.6856409037,32285.850570112,449.8199527475492
Ampara,PF,25.0,185509.34298591863,19607.23912864425,254.08736046229296
Ampara,PF,25.0,119898.13979649331,19885.864537736245,497.31115713265734
Ampara,PF,25.0,111919.77406413488,16577.267918661968,511.503138685584
Ampara,PF,25.0,93183.22148625033,8889.985030313752,342.13956698189173
Ampara,PF,25.0,107344.1093408532,11412.507784554817,344.2484831716472
Ampara,PF,25.0,205348.45379920868,14672.681541233052,162.01181305440332
Ampara,PF,25.0,173354.8940908811,17085.632229214054,237.8716931530236
Ampara,PF,25.0,187465.38015382012,13886.835843449611,167.9109011854925
Ampara,PF,25.0,98596.59187730367,12420.570802070113,464.14650986313035
Ampara,PF,25.0,102960.38392137557,12118.25920598448,411.10499854049567
Ampara,PF,25.0,145296.45924711804,14778.427570533733,271.00784965685057
Ampara,PF,25.0,115446.79793016614,10634.065553521315,271.238709949971
Ampara,PF,25.0,95713.34806887248,9769.948100984764,363.6006510022924
Ampara,PF,25.0,118300.70416932732,18432.253212990443,521.1699686724556
Ampara,PF,25.0,162407.36947555462,16240.28726068007,251.2266762016906
Ampara,PF,25.0,135090.4772904041,13195.17445081777,269.73444672823774
Ampara,PF,25.0,193195.02442425364,16257.793278332354,190.960257309033
Ampara,PF,25.0,223168.49297880792,27061.5011449343,284.80773413926204
Ampara,PF,25.0,106203.66480169297,15979.892333957412,470.34901768939005
Ampara,PF,25.0,70673.87625003772,6859.063234844281,536.1606238782389
Ampara,PF,25.0,153145.779518002,15883.397960579761,266.3123754694524
Ampara,PF,25.0,140821.9379471914,16622.231581248292,322.96643137882717
Ampara,PF,25.0,78970.09787569742,9439.620838058152,452.1977321409405
Ampara,PF,25.0,83271.05467054789,15662.291814729218,806.0891687847745
Ampara,PF,25.0,70734.51425770205,7998.476988658029,484.72857185003255
Ampara,PF,25.0,71504.66207173231,8157.781537975723,488.6842334568461
Ampara,PF,25.0,81724.67121854657,8135.0459612855775,427.3942041689736
Ampara,PF,25.0,100857.9694505974,11679.105932349628,404.4492987708396
Ampara,PF,25.0,57803.870739869206,4990.97978065224,489.26861949812377
Ampara,PF,25.0,94081.00852715856,10234.566383665417,399.8488255544268
Ampara,PF,25.0,75890.20973687463,6865.737240360892,429.32432953630683
Ampara,PF,25.0,133527.58815982606,14889.256927531347,310.0217114125148
Ampara,PF,25.0,79043.60878923077,5797.937101364079,312.81173856114845
Ampara,PF,25.0,105490.68042401144,12504.51791750969,401.77165769604807
Ampara,PF,25.0,76291.41432657403,6672.955425242013,402.9036927255609
Ampara,PF,25.0,61854.17793651072,5020.8870617908315,388.7596719220629
Ampara,PF,25.0,60139.52093710272,4179.996824666016,529.4142357756499
Ampara,PF,25.0,73982.16032457947,8304.781123220286,449.43245546111746
Ampara,PF,25.0,48479.72385035916,5262.833156927862,1255.1503127438668
Ampara,PF,25.0,122010.1283811495,17079.625934098298,438.81423741209466
Ampara,PF,25.0,113963.02121426426,15608.156247651415,453.62627783052767
Ampara,PF,25.0,48267.66367320316,4385.476195076923,948.2170410763248
Ampara,PF,25.0,102752.68307146881,11893.348547933325,402.2386850325987
Ampara,PF,25.0,102511.32634021855,14069.773964186095,499.1517910672385
Ampara,PF,25.0,117624.53970083149,18930.183977017332,484.9303779638983
Ampara,PF,25.0,73980.66620032066,6071.882375733712,399.14532386447587
Ampara,PF,25.0,173241.03596304913,21771.243067835585,324.2105269454422
Ampara,PF,25.0,112471.49848945989,19388.11490114519,550.8592062552884
Ampara,PF,25.0,130927.67132604057,10792.750920912958,227.79379550477168
