region,hazard,rp,c,di0,dc_post_reco
ARMM,EQ,30,243302.09000000003,40091.073346331985,0.25075639960365353
ARMM,EQ,30,98041.719,18904.415818190308,1.349616937079913
ARMM,EQ,30,116599.21000000002,22253.986509385108,0.7952021320535241
ARMM,EQ,30,21066.311000000005,8930.771163251251,7789.576243852637
ARMM,EQ,30,26179.943,2813.044410243396,0.4668828089595846
ARMM,EQ,30,23040.299000000006,5317.261620207435,1655.9128034152966
ARMM,EQ,30,18463.852000000006,8551.95155550708,7459.1630955086475
ARMM,EQ,30,25606.15000000001,9536.19791509142,9762.204813832614
ARMM,EQ,30,25441.725,9587.084018866266,9721.595903310572
ARMM,EQ,30,32336.27100000001,2758.147093425849,0.016388633026111356
ARMM,EQ,30,28000.33800000001,5598.775448338771,1215.8346023483234
ARMM,EQ,30,24290.74000000001,8392.666171875322,7988.969522304833
ARMM,EQ,30,14660.443000000005,5373.02256744532,4686.4451214781075
ARMM,EQ,30,25692.90800000001,3001.2898414216784,321.3773463237452
ARMM,EQ,30,28644.793000000005,13237.170844954298,12942.050430966377
ARMM,EQ,30,21983.363000000005,7853.760388803465,6850.188436276384
ARMM,EQ,30,41782.48800000001,9535.241789114894,43.074488848104544
ARMM,EQ,30,75756.96100000001,16784.02331739357,4.732235423938377
ARMM,EQ,30,17893.768000000004,3738.5290182428994,3260.810997743324
ARMM,EQ,30,20441.686,4997.612277550965,4363.8673987564825
ARMM,EQ,30,20354.516000000007,1841.7987348143804,15.29778846477874
ARMM,EQ,30,29381.92200000001,6481.78449115592,216.5728668563895
ARMM,EQ,30,14467.27099999999,1104.2196959982348,963.0390739908554
ARMM,EQ,30,9765.75679999997,1212.728125861644,1057.652017259538
ARMM,EQ,30,14189.76599999998,2428.9145475904065,2118.415498849596
ARMM,EQ,30,26386.826,2223.412682973848,0.021840583932729325
ARMM,EQ,30,24692.90000000001,8514.834838964181,1502.3858685283396
ARMM,EQ,30,12662.072000000002,2685.816354834602,2342.616431496837
ARMM,EQ,30,16819.752000000008,1677.2446768648822,1462.9224118736295
ARMM,EQ,30,14568.435,2260.4516572586044,1971.5912839043488
ARMM,EQ,30,19211.766000000003,3198.1097167513244,3281.2568158524846
ARMM,EQ,30,16270.782000000007,5738.582860703768,5005.293261690128
ARMM,EQ,30,15593.180000000002,5562.309451020509,4851.544482397505
ARMM,EQ,30,16000.623,7517.379015186074,6556.7906648066
ARMM,EQ,30,13540.620999999996,6002.891304986501,5235.7873344378
ARMM,EQ,30,11936.803999999998,2105.791530271396,1836.6933850060889
ARMM,EQ,30,21340.802999999967,4185.359588085297,1477.5445253022885
ARMM,EQ,30,217936.58,24414.384575333534,0.14367271077573834
ARMM,EQ,30,18579.625,4874.947490127126,4251.950579443912
ARMM,EQ,30,28168.06600000001,9563.81602084404,1691.434868370143
ARMM,EQ,30,40491.92200000001,16125.714016842207,1682.8993348251352
ARMM,EQ,30,47652.73400000001,17623.880422509355,1699.189351664463
ARMM,EQ,30,32448.801,8713.183422725211,528.1398120934973
ARMM,EQ,30,27148.196999999996,3633.7012720293733,4.073266134592468
ARMM,EQ,30,17948.328,2441.0489589376903,2134.3339511920262
ARMM,EQ,30,20872.67799999999,2382.827650929599,4916.268572176187
ARMM,EQ,30,15453.292999999969,4781.965724992149,4170.720906339271
ARMM,EQ,30,236120.69000000012,37382.79187596293,0.22671925045182026
ARMM,EQ,30,78659.79700000005,12753.501817329243,0.2796579794264195
ARMM,EQ,30,50589.066,9512.49911343775,1.9837344854243948
ARMM,EQ,30,140935.58000000005,27267.78908222413,0.7130738735609083
ARMM,EQ,30,24142.43600000001,9435.189443763062,8229.745548738247
ARMM,EQ,30,20699.721,8973.134049376165,7826.491257203387
ARMM,EQ,30,18379.77500000001,7258.828447268233,6331.278295844026
ARMM,EQ,30,18344.682000000008,6638.395714685189,5790.125915350377
ARMM,EQ,30,22801.00600000001,8845.440464681975,7715.149302405333
ARMM,EQ,30,15999.516000000005,5279.1256347595945,4604.546559433538
ARMM,EQ,30,18754.285000000003,6520.747337735636,5687.510924386884
ARMM,EQ,30,68036.97700000001,15062.818434801231,5.973344343162142
ARMM,EQ,30,22240.632999999998,4446.981786125423,1711.548763620061
ARMM,EQ,30,29673.542999999998,4925.343762530329,15.702512266026252
ARMM,EQ,30,30097.895999999993,9336.51825090108,1632.2326765362552
ARMM,EQ,30,62615.32800000003,13380.30915415963,4.771676122643095
ARMM,EQ,30,74621.10900000003,10241.241783353522,0.07560073049505962
ARMM,EQ,30,29568.06100000001,2986.5062270538847,0.03856571803511023
ARMM,EQ,30,44617.312999999995,4656.4342708586155,0.04815515275521347
ARMM,EQ,30,64729.30900000002,7918.139332495925,0.05159642039778113
ARMM,EQ,30,111140.91000000002,15863.478213690803,0.09769137671687186
ARMM,EQ,30,49402.30100000001,8186.258579565936,0.4091192973536072
ARMM,EQ,30,25535.25600000001,6861.708984419455,448.6385536877684
ARMM,EQ,30,17854.453000000005,7015.7975854164315,6119.302488447497
ARMM,EQ,30,18049.627000000004,6839.239088228296,5965.305050801101
ARMM,EQ,30,21050.871000000006,9616.66756001052,8387.8271877269
ARMM,EQ,30,19140.492000000006,6756.323906113814,5892.984965441466
ARMM,EQ,30,21132.137000000006,8388.299469361482,7316.422857382045
ARMM,EQ,30,21142.00600000001,5965.169084148856,5208.289762714171
ARMM,EQ,30,27279.287000000004,9166.155325542288,1716.6886765768631
ARMM,EQ,30,23346.767999999996,9928.797596641729,8660.051728822218
ARMM,EQ,30,19313.260000000006,7997.326320020669,6975.4091755377185
ARMM,EQ,30,37827.42200000001,5522.216602167044,0.3830071096958039
ARMM,EQ,30,39478.04700000001,6105.6338419993335,0.6052336691819407
ARMM,EQ,30,31803.641,4191.4292039787515,0.4856292369936693
ARMM,EQ,30,40550.086,4992.240141977562,0.040737337190294334
ARMM,EQ,30,26021.849999999995,1942.3874380293394,0.012746015736523494
ARMM,EQ,30,39276.79299999998,5475.144194182527,0.15755359521860876
ARMM,EQ,30,27355.366999999995,4902.256383922188,69.53417613595546
ARMM,EQ,30,59169.49600000003,8447.661570972996,0.21320010191081087
ARMM,EQ,30,52427.59800000001,9059.252233396244,0.5488228182894814
ARMM,EQ,30,60632.23,4972.419192948192,0.029272881356355668
ARMM,EQ,30,20574.4839999999,3168.2150495946503,1311.203859056423
ARMM,EQ,30,29654.223000000005,11559.655969427175,1774.495218452061
ARMM,EQ,30,49582.765999999996,7130.601251335634,0.9037717688563782
ARMM,EQ,30,36033.031,5392.690776933659,0.7941442684338815
ARMM,EQ,30,26691.490000000005,6996.263525453096,422.98648325893004
ARMM,EQ,30,74134.26600000003,15499.062676657772,2.3286138536635805
ARMM,EQ,30,40324.543,5936.50824166589,0.2686177430022247
ARMM,EQ,30,24047.217000000004,6683.124539073053,568.039045870442
ARMM,EQ,30,22369.79900000001,6611.736837946183,6450.206832575024
ARMM,EQ,30,37075.246,4734.129601967409,392.0041706805702
ARMM,EQ,30,39071.258000000016,7178.286122588632,634.0763940387063
ARMM,EQ,30,26297.23,3773.637543427017,802.1454702813215
ARMM,EQ,30,33310.34000000001,5307.964417808104,620.0072797979624
ARMM,EQ,30,54972.60500000002,8722.419724303612,513.4286269741308
ARMM,EQ,30,35898.86700000001,7072.160230346969,777.2714824173454
ARMM,EQ,30,35811.52,6209.28794487481,645.1413710943623
ARMM,EQ,30,19809.043,3747.936542202838,4099.54261877665
ARMM,EQ,30,31539.020000000015,2885.5012626500047,0.018072333354784174
ARMM,EQ,30,23157.06400000001,15247.635853011228,13299.257123983098
ARMM,EQ,30,31960.361000000015,12851.80678916235,1790.9594068666208
ARMM,EQ,30,30421.029000000013,5831.013834747721,953.8476409136427
ARMM,EQ,30,23679.551000000003,6056.21298973959,1625.601072446705
ARMM,EQ,30,43158.81300000002,9456.229702400906,766.4011660356857
ARMM,EQ,30,59057.16800000001,6429.753645612967,0.03900886013568442
ARMM,EQ,30,17095.063000000006,3083.6681800175493,2689.629815824812
ARMM,EQ,30,29049.367000000013,13840.027872496621,12795.487153690176
ARMM,EQ,30,22669.916,6436.483330959465,6349.363446323516
ARMM,EQ,30,52692.141,11371.802642707142,637.7312750129907
ARMM,EQ,30,44630.92200000001,5470.036971386919,373.56423500433385
ARMM,EQ,30,17699.430000000004,4186.169390937957,3651.250832019107
ARMM,EQ,30,22091.17800000001,5347.498780993643,1676.027215398225
ARMM,EQ,30,26347.422,6973.65404245487,1645.2499124938988
ARMM,EQ,30,20448.898000000005,2638.2522551953075,1267.150681287097
ARMM,EQ,30,23171.99200000001,7608.6653324136205,7348.115969917412
ARMM,EQ,30,22442.20700000001,4184.7224809732725,1789.9977499376187
ARMM,EQ,30,21791.895000000004,2497.335997327118,994.5861157281456
ARMM,EQ,30,28849.123,4183.936139393514,667.2233337157454
ARMM,EQ,30,22999.85000000001,3308.8559614073492,1198.879947127717
ARMM,EQ,30,19642.471,2521.610599572789,1411.894572093658
ARMM,EQ,30,13303.598999999984,1041.1954645908504,908.0520598825524
ARMM,EQ,30,291517.5600000001,57480.14372366557,0.7104006855120216
ARMM,EQ,30,14967.789999999992,1892.5297605181781,1650.642431923062
ARMM,EQ,30,31645.38500000001,7006.82805449678,139.02926110230948
ARMM,EQ,30,24289.865,4186.811315808608,166.3616377269432
ARMM,EQ,30,40385.16800000001,6949.007409714689,2.105471568674719
ARMM,EQ,30,27944.36500000001,4492.762787380016,20.58647689550533
ARMM,EQ,30,12165.500999999946,1070.257115135262,933.2740415044052
ARMM,EQ,30,19204.663999999993,3464.1853736634007,3019.0003212479937
ARMM,EQ,30,17173.164000000008,5751.692155187402,5016.7274197283
ARMM,EQ,30,19130.064,3595.0448482631236,3136.2559120960686
ARMM,EQ,30,15671.533999999996,3302.1370495283195,2880.1283298142353
ARMM,EQ,30,14494.194000000005,3310.756934974051,2887.7006361963035
ARMM,EQ,30,27029.57800000001,4267.84465114542,24.58557023679717
ARMM,EQ,30,46976.992,6974.579127414325,0.12838369251844906
ARMM,EQ,30,13565.215000000006,2268.935971030977,1979.0060024706052
ARMM,EQ,30,26852.838,7231.887955780966,511.0277830559112
ARMM,EQ,30,35611.426,10160.079762207612,549.442668534968
ARMM,EQ,30,17086.484000000004,3630.4925767508116,3166.579706544192
ARMM,EQ,30,17601.882999999998,2050.388773646416,1787.1477474508185
ARMM,EQ,30,22220.525000000005,2004.3167215907813,1.543804403444459
ARMM,EQ,30,17064.188999999988,5852.171864619117,5104.2692078228865
ARMM,EQ,30,15619.78699999998,1086.5864125874118,947.604045004892
ARMM,EQ,30,45293.41800000001,9228.143659756082,8.820401333642783
ARMM,EQ,30,19939.238000000005,2671.5198701343834,1581.4591743694089
ARMM,EQ,30,14487.589999999987,4653.318030850706,4058.6409912015442
ARMM,EQ,30,14750.608000000002,1911.0802069709484,1666.8584881622091
ARMM,EQ,30,10870.833999999992,4351.667106980395,3795.580074919023
ARMM,EQ,30,14942.674999999996,5886.8379450387465,5134.561524575116
ARMM,EQ,30,28330.016000000003,8171.508687937354,641.0199136956804
ARMM,EQ,30,13812.413,3198.2117137096293,2789.5164988904235
