district,hazard,rp,fa,v
Ampara,PF,5.0,0.006930608294579782,0.12821785418996365
Ampara,PF,10.0,0.008426316494905885,0.12914206938034586
Ampara,PF,25.0,0.009828234412043231,0.12688644896326756
Ampara,PF,50.0,0.010428821313164235,0.12745831125908072
Ampara,PF,100.0,0.011202179788580322,0.12822334412239475
Ampara,PF,250.0,0.01195743838478438,0.1279825160085016
Ampara,PF,500.0,0.01339720150391002,0.12661669594810063
Ampara,PF,1000.0,0.014224859616961731,0.1268750033186293
Anuradhapura,PF,5.0,0.006330466647397313,0.12294101727687999
Anuradhapura,PF,10.0,0.00935187802799778,0.12164555499626424
Anuradhapura,PF,25.0,0.010021512995061654,0.12063940722700739
Anuradhapura,PF,50.0,0.010336770694332248,0.12112100123910995
Anuradhapura,PF,100.0,0.011671438326280894,0.11989482695806743
Anuradhapura,PF,250.0,0.012866886317310634,0.12323542306704154
Anuradhapura,PF,500.0,0.013529617831105649,0.12099501177852269
Anuradhapura,PF,1000.0,0.015029968341503153,0.12223640839452404
Badulla,PF,5.0,0.004263967575954684,0.1590376427367083
Badulla,PF,10.0,0.0049131604137707605,0.15608211371936
Badulla,PF,25.0,0.005452357122920164,0.1579077825321044
Badulla,PF,50.0,0.00582548124565165,0.15930549897119617
Badulla,PF,100.0,0.00601204330701756,0.15857764907681351
Badulla,PF,250.0,0.006368991528474515,0.15600801331104103
Badulla,PF,500.0,0.006467125329539702,0.15810902750437336
Badulla,PF,1000.0,0.006751821191970734,0.15745362356799286
Batticaloa,PF,5.0,0.02242391170786471,0.1322744145640851
Batticaloa,PF,10.0,0.027406758112357165,0.1326147655024676
Batticaloa,PF,25.0,0.029769143459507038,0.13358021159584688
Batticaloa,PF,50.0,0.03222858291989158,0.13140729790591157
Batticaloa,PF,100.0,0.03427995394962863,0.1335576694958961
Batticaloa,PF,250.0,0.0358548775143958,0.13305332327813274
Batticaloa,PF,500.0,0.03845107504342943,0.13371468436893594
Batticaloa,PF,1000.0,0.04739990543874808,0.13341916085558955
Colombo,PF,5.0,0.12412586759515694,0.13175873767309065
Colombo,PF,10.0,0.13133204411957303,0.13118303210967025
Colombo,PF,25.0,0.15561494670714765,0.1310698939592286
Colombo,PF,50.0,0.17667630335908313,0.1322083166566392
Colombo,PF,100.0,0.19439609065949418,0.1310143778296665
Colombo,PF,250.0,0.20639953337724085,0.1324026216608722
Colombo,PF,500.0,0.21595919657585325,0.1306624948880838
Colombo,PF,1000.0,0.22046062523655713,0.13164803347611756
Galle,PF,5.0,0.006917560529979395,0.12697711013948598
Galle,PF,10.0,0.007574196254036812,0.12703560670867226
Galle,PF,25.0,0.00898076982916152,0.12680903270707275
Galle,PF,50.0,0.011753427377124046,0.1281472092579223
Galle,PF,100.0,0.01338885522604888,0.12687271042862786
Galle,PF,250.0,0.014240897291581229,0.12707918619160435
Galle,PF,500.0,0.014662517280620768,0.1264770572396354
Galle,PF,1000.0,0.015273382149917648,0.12689854982207652
Gampaha,PF,5.0,0.026817850098786688,0.12544997302768013
Gampaha,PF,10.0,0.030172040839041382,0.12395323762964841
Gampaha,PF,25.0,0.041413783321350185,0.12511575479835846
Gampaha,PF,50.0,0.04427984634256051,0.1253476898509156
Gampaha,PF,100.0,0.04900654249801658,0.12472063466777274
Gampaha,PF,250.0,0.05080969761360618,0.12461020805486002
Gampaha,PF,500.0,0.05385037188846249,0.12455246718498553
Gampaha,PF,1000.0,0.05712966702865103,0.12602233013358083
Hambantota,PF,5.0,0.02716178153380753,0.12556326689052633
Hambantota,PF,10.0,0.03155195354910839,0.12700889179215305
Hambantota,PF,25.0,0.03612972543686759,0.12641112197235765
Hambantota,PF,50.0,0.040014047796073975,0.12797830095131077
Hambantota,PF,100.0,0.04097884714014573,0.1273818804341614
Hambantota,PF,250.0,0.045583419009684635,0.12613701654908469
Hambantota,PF,500.0,0.04723831788458535,0.1263721106913617
Hambantota,PF,1000.0,0.04942754139622235,0.12713910776609935
Kalutara,PF,5.0,0.047832421101091545,0.1505792706912806
Kalutara,PF,10.0,0.05514786984599606,0.15048913810643902
Kalutara,PF,25.0,0.06427031190916886,0.1497716358547434
Kalutara,PF,50.0,0.0769817476169162,0.1511129511910779
Kalutara,PF,100.0,0.09080370526714987,0.1508435497912566
Kalutara,PF,250.0,0.09535242980275956,0.15093421537738494
Kalutara,PF,500.0,0.09861734765166917,0.15248555031875632
Kalutara,PF,1000.0,0.10236712954448902,0.1538519686656467
Kandy,PF,5.0,0.003359889984477003,0.12139126574421796
Kandy,PF,10.0,0.004471377191052688,0.12284501699006521
Kandy,PF,25.0,0.005705991216418146,0.12328952998182408
Kandy,PF,50.0,0.005828448867714701,0.12217433148837707
Kandy,PF,100.0,0.006276791088308134,0.12360187835074019
Kandy,PF,250.0,0.00703562702584984,0.12283016568281642
Kandy,PF,500.0,0.007446495866811466,0.12454334875074842
Kandy,PF,1000.0,0.007642561942384584,0.1239920477658917
