district,hazard,rp,dk_tot,dw_tot,res_tot,fa,dk_famax,dw_famax
Ampara,PF,5.0,1251.0064295447185,3565.603798839521,0.3508540208398581,0.06,0.0,0.0
Ampara,PF,10.0,1520.9885863481727,4443.751891574821,0.34227576684285804,0.07,0.0,0.0
Ampara,PF,25.0,1774.0411689626312,4938.847567977949,0.3592014421471515,0.08,0.0,0.0
Ampara,PF,50.0,1882.449845786899,5502.282563405822,0.34212162390687795,0.09,0.0,0.0
Ampara,PF,100.0,2022.0445803277453,5909.3573421440515,0.3421767314538641,0.09,0.0,0.0
Ampara,PF,250.0,2158.372204060181,6243.420394540551,0.3457034874581779,0.1,0.0,0.0
Ampara,PF,500.0,2418.256018364937,7060.111642977746,0.3425237645880892,0.11,0.0,0.0
Ampara,PF,1000.0,2567.6520853309835,7605.77686771805,0.33759234986620795,0.12,0.0,0.0
Anuradhapura,PF,5.0,1700.952847920367,4085.036241616087,0.416386231924212,0.06,0.0,0.0
Anuradhapura,PF,10.0,2512.785304961233,5980.150244713551,0.4201876545129503,0.08,0.0,0.0
Anuradhapura,PF,25.0,2692.7116149375447,6454.549608111389,0.4171804042769509,0.08,0.0,0.0
Anuradhapura,PF,50.0,2777.4191904246736,6710.16078864638,0.4139124646795467,0.09,0.0,0.0
Anuradhapura,PF,100.0,3136.035203435875,7461.281441260873,0.42030785571143386,0.1,0.0,0.0
Anuradhapura,PF,250.0,3457.2438564691784,7935.356529844534,0.43567593257676973,0.11,0.0,0.0
Anuradhapura,PF,500.0,3635.315256033357,8901.155543937522,0.4084093619181085,0.11,0.0,0.0
Anuradhapura,PF,1000.0,4038.449118935609,9404.025424311229,0.4294383454659145,0.13,0.0,0.0
Badulla,PF,5.0,1053.1354300254743,3207.964404083745,0.3282877542795771,0.03,0.0,0.0
Badulla,PF,10.0,1213.4762314608106,3699.897313899671,0.3279756513517435,0.03,0.0,0.0
Badulla,PF,25.0,1346.6496545798657,4097.818685621851,0.32862597344897143,0.03,0.0,0.0
Badulla,PF,50.0,1438.8056633782544,4465.54793713378,0.3222013700521944,0.04,0.0,0.0
Badulla,PF,100.0,1484.8836677774445,4478.578843147263,0.3315524231642111,0.04,0.0,0.0
Badulla,PF,250.0,1573.0444738822582,4854.091833282745,0.32406566004715104,0.04,0.0,0.0
Badulla,PF,500.0,1597.2820368899195,4932.72668847095,0.3238132046973489,0.04,0.0,0.0
Badulla,PF,1000.0,1667.5976042967832,5088.588637726182,0.32771318788345666,0.04,0.0,0.0
Batticaloa,PF,5.0,2984.7967988847504,14761.870524506014,0.2021963811381304,0.19,0.0,0.0
Batticaloa,PF,10.0,3648.052353545452,17800.373116439176,0.2049424655136227,0.22,0.0,0.0
Batticaloa,PF,25.0,3962.504190217251,18702.275773754463,0.21187283505775092,0.24,0.0,0.0
Batticaloa,PF,50.0,4289.874683110879,21078.620588368285,0.2035178092003867,0.26,0.0,0.0
Batticaloa,PF,100.0,4562.928098708239,22527.0131511502,0.20255362164936025,0.28,0.0,0.0
Batticaloa,PF,250.0,4772.5626564894455,22950.323314334186,0.2079518702688004,0.29,0.0,0.0
Batticaloa,PF,500.0,5118.136710422888,25190.04629750136,0.20318091717562925,0.31,0.0,0.0
Batticaloa,PF,1000.0,6309.295535238478,29587.75674081385,0.21324007732344674,0.39,0.0,0.0
Colombo,PF,5.0,147821.39530807204,163922.37649510143,0.9017767950215719,0.95,147821.39530807204,163922.37649510143
Colombo,PF,10.0,156403.22510159225,178188.1247936739,0.8777421350760236,0.95,156403.22510159225,178188.1247936739
Colombo,PF,25.0,185321.71414960892,231804.20751864815,0.7994751956117975,0.95,185321.71414960892,231804.20751864815
Colombo,PF,50.0,210403.3468134569,288732.61986645433,0.7287134613012324,0.95,210403.3468134569,288732.61986645433
Colombo,PF,100.0,231503.24624508648,345094.12949296576,0.6708408705335723,0.95,231503.24624508648,345094.12949296576
Colombo,PF,250.0,245793.83681487862,377254.4340040248,0.6515333278024675,0.95,245793.83681487862,377254.4340040248
Colombo,PF,500.0,257175.2858817501,406824.6484508313,0.6321526654322968,0.95,257175.2858817501,406824.6484508313
Colombo,PF,1000.0,262503.71632435115,445438.6502828768,0.5893150856075188,0.95,262503.71632435115,445438.6502828768
Galle,PF,5.0,2435.819885648725,6097.4759278118445,0.3994800331295199,0.06,0.0,0.0
Galle,PF,10.0,2667.035260975602,6828.94262619385,0.3905487872669519,0.06,0.0,0.0
Galle,PF,25.0,3162.319670858119,7734.467332054369,0.4088606926752858,0.07,0.0,0.0
Galle,PF,50.0,4138.631242278597,10328.247709039351,0.40070991313041787,0.09,0.0,0.0
Galle,PF,100.0,4714.5000993259755,11672.9403605216,0.4038828224695317,0.11,0.0,0.0
Galle,PF,250.0,5014.522194924389,12344.460024531092,0.4062164067897224,0.11,0.0,0.0
Galle,PF,500.0,5162.983541816578,13173.653013290002,0.39191737755715866,0.12,0.0,0.0
Galle,PF,1000.0,5378.082027710479,13452.550689086096,0.3997815843261352,0.12,0.0,0.0
Gampaha,PF,5.0,30018.061542041676,37442.85178131711,0.8017033990188698,0.22,0.0,0.0
Gampaha,PF,10.0,33772.51253993648,42136.34017492471,0.8015055982492391,0.25,0.0,0.0
Gampaha,PF,25.0,46355.747826532584,57609.9830571478,0.8046478295358764,0.34,0.0,0.0
Gampaha,PF,50.0,49563.82214409,61933.482408582415,0.8002750728129848,0.36,0.0,0.0
Gampaha,PF,100.0,54854.56154200617,67632.46739271989,0.8110684654381075,0.4,0.0,0.0
Gampaha,PF,250.0,56872.88967160268,70125.87460911722,0.8110114845428038,0.41,0.0,0.0
Gampaha,PF,500.0,60276.411847157586,73310.62343742089,0.8222056916295426,0.44,0.0,0.0
Gampaha,PF,1000.0,63947.02984860469,80160.61279403634,0.7977362899271913,0.47,0.0,0.0
Hambantota,PF,5.0,5969.355231385676,13068.859017868039,0.4567617741705102,0.23,0.0,0.0
Hambantota,PF,10.0,6934.185032906507,15457.013599212984,0.448610916228965,0.26,0.0,0.0
Hambantota,PF,25.0,7940.243730944063,17373.323185776066,0.4570365523070981,0.3,0.0,0.0
Hambantota,PF,50.0,8793.902757928745,19374.263103711524,0.45389611521504,0.32,0.0,0.0
Hambantota,PF,100.0,9005.937082871891,19697.22198089069,0.4572186418779777,0.33,0.0,0.0
Hambantota,PF,250.0,10017.885623268969,21787.039062636588,0.4598094121219535,0.38,0.0,0.0
