region,hazard,rp,new_pov,new_sub,init_pov,init_sub,reg_pop
ARMM,EQ,1,549.8546267564587,918.6241620082554,1207449.8274699994,783053.5235900008,3706900.441179999
ARMM,EQ,10,870.7586214162013,1500.1165013166074,1207449.827470001,783053.5235900001,3706900.441179989
ARMM,EQ,25,6846.925812594617,11258.91104948766,1207449.8274699983,783053.5235900001,3706900.441180015
ARMM,EQ,30,9247.310561791572,14946.88532467545,1207449.827470001,783053.5235899995,3706900.4411799936
ARMM,EQ,50,20669.175094710263,36920.27293595897,1207449.8274699983,783053.5235899998,3706900.4411800164
ARMM,EQ,100,58042.095410723756,91512.1646011062,1207449.8274699997,783053.5235899996,3706900.441179993
ARMM,EQ,200,106947.95181979662,169127.92850767286,1207449.827469999,783053.5235899992,3706900.4411799903
ARMM,EQ,250,123895.49083345784,194166.6992647182,1207449.827469999,783053.5235900006,3706900.4411799945
ARMM,EQ,500,182027.9645849288,295051.05761357734,1207449.8274700006,783053.5235899992,3706900.4411800276
ARMM,EQ,1000,240599.69392177396,395081.9939123833,1207449.8274699997,783053.5235900003,3706900.4411799917
ARMM,EQ,2000,394962.52878367744,656906.7722732682,1207449.8274699997,783053.5235899999,3706900.441179998
ARMM,HU,30,129.18550266906348,170.19348036511124,1207449.8274700027,783053.52359,3706900.4411800024
ARMM,HU,50,437.88605543656115,615.6809337610028,1207449.8274699985,783053.5235899994,3706900.4411799903
ARMM,HU,100,1873.6520358792347,2448.490521438176,1207449.8274700004,783053.5235899995,3706900.4411799917
ARMM,HU,200,5532.146695790298,7020.588138043385,1207449.827470001,783053.5235899998,3706900.441179984
ARMM,HU,250,7867.277762574521,10868.289259619292,1207449.8274700004,783053.5235899993,3706900.4411799866
ARMM,HU,500,20802.244245391805,27276.107189315782,1207449.8274700001,783053.5235900001,3706900.4411800085
ARMM,HU,1000,30104.955366247286,42199.77688975649,1207449.82747,783053.5235899996,3706900.441179996
ARMM,HU,2000,167852.91539506096,228516.6100777559,1207449.827470001,783053.5235900023,3706900.4411800113
ARMM,PF,1,35.13557662596231,49.35783586884115,1207449.8274699997,783053.5235899996,3706900.441180003
ARMM,PF,10,70.43878520070658,93.29858459233023,1207449.8274699994,783053.5235899999,3706900.441180005
ARMM,PF,25,482.4775091617444,634.3683777988615,1207449.827470002,783053.5235900005,3706900.4411800066
ARMM,PF,30,781.3542712820308,1113.0001845842535,1207449.8274700015,783053.5235899999,3706900.44118
ARMM,PF,50,2147.669910892422,2885.9383491619365,1207449.8274700006,783053.5235899995,3706900.4411799903
ARMM,PF,100,4841.079810482002,6600.310305883894,1207449.8274700008,783053.5235899994,3706900.441180001
ARMM,PF,200,7857.401041515287,10530.223231516411,1207449.8274700022,783053.5235899999,3706900.4411799847
ARMM,PF,250,8845.219537829811,12393.542432754875,1207449.8274700004,783053.5235899998,3706900.4411800113
ARMM,PF,500,14264.246106269935,19645.320429768646,1207449.82747,783053.5235899994,3706900.4411800113
ARMM,PF,1000,20222.513397188653,28349.90379451516,1207449.8274699957,783053.52359,3706900.4411800182
ARMM,PF,2000,37044.06846518351,55597.199776280984,1207449.8274700006,783053.52359,3706900.441180006
CAR,EQ,1,6.984830363606952,4.886968185193588,226826.77380000008,124763.20585999997,1783500.1087299958
CAR,EQ,10,8.25426005116876,6.012171861935597,226826.77380000017,124763.20586,1783500.1087300016
CAR,EQ,25,464.8454871340706,382.1821663889659,226826.7738,124763.20585999999,1783500.1087300032
CAR,EQ,30,916.8092730517008,667.4902089905285,226826.77379999985,124763.20585999999,1783500.1087299995
CAR,EQ,50,3106.6885566548062,2314.146547485189,226826.77379999994,124763.20586000005,1783500.1087300025
CAR,EQ,100,13571.546521699482,9888.823204554932,226826.7738,124763.20586000002,1783500.1087300002
CAR,EQ,200,29594.94965480047,19513.40817011673,226826.77379999988,124763.20586,1783500.1087300028
CAR,EQ,250,38515.523170825865,28796.004677742225,226826.77380000023,124763.20586,1783500.1087300058
CAR,EQ,500,72955.17638316654,54926.48039370388,226826.77379999988,124763.20586,1783500.108729995
CAR,EQ,1000,103447.762335102,82564.11715255184,226826.7737999994,124763.20586000005,1783500.1087300077
CAR,EQ,2000,210842.06348050002,305497.73842200026,226826.77380000037,124763.20586,1783500.1087300002
CAR,HU,1,565.8099704920306,391.0677795776291,226826.77380000002,124763.20585999996,1783500.1087300044
CAR,HU,10,3296.0029047430294,2260.089992069247,226826.77380000002,124763.20586000002,1783500.108730002
CAR,HU,25,9524.476455398824,5801.859978519735,226826.77380000002,124763.20585999999,1783500.1087299986
CAR,HU,30,10407.299473568806,7013.3467229048,226826.7738,124763.20586000003,1783500.1087299986
CAR,HU,50,15583.705978325906,9541.603234483531,226826.7737999998,124763.20585999996,1783500.1087300004
CAR,HU,100,23610.207472891056,16355.60349339702,226826.77380000002,124763.20586000002,1783500.108730001
CAR,HU,200,31092.903275368502,23352.137360711684,226826.7738000001,124763.20586000002,1783500.1087299995
CAR,HU,250,37115.89810589751,24808.611467180333,226826.7738000001,124763.20585999999,1783500.1087300023
CAR,HU,500,48797.23557035087,29295.928742001004,226826.77380000023,124763.20586,1783500.1087299974
CAR,HU,1000,60056.2218816876,43337.57328310044,226826.77380000014,124763.20586000002,1783500.1087299953
CAR,HU,2000,0.001215178251905978,0.0008099822378699657,226826.7737999999,124763.20586000003,1783500.1087299974
CAR,PF,1,516.3563731224574,314.2793426959575,226826.7738,124763.20586000002,1783500.1087300016
CAR,PF,10,1954.8597289896857,1375.0753674796088,226826.77379999994,124763.20585999999,1783500.1087299974
CAR,PF,25,4986.30080604987,3271.8732354805993,226826.7738,124763.20586000005,1783500.1087300072
CAR,PF,30,5531.553996602193,3612.254863853459,226826.77379999997,124763.20585999999,1783500.1087299907
CAR,PF,50,7403.667815197156,5359.09237842334,226826.77380000002,124763.20586000002,1783500.1087299972
CAR,PF,100,13635.806520879885,8342.431660401702,226826.77380000005,124763.20585999996,1783500.1087300018
CAR,PF,200,21445.87615992503,14336.221040536479,226826.77379999982,124763.20585999997,1783500.1087300032
CAR,PF,250,22468.02938545704,13599.068270961194,226826.77379999997,124763.20585999994,1783500.1087299963
CAR,PF,500,23529.02276614846,14972.943297857526,226826.77379999988,124763.20586000002,1783500.1087300014
CAR,PF,1000,27407.64749533605,16166.363326831519,226826.77379999985,124763.20585999999,1783500.108730008
CAR,PF,2000,0.0011428187722984705,0.0007367242934122209,226826.7737999999,124763.20586000005,1783500.1087299979
I - Ilocos,EQ,1,726.7648617823836,332.3239422724489,498991.98616000003,172094.47819999998,5135999.7872800045
I - Ilocos,EQ,10,845.9996735368887,420.2473816385876,498991.98616000015,172094.47819999995,5135999.787280002
I - Ilocos,EQ,25,13774.578591249036,7083.850328417615,498991.98616000003,172094.47820000007,5135999.787279991
I - Ilocos,EQ,30,21587.454104707518,9877.985892367415,498991.98616,172094.4782,5135999.7872800045
I - Ilocos,EQ,50,65788.60195096294,31635.850322382328,498991.98615999974,172094.47819999995,5135999.787280007
I - Ilocos,EQ,100,231412.7469258809,105195.07864726901,498991.9861599999,172094.47819999992,5135999.787280009
I - Ilocos,EQ,200,442190.6019223542,204139.3806862334,498991.9861600001,172094.47819999998,5135999.787279973
I - Ilocos,EQ,250,567276.5545275,299096.3726215001,498991.98615999985,172094.47820000013,5135999.787279983
I - Ilocos,EQ,500,734230.5109494997,734251.9572549998,498991.98615999985,172094.47820000013,5135999.787279983
I - Ilocos,EQ,1000,813446.9852199994,1010476.406868,498991.98615999985,172094.47820000013,5135999.787279983
I - Ilocos,EQ,2000,431255.92904899997,3617647.6340960003,498991.98615999985,172094.47820000013,5135999.787279983
I - Ilocos,HU,1,5153.293850197658,2245.831920956712,498991.9861599999,172094.47820000004,5135999.787279992
I - Ilocos,HU,10,29019.40120127066,11235.3642196274,498991.9861600002,172094.4782,5135999.787280005
I - Ilocos,HU,25,84119.96126921028,32728.086066064363,498991.98616000015,172094.47819999992,5135999.787279998
I - Ilocos,HU,30,96301.96516996174,40284.59754361161,498991.9861599999,172094.47819999995,5135999.787280008
I - Ilocos,HU,50,144005.9405938663,53371.86187604217,498991.9861600003,172094.47820000007,5135999.787280006
I - Ilocos,HU,100,214260.59569443224,99277.69313720713,498991.9861599999,172094.47819999998,5135999.787279982
I - Ilocos,HU,200,334488.00038271694,127742.71973009716,498991.98615999974,172094.47819999998,5135999.787279967
I - Ilocos,HU,250,357362.85134811123,146077.6666835685,498991.98616000067,172094.47819999995,5135999.7872799905
I - Ilocos,HU,500,484676.42055950017,213557.5174315,498991.98615999985,172094.47820000013,5135999.787279983
I - Ilocos,HU,1000,589568.5668129999,322931.4161464999,498991.98615999985,172094.47820000013,5135999.787279983
I - Ilocos,HU,2000,0.004626143050545256,0.0018599281079456904,498991.98616000003,172094.47819999998,5135999.787279989
I - Ilocos,PF,1,1263.3042494614544,494.22885624604646,498991.98615999974,172094.4782,5135999.7872800175
I - Ilocos,PF,10,5222.35011251086,1911.1893925638553,498991.98616000003,172094.47820000004,5135999.787280011
I - Ilocos,PF,25,14725.365479463431,6228.2682739190595,498991.9861600003,172094.4782,5135999.787279985
I - Ilocos,PF,30,17628.21720540742,8347.581253017082,498991.98616000003,172094.47820000004,5135999.787280008
I - Ilocos,PF,50,28893.605806875363,11908.343171449837,498991.98616,172094.47820000004,5135999.787280002
I - Ilocos,PF,100,50709.93694885897,19711.379314475234,498991.98616,172094.47819999998,5135999.78728001
I - Ilocos,PF,200,68599.47054038705,28422.018628708454,498991.9861599997,172094.4782,5135999.787279996
I - Ilocos,PF,250,75132.08099152587,28052.621927638644,498991.98616000003,172094.47819999992,5135999.7872800045
I - Ilocos,PF,500,100651.20422893249,40517.81440998091,498991.9861600001,172094.47819999998,5135999.787280012
I - Ilocos,PF,1000,120695.06179488871,49596.53349022461,498991.9861600002,172094.47820000004,5135999.787279969
I - Ilocos,PF,2000,0.004314376354229101,0.0017570659396751575,498991.98616000015,172094.47819999998,5135999.787279989
I - Ilocos,SS,30,1594.1813049678528,683.7478254007964,498991.9861599998,172094.4782,5135999.787280005
I - Ilocos,SS,50,2994.6492350940794,1242.5034256451024,498991.98616,172094.4782,5135999.787280007
I - Ilocos,SS,100,3622.2255945570305,1384.7162802209943,498991.9861599999,172094.47820000004,5135999.787280004
I - Ilocos,SS,200,4371.899402774139,1655.7703822226163,498991.98615999985,172094.47819999998,5135999.787279991
I - Ilocos,SS,250,4410.945296604655,1736.067490573774,498991.9861599997,172094.47819999995,5135999.787280004
I - Ilocos,SS,500,4822.392486784333,1888.8379059363494,498991.98616,172094.4782,5135999.787279986
I - Ilocos,SS,1000,5587.788633827451,2215.453984564202,498991.98616,172094.47819999995,5135999.787280005
I - Ilocos,SS,2000,124526.51563564673,52074.745848155166,498991.9861600001,172094.47820000007,5135999.787280026
II - Cagayan Valley,EQ,1,436.6740602495275,318.2027716779496,462614.59880999994,91000.91564,3497900.297519994
II - Cagayan Valley,EQ,10,823.8319597987637,562.6138922116643,462614.5988100001,91000.91563999999,3497900.297519995
II - Cagayan Valley,EQ,25,8736.63024097267,5982.157692709185,462614.5988099999,91000.91564,3497900.297520007
II - Cagayan Valley,EQ,30,11651.900146007638,7871.4134049226395,462614.59880999994,91000.91564,3497900.2975199884
II - Cagayan Valley,EQ,50,26984.67760454646,18184.98574701719,462614.59881000017,91000.91564,3497900.2975199986
II - Cagayan Valley,EQ,100,57828.52320922187,38425.132133130406,462614.59880999965,91000.91563999999,3497900.297520001
II - Cagayan Valley,EQ,200,98538.43810491079,70623.6883528324,462614.5988100001,91000.91563999999,3497900.297520002
II - Cagayan Valley,EQ,250,114614.68628034627,73805.71362192085,462614.59881,91000.91563999998,3497900.2975200037
II - Cagayan Valley,EQ,500,160994.7672597505,109565.27247242631,462614.5988100002,91000.91563999999,3497900.297519999
II - Cagayan Valley,EQ,1000,198505.13056020217,139534.02573362025,462614.59881000075,91000.91564000002,3497900.2975199963
II - Cagayan Valley,EQ,2000,310211.9841742037,225572.51186386304,462614.5988099998,91000.91563999998,3497900.2975200117
II - Cagayan Valley,HU,1,9190.737168623567,5097.097098885631,462614.5988100001,91000.91564,3497900.297519998
II - Cagayan Valley,HU,10,49613.44522391807,32861.51036471954,462614.59881000017,91000.91563999999,3497900.2975200014
II - Cagayan Valley,HU,25,118714.97869091971,69782.00509496673,462614.59880999976,91000.91564,3497900.2975199935
II - Cagayan Valley,HU,30,118556.94473093984,75386.20875177963,462614.59881,91000.91564000002,3497900.2975199763
II - Cagayan Valley,HU,50,185725.63256051758,106180.96591923771,462614.5988099993,91000.91563999999,3497900.297519988
II - Cagayan Valley,HU,100,276980.7851597662,159534.83013786873,462614.5988099996,91000.91564000006,3497900.2975200135
II - Cagayan Valley,HU,200,361168.23521499994,233827.8731634999,462614.5988100003,91000.91564000002,3497900.297520036
II - Cagayan Valley,HU,250,367862.2349969999,272701.6350934999,462614.5988100003,91000.91564000002,3497900.297520036
II - Cagayan Valley,HU,500,466633.508194,366157.5623595001,462614.5988100003,91000.91564000002,3497900.297520036
II - Cagayan Valley,HU,1000,539458.1728754999,541829.4064105003,462614.5988100003,91000.91564000002,3497900.297520036
