region,nPoor,pctPoor
ARMM,1990503.351060002,53.69724336125898
CAR,351589.97965999966,19.713482378779457
I - Ilocos,671086.4643599994,13.066325781828034
II - Cagayan Valley,553615.5144500002,15.8270810303688
III - Central Luzon,1242070.9054499986,11.190936681049662
IVA - CALABARZON,1287966.037900001,9.116923756932874
IVB - MIMAROPA,754222.1382999995,24.41401379908512
IX - Zamboanga Peninsula,1274657.2543300006,33.8581399516568
NCR,494630.2829899998,3.9095953671104025
V - Bicol,2172414.5532600028,36.014234484209844
VI - Western Visayas,1728396.8270700013,22.43389418957492
VII - Central Visayas,2057478.6562500002,27.629031479323046
VIII - Eastern Visayas,1756744.0932299995,38.718680955856385
X - Northern Mindanao,1720472.2186700006,36.553683764211016
XI - Davao,1092200.2443499994,22.0064136068348
XII - SOCCSKSARGEN,1716648.8411199967,37.32494215231455
XIII - Caraga,1062312.18507,39.10303668056296
