district,hazard,rp,contributer,tot_k_recipient_BE,tot_k_recipient_PE,dk_public_recipient,int_cost_BE,ext_cost_BE,frac_k_BE,tot_k_contributer,prov_assets_PE,frac_k_PE,transfer_pub_BE,transfer_pub_PE,PE_to_BE,dw
Ampara,PF,5.0,Ampara,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.025504919976981292,180504564155.36774,179253557725.82297,0.025332633280076896,0.0,0.0,,
Ampara,PF,5.0,Anuradhapura,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.037965780033986256,268693122112.83997,268693122112.83997,0.03797249222676339,0.0,0.0,,
Ampara,PF,5.0,Badulla,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.034898447531192006,246984858882.20987,246984858882.20987,0.03490461743227775,0.0,0.0,,
Ampara,PF,5.0,Batticaloa,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.01880785088947196,133107766288.51399,133107766288.51399,0.018811176039667227,0.0,0.0,,
Ampara,PF,5.0,Colombo,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.16827158199925063,1190899191054.972,1190899191054.972,0.16830133171850456,0.0,0.0,,
Ampara,PF,5.0,Galle,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.04975399763330321,352121224684.96155,352121224684.96155,0.04976279393416284,0.0,0.0,,
Ampara,PF,5.0,Gampaha,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.1581592009699435,1119331394256.7307,1119331394256.7307,0.1581871628620851,0.0,0.0,,
Ampara,PF,5.0,Hambantota,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.031053099142104017,219770386708.82864,219770386708.82864,0.031058589201509702,0.0,0.0,,
Ampara,PF,5.0,Kalutara,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.07707039520378436,545446059352.33295,545446059352.33295,0.07708402093067729,0.0,0.0,,
Ampara,PF,5.0,Kandy,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.07009804909785185,496101058618.0596,496101058618.0596,0.0701104421428104,0.0,0.0,,
Ampara,PF,5.0,Kegalle,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.03902184995171133,276167187524.0863,276167187524.0863,0.03902874885327906,0.0,0.0,,
Ampara,PF,5.0,Kurunegala,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.08098853764042484,573175712825.5739,573175712825.5739,0.0810028560786841,0.0,0.0,,
Ampara,PF,5.0,Mannar,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.0030510670675589703,21593148762.496574,21593148762.496574,0.0030516064835887516,0.0,0.0,,
Ampara,PF,5.0,Matale,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.02485771519508129,175924137430.58023,175924137430.58023,0.02486210993624661,0.0,0.0,,
Ampara,PF,5.0,Moneragala,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.014962054203986835,105890121411.75443,105890121411.75443,0.014964699433245113,0.0,0.0,,
Ampara,PF,5.0,Mullaitivu,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.002521192062443952,17843093598.966133,17843093598.966133,0.0025216377987658783,0.0,0.0,,
Ampara,PF,5.0,Nuwara Eliya,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.02827440433071211,200104883099.96606,200104883099.96606,0.028279403128375617,0.0,0.0,,
Ampara,PF,5.0,Polonnaruwa,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.025723213484833297,182049480764.72516,182049480764.72516,0.025727761242514118,0.0,0.0,,
Ampara,PF,5.0,Puttalam,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.04116983111445283,291368976196.4101,291368976196.4101,0.041177109770200095,0.0,0.0,,
Ampara,PF,5.0,Rathnapura,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.043646924315845465,308899971357.07446,308899971357.07446,0.04365464091141848,0.0,0.0,,
Ampara,PF,5.0,Trincomalee,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.014809425542539617,104809930999.98251,104809930999.98251,0.014812043787682264,0.0,0.0,,
Ampara,PF,5.0,Vavuniya,180504564155.3672,179253557725.82297,0.0,0.0,0.0,0.009390462612540349,66458603384.11814,66458603384.11814,0.00939212280746498,0.0,0.0,,
Ampara,PF,10.0,Ampara,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.025504919976981292,180504564155.36774,178983575569.01956,0.025295443756840254,0.0,0.0,,
Ampara,PF,10.0,Anuradhapura,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.037965780033986256,268693122112.83997,268693122112.83997,0.03797394110966461,0.0,0.0,,
Ampara,PF,10.0,Badulla,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.034898447531192006,246984858882.20987,246984858882.20987,0.03490594925698572,0.0,0.0,,
Ampara,PF,10.0,Batticaloa,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.01880785088947196,133107766288.51399,133107766288.51399,0.018811893801123414,0.0,0.0,,
Ampara,PF,10.0,Colombo,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.16827158199925063,1190899191054.972,1190899191054.972,0.16830775344400845,0.0,0.0,,
Ampara,PF,10.0,Galle,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.04975399763330321,352121224684.96155,352121224684.96155,0.04976469268920945,0.0,0.0,,
Ampara,PF,10.0,Gampaha,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.1581592009699435,1119331394256.7307,1119331394256.7307,0.15819319867016676,0.0,0.0,,
Ampara,PF,10.0,Hambantota,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.031053099142104017,219770386708.82864,219770386708.82864,0.031059774276709966,0.0,0.0,,
Ampara,PF,10.0,Kalutara,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.07707039520378436,545446059352.33295,545446059352.33295,0.07708696215769016,0.0,0.0,,
Ampara,PF,10.0,Kandy,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.07009804909785185,496101058618.0596,496101058618.0596,0.07011311728512687,0.0,0.0,,
Ampara,PF,10.0,Kegalle,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.03902184995171133,276167187524.0863,276167187524.0863,0.03903023803883296,0.0,0.0,,
Ampara,PF,10.0,Kurunegala,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.08098853764042484,573175712825.5739,573175712825.5739,0.08100594683323403,0.0,0.0,,
Ampara,PF,10.0,Mannar,180504564155.3679,178983575569.01956,0.0,0.0,0.0,0.0030510670675589703,21593148762.496574,21593148762.496574,0.0030517229210463965,0.0,0.0,,
