,region,hazard,rp,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcwgt_ae,pcsoc,axfin,has_ew,c,dk_private,dk_public,dk0,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,dk_prv_t,sav_i,sav_f,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
3344,ARMM,EQ,10,1575430557,helped,a,Basilan,1.2717923639280324,1,1.2717923639280324,0.0,0,1.0,22091.178000000007,17974.147922695473,1539.842158143103,19513.990080838576,0.022065129114808506,5.617200188021836e-06,5730.232632942384,490.9080431585103,6221.140676100895,5730.232632942384,490.9080431585103,6221.140676100895,0.0,3,15573.959716184301,5.63268004315001,35041.694931902275,0,0,0.0,0.013456141896510248,0.20844225652916715,0.0,17974.147922695473,15298.6009920532,0.0,0.0,5730.232632942384,7.6931295153927515,5737.925762457777,5737.925762457777,5738.075214595327,0.0
7371,ARMM,EQ,25,156681006123,helped,a,Sulu,12.619863614391102,0,12.619863614391102,0.0,1,0.0,27470.051000000007,34792.7463444642,4501.336898261586,39294.083242725785,0.2224935574002589,4.143555160646184e-05,11092.071309872543,1435.044804194427,12527.11611406697,11092.071309872543,1435.044804194427,12527.11611406697,0.0,3,15573.959716184301,5.63268004315001,70561.23693392792,0,0,0.0,0.012067026398056529,0.18323472004705793,0.0,34792.7463444642,38805.0499265029,0.0,0.0,11092.071309872543,22.48890742964347,11114.560217302187,11114.560217302187,11114.997102613921,0.0
46826,ARMM,HU,50,1538837012591,helped,a,Maguindanao,0.32326987636157756,1,0.32326987636157756,1439.3383995676006,0,1.0,20922.74199999999,14267.862651753205,3799.410096532052,18067.272748285257,0.020251524954804173,2.2371381350859316e-06,4548.656792955248,1211.2676392068884,5759.924432162137,4548.656792955248,1211.2676392068884,5759.924432162137,0.0,3,15573.959716184301,5.63268004315001,32443.811399091825,0,0,0.0,0.013826768634299956,0.5211289267961098,0.0,14267.862651753205,0.0,-0.020251524954804173,0.0,4548.653623417746,18.982045529887074,4567.635668947632,4567.635668947632,4568.004428477211,0.0
52810,ARMM,HU,200,156672805192,helped,a,Sulu,9.594460326799235,1,9.594460326799235,0.0,0,1.0,19836.529000000006,10884.040026989116,2527.9277870717274,13411.967814060843,0.24481241347015611,2.660991348199884e-05,3469.8769370955074,805.9138247610416,4275.790761856549,3469.8769370955074,805.9138247610416,4275.790761856549,0.0,3,15573.959716184301,5.63268004315001,24084.16129299456,0,0,0.0,0.014200288077847189,0.10182535038640084,0.0,10884.040026989116,10953.8735408688,-3.552713678800501e-15,0.0,3469.8769370955074,12.629655428420635,3482.5065925239282,3482.5065925239282,3482.751945081237,0.0
53004,ARMM,HU,200,1536276401971,helped,a,Lanao del Sur,7.651097818313788,1,7.651097818313788,0.0,0,1.0,17723.277000000002,4282.189901694346,994.581682460576,5276.7715841549225,0.2523685484502386,2.660991348199884e-05,1365.1798361001515,317.07675031238205,1682.2565864125336,1365.1798361001515,317.07675031238205,1682.2565864125336,0.0,3,15573.959716184301,5.63268004315001,9475.613101743538,0,0,0.0,0.01502304551662272,0.005965119510328729,0.0,4282.189901694346,9068.35363117985,3281.546337621418,0.0,1365.1798361001515,4.968980525921776,1370.1488166260733,1370.1488166260733,0.0,26.40164446111632
53435,ARMM,HU,200,1566515013160,helped,a,Sulu,10.980740830098064,0,10.980740830098064,0.0,0,0.0,25982.090000000007,30067.97713141071,6983.590165329185,37051.56729673989,0.22293073040383485,2.660991348199884e-05,9585.795360425449,2226.397403235769,11812.192763661218,9585.795360425449,2226.397403235769,11812.192763661218,0.0,3,15573.959716184301,5.63268004315001,66534.30244571551,0,0,0.0,0.012407747709766844,0.0692254584716804,0.0,30067.97713141071,38805.0499265029,-7.105427357601002e-15,0.0,9585.795360425449,34.89037063973383,9620.685731065183,9620.685731065183,9621.363535911913,0.0
57156,ARMM,HU,250,15661225015404,helped,a,Sulu,17.536727558404532,0,17.536727558404532,0.0,0,1.0,22670.711000000003,19724.070615200173,5110.491796769675,24834.562411969848,0.3871394070879053,4.065152499044281e-05,6288.115218578359,1629.2459030704563,7917.361121648815,6288.115218578359,1629.2459030704563,7917.361121648815,0.0,3,15573.959716184301,5.63268004315001,44595.96198432306,0,0,0.0,0.013283038313134123,0.023078913385504322,0.0,19724.070615200173,38805.0499265029,12004.551441655769,0.0,6288.115218578359,25.53227619596552,6313.6474947743245,6313.6474947743245,0.0,121.65979773998744
58835,ARMM,HU,500,153618320413,helped,a,Lanao del Sur,63.7685654354608,1,63.7685654354608,5209.034023945229,0,1.0,17586.366999999955,3851.5468212487067,994.9645065715388,4846.511327820245,0.7107895526749468,0.00010188820008522066,1228.4197815938135,317.1987962209141,1545.6185778147276,1228.4197815938135,317.1987962209141,1545.6185778147276,0.0,3,15573.959716184301,5.63268004315001,8705.974917578917,0,0,0.0,0.01508140940745004,0.0055158490306319126,0.0,3851.5468212487067,9068.35363117985,3834.7092256513415,0.0,1227.8973598238422,4.970893134595124,1232.8682529584373,1232.8682529584373,0.0,23.75655072443724
62348,ARMM,HU,1000,156612250240,helped,a,Sulu,66.98474104464934,1,66.98474104464934,0.0,0,1.0,22080.061000000005,17893.367717939258,4400.718630966636,22294.086348905894,1.4308439270115954,0.00015431836955662477,5704.479569855296,1402.9672847924849,7107.446854647781,5704.479569855296,1402.9672847924849,7107.446854647781,0.0,3,15573.959716184301,5.63268004315001,40033.97405592387,0,0,0.0,0.013459528959273442,0.33638536179700634,0.0,17893.367717939258,10953.8735408688,1.4210854715202004e-14,0.0,5704.479569855296,21.98621346336844,5726.465783318665,5726.465783318665,5726.8929029443225,0.0
71283,ARMM,PF,10,1538132011,helped,a,Maguindanao,0.05179469553485269,0,0.05179469553485269,47.97794665225337,0,0.0,28168.066000000006,37030.64065306004,1692.732094383569,38723.37274744361,0.0007710649784127347,3.564779206793978e-07,11805.521280283274,539.6499866242907,12345.171266907564,11805.521280283274,539.6499866242907,12345.171266907564,0.0,3,15573.959716184301,5.63268004315001,69536.39982437917,0,0,0.0,0.011916575827596705,0.18356934835663213,0.0,37030.64065306004,40771.049892329,0.0,0.0,11805.521263448221,8.456975390684558,11813.978238838907,11813.978238838907,11814.142529988154,0.0
94120,ARMM,PF,500,15663121116,helped,a,Sulu,21.179781827977887,0,21.179781827977887,0.0,0,0.0,23404.613000000005,22071.260051046203,2888.6274403486213,24959.887491394824,0.4151509989150861,7.402807427012949e-05,7036.40891009737,920.9063647572465,7957.315274854616,7036.40891009737,920.9063647572465,7957.315274854616,0.0,3,15573.959716184301,5.63268004315001,44821.01094572634,0,0,0.0,0.013073120476457917,0.022425784044836965,0.0,22071.260051046203,38805.0499265029,9600.212396331597,0.0,7036.40891009737,14.431729189125221,7050.8406392864945,7050.8406392864945,0.0,135.85974952205083
100717,ARMM,PF,2000,153613250418,helped,a,Lanao del Sur,92.75090313001085,1,92.75090313001085,1599.2648743099185,0,1.0,17636.270999999993,4011.254717413091,926.4031399712474,4937.657857384338,1.739828115323161,0.0002043658394279557,1279.1314148650515,295.3411492302578,1574.4725640953093,1279.1314148650515,295.3411492302578,1574.4725640953093,0.0,3,15573.959716184301,5.63268004315001,8868.500190266874,0,0,0.0,0.015060056939593355,0.005604409031570671,0.0,4011.254717413091,9068.35363117985,3647.347705794244,0.0,1278.809701662481,4.628357069960798,1283.438058732442,1283.438058732442,0.0,24.73079136704319
