district,pop_q1,Asset risk pc,Well-being risk pc
Rathnapura,236,438.93,5479.36
Colombo,473,922.68,3761.86
Trincomalee,82,172.63,2826.72
Mannar,20,367.59,2362.42
Kalutara,259,263.45,2199.97
Polonnaruwa,90,273.38,2121.39
Puttalam,165,247.91,2007.23
Total,4051,213.87,1413.87
Batticaloa,114,66.46,1040.49
Gampaha,479,161.52,890.25
Hambantota,133,132.57,854.02
Kegalle,185,66.21,715.54
Kurunegala,350,75.66,626.69
Galle,231,33.27,271.51
Mullaitivu,18,16.34,253.39
Badulla,181,18.19,251.81
Anuradhapura,178,30.7,228.69
Ampara,141,28.2,205.3
Matale,111,17.33,182.88
Kandy,303,14.42,153.68
Vavuniya,37,13.7,95.47
Moneragala,100,5.99,77.42
Nuwara Eliya,154,0.14,1.49
