district,pop_q1,Asset risk pc,Well-being risk pc
Rathnapura,236,2956.93,37071.92
Colombo,473,6079.83,24800.01
Trincomalee,82,1170.0,19183.89
Mannar,20,2323.13,14890.36
Kalutara,259,1741.6,14441.84
Polonnaruwa,90,1833.02,14188.66
Puttalam,165,1681.27,14143.3
Total,4051,1422.41,9465.39
Batticaloa,114,454.37,7249.47
Gampaha,479,1095.49,6024.2
Hambantota,133,886.25,5608.6
Kegalle,185,439.14,4729.87
Kurunegala,350,512.42,4255.97
Galle,231,220.64,1811.49
Badulla,181,121.35,1680.4
Mullaitivu,18,108.24,1668.46
Anuradhapura,178,200.48,1474.18
Ampara,141,189.21,1392.01
Matale,111,113.64,1194.99
Kandy,303,96.96,1034.48
Vavuniya,37,92.1,651.69
Moneragala,100,39.48,509.07
Nuwara Eliya,154,0.91,9.95
