district,hazard,rp,c,di0,dc_post_reco
Ampara,PF,10.0,42252.357492762654,3133.5875286234113,1015.1555636422876
Ampara,PF,10.0,93913.92441984806,14500.527881176975,538.8777853270407
Ampara,PF,10.0,189888.6856409037,12289.724251256212,140.889105264339
Ampara,PF,10.0,185509.34298591863,26859.546888232042,366.5556995872183
Ampara,PF,10.0,119898.13979649331,9439.265363659988,219.53248773544587
Ampara,PF,10.0,111919.77406413488,17922.394328606373,498.1573822218709
Ampara,PF,10.0,93183.22148625033,9923.851320398788,392.42159588043853
Ampara,PF,10.0,107344.1093408532,12311.10949114236,384.54267084285965
Ampara,PF,10.0,205348.45379920868,13670.921115249868,141.70753152256844
Ampara,PF,10.0,173354.8940908811,15355.375202754829,217.13653411891082
Ampara,PF,10.0,187465.38015382012,13823.909612478132,172.52817274261983
Ampara,PF,10.0,98596.59187730367,8061.120331563066,273.19995123011216
Ampara,PF,10.0,102960.38392137557,12835.870849585936,439.20043924990944
Ampara,PF,10.0,145296.45924711804,20346.20539254565,400.119883287238
Ampara,PF,10.0,115446.79793016614,17641.591786279485,515.1685205775573
Ampara,PF,10.0,95713.34806887248,12448.68265329955,500.1007527443626
Ampara,PF,10.0,118300.70416932732,16113.753825700482,440.79502673323935
Ampara,PF,10.0,162407.36947555462,20513.858788655296,329.45782761359277
Ampara,PF,10.0,135090.4772904041,20060.82548330229,444.857948347953
Ampara,PF,10.0,193195.02442425364,23248.554111847952,288.0097881908605
Ampara,PF,10.0,223168.49297880792,20107.094621579523,199.2691258457993
Ampara,PF,10.0,106203.66480169297,8225.097320638773,243.6458925695001
Ampara,PF,10.0,70673.87625003772,6714.110911081042,518.153138785467
Ampara,PF,10.0,153145.779518002,12064.436896225476,200.36489975889992
Ampara,PF,10.0,140821.9379471914,12060.664751197775,226.8063177124522
Ampara,PF,10.0,78970.09787569742,6075.514903203955,328.0097787325515
Ampara,PF,10.0,83271.05467054789,10821.4107000087,483.6726981366487
Ampara,PF,10.0,70734.51425770205,13266.831419766502,1005.7866723978124
Ampara,PF,10.0,71504.66207173231,6127.456167855022,450.82892723395884
Ampara,PF,10.0,81724.67121854657,11059.75306490114,516.9537781970582
Ampara,PF,10.0,100857.9694505974,16623.286020982294,554.6519255291619
Ampara,PF,10.0,57803.870739869206,4656.524297521274,443.1621629160427
Ampara,PF,10.0,94081.00852715856,9125.960041321268,345.214697813288
Ampara,PF,10.0,75890.20973687463,11693.611388586423,670.3621983539687
Ampara,PF,10.0,133527.58815982606,16139.165276846208,346.02941879914636
Ampara,PF,10.0,79043.60878923077,10244.226064626617,501.4149986782746
Ampara,PF,10.0,105490.68042401144,12773.01484523503,415.0668338558026
Ampara,PF,10.0,76291.41432657403,5926.541092282251,351.6581609959809
Ampara,PF,10.0,61854.17793651072,7506.439793107848,675.8989158970959
Ampara,PF,10.0,60139.52093710272,5100.202629406391,439.36723514969117
Ampara,PF,10.0,73982.16032457947,9568.213848258933,549.7251393841655
Ampara,PF,10.0,48479.72385035916,8109.5458658471225,1632.303970511634
Ampara,PF,10.0,122010.1283811495,14327.592483289474,350.1631912886126
Ampara,PF,10.0,113963.02121426426,18909.312595707783,518.7175988111953
Ampara,PF,10.0,48267.66367320316,6907.814130027262,1621.0402849080076
Ampara,PF,10.0,102752.68307146881,8633.985426347303,275.7617813286371
Ampara,PF,10.0,102511.32634021855,15103.697238511906,469.68391576972783
Ampara,PF,10.0,117624.53970083149,16292.167096312818,443.3495216011354
Ampara,PF,10.0,73980.66620032066,12866.35851237338,839.4774321595461
Ampara,PF,10.0,173241.03596304913,22764.94003886363,337.2937872203601
Ampara,PF,10.0,112471.49848945989,10230.468507209684,276.2187770030561
Ampara,PF,10.0,130927.67132604057,18580.982505017924,428.07357115404284
Ampara,PF,10.0,98519.72943798195,8407.32213792838,286.2847742542991
Ampara,PF,10.0,112511.37695889303,18769.780142039082,517.4370393887996
Ampara,PF,10.0,85912.50229941745,11515.97712819078,479.37179033470863
Ampara,PF,10.0,95651.56163628763,6186.563431113141,212.6390712320171
Ampara,PF,10.0,81180.42327382644,6327.74350157672,321.46085534912726
Ampara,PF,10.0,71568.00122168413,5958.645880955091,433.4861645709129
Ampara,PF,10.0,57576.857601503485,8818.954118118605,1147.344099742865
Ampara,PF,10.0,60475.939127078076,5347.349504143587,459.31519460822966
Ampara,PF,10.0,52360.55341122071,4810.9452082113285,695.7484924413907
Ampara,PF,10.0,74835.46347775093,7553.250773123069,502.8679020341495
Ampara,PF,10.0,56740.34137382808,4496.274969429609,456.04822395373833
Ampara,PF,10.0,44218.53419803624,4499.18751045731,1366.3049369067078
Ampara,PF,10.0,605065.9972873097,79010.37184876674,255.24422817767208
Ampara,PF,10.0,488816.7081473936,50183.016376549385,197.08640695907917
Ampara,PF,10.0,388130.14697549073,140965.91284532446,2282.412779364945
Ampara,PF,10.0,288427.55158802,31198.895844548486,226.43435604119048
Ampara,PF,10.0,137483.23233087818,11160.344909189404,216.31839832529042
Ampara,PF,10.0,398443.58869262255,59667.77408692544,321.24928946228334
Ampara,PF,10.0,317491.53791727184,21995.36244830826,138.39535527881534
Ampara,PF,10.0,335215.67189738806,57230.61304858397,386.3304682704017
Ampara,PF,10.0,139547.86596549634,15917.77029747392,314.1968648195375
Ampara,PF,10.0,98173.08675062767,9631.789520931316,342.37385623313185
Ampara,PF,10.0,318444.8712247427,36597.13249563062,245.13678122099282
Ampara,PF,10.0,86542.0618096601,5966.4099546711805,255.4535330960604
Ampara,PF,10.0,91524.29825135127,8240.405490250485,327.8684097611534
Ampara,PF,10.0,112327.47662953242,10019.219766765857,273.3215273400669
Ampara,PF,10.0,105058.81406079694,15373.523549984493,526.2739710324279
Ampara,PF,10.0,53600.42459566611,7269.5184831488,1180.640840234334
Ampara,PF,10.0,70295.09524284203,10484.993358490376,717.8800143234221
Ampara,PF,10.0,91499.10321483019,12996.262973280813,489.99174687450125
Ampara,PF,10.0,96166.94661591412,8218.433209312643,290.57215139481184
Ampara,PF,10.0,61103.395144736765,6516.249443004625,570.9339086035383
Ampara,PF,10.0,121001.10818365615,11788.974439213423,283.05679752851216
Ampara,PF,10.0,71678.84766375521,13289.554500082932,970.0148600913666
Ampara,PF,10.0,118426.06998360752,11090.22384354764,274.6605796756948
Ampara,PF,10.0,74376.01733851207,6992.641452028454,465.8051893182859
Ampara,PF,10.0,101437.23263677099,13400.547927175337,480.1303676386534
Ampara,PF,10.0,88562.01819928453,10523.198611284435,480.14628260042775
Ampara,PF,10.0,102759.5853396134,16405.98320002847,527.3446736312692
Ampara,PF,10.0,97794.17683859401,11383.888622650127,425.69782716093806
Ampara,PF,10.0,204267.8328235089,22844.03568348023,258.7428165630653
Ampara,PF,10.0,156099.1182617592,21982.475087894836,385.5918000237554
Ampara,PF,10.0,257852.65993377523,19057.441848899227,151.37067440727168
Ampara,PF,10.0,117990.78178287482,10161.181302084462,255.46053465785167
Ampara,PF,10.0,57667.84097989867,8313.697622242673,1035.553243044429
Ampara,PF,10.0,43977.842498563914,6302.946293233001,7088.711287248343
Ampara,PF,10.0,49827.960058743854,8100.037480079501,1391.1665245837653
Ampara,PF,10.0,58331.09152734977,8073.6005553691575,936.2240149730935
Ampara,PF,10.0,69595.25915863803,5762.374835329433,451.08723003785235
Ampara,PF,10.0,95620.92915932668,13364.075982523464,464.8198498499363
Ampara,PF,10.0,82436.25522094237,9650.599379906127,529.4598628522562
Ampara,PF,10.0,51912.855190173665,4416.62408622401,641.296702241498
Ampara,PF,10.0,78024.03597295268,5591.6352826010025,312.0803405965212
Ampara,PF,10.0,119609.94373455715,11863.402933011876,293.4153488406809
Ampara,PF,10.0,69325.58437820022,8024.315563172313,516.5433207822869
Ampara,PF,10.0,75727.97127961135,11061.325283647211,629.9162942048567
Ampara,PF,10.0,71824.95543833419,10360.118365665214,665.4332124621777
Ampara,PF,10.0,100972.37835364637,12181.235773224458,426.59689647208
Ampara,PF,10.0,111968.59384187758,14507.413485892324,428.35345434493837
Ampara,PF,10.0,90893.70750240449,10702.340546001376,461.1176623119777
Ampara,PF,10.0,75524.14343415582,8681.188546893438,457.3959056222049
Ampara,PF,10.0,83592.4495875837,14412.729107977715,699.7688311795192
Ampara,PF,10.0,109560.14756703061,10799.865986094406,313.1971805934711
Ampara,PF,10.0,109459.8244471902,10701.041861681491,307.8410580249676
Ampara,PF,10.0,109595.16280848408,15985.825214633527,508.8175803898729
Ampara,PF,10.0,70164.1630832839,8145.130335457205,510.7187402491076
Ampara,PF,10.0,100676.57690626726,8865.52132693952,292.7475755830581
Ampara,PF,10.0,84970.33097905641,12423.946318580243,548.0670681870959
Ampara,PF,10.0,132832.5215546286,20940.961544034064,483.53629599388506
