region,hazard,rp,c,di0,dc_post_reco
ARMM,PF,1000,243302.09000000003,20849.880005642863,2.61
ARMM,PF,1000,98041.71899999998,7932.803224873093,0.5
ARMM,PF,1000,116599.21000000006,10444.979787666967,1.3
ARMM,PF,1000,21066.311000000005,6560.351435174157,5538.19
ARMM,PF,1000,26179.943,2069.5072079500096,0.37
ARMM,PF,1000,23040.299000000006,4898.425493315721,68.83
ARMM,PF,1000,18463.852,6449.407597121837,4528.54
ARMM,PF,1000,25606.15,9690.051602299467,1811.51
ARMM,PF,1000,25441.725,12059.4039138076,9919.96
ARMM,PF,1000,32336.271000000004,2851.7029637298488,0.36
ARMM,PF,1000,28000.338000000003,4558.261484115079,12.86
ARMM,PF,1000,24290.740000000005,7247.693144486794,488.65
ARMM,PF,1000,14660.443000000001,5287.04773063117,3511.92
ARMM,PF,1000,25692.90800000001,2477.108108237107,0.6
ARMM,PF,1000,28644.792999999998,9157.648701301274,588.96
ARMM,PF,1000,21983.362999999998,7326.756569305689,6289.73
ARMM,PF,1000,41782.488,6956.94377579796,28.98
ARMM,PF,1000,75756.96100000001,5601.069800980404,0.36
ARMM,PF,1000,17893.768,3081.879547275176,2368.05
ARMM,PF,1000,20441.686,3875.064228522785,59.31
ARMM,PF,1000,20354.516,1775.7390171017614,0.34
ARMM,PF,1000,29381.922000000013,6204.8848276214685,68.17
ARMM,PF,1000,14467.271000000002,873.379034261499,0.41
ARMM,PF,1000,9765.756799999996,485.45922538206435,0.37
ARMM,PF,1000,14189.766,1309.9207837126144,18.41
ARMM,PF,1000,26386.826,1997.307889074064,0.34
ARMM,PF,1000,24692.9,9081.773317805724,1922.7
ARMM,PF,1000,12662.072000000002,1144.8256392122846,4.88
ARMM,PF,1000,16819.752,2235.135771795413,1297.0
ARMM,PF,1000,14568.435,1536.986134825507,58.65
ARMM,PF,1000,19211.766,1704.3268914588898,0.34
ARMM,PF,1000,16270.782,5861.532777097485,4007.64
ARMM,PF,1000,15593.18,5550.061139806924,3738.8
ARMM,PF,1000,16000.623000000005,4851.242481730252,3135.58
ARMM,PF,1000,13540.621,4236.037764226328,2595.95
ARMM,PF,1000,11936.804000000002,1460.4744519353487,52.22
ARMM,PF,1000,21340.803,2788.552942522036,15.19
ARMM,PF,1000,217936.58,26439.383106876197,18.16
ARMM,PF,1000,18579.625000000004,3312.19574345114,851.66
ARMM,PF,1000,28168.066000000006,11922.96098064244,2463.22
ARMM,PF,1000,40491.922,12528.377881155586,588.0
ARMM,PF,1000,47652.734,20327.532055454987,3425.31
ARMM,PF,1000,32448.801,5349.561088578473,22.29
ARMM,PF,1000,27148.197000000004,2428.6302459334547,0.64
ARMM,PF,1000,17948.328000000005,2107.343642182528,12.91
ARMM,PF,1000,20872.678,2411.6430033494603,2.85
ARMM,PF,1000,15453.293,4184.723074789565,2553.16
ARMM,PF,1000,236120.69000000012,22598.11211638084,5.23
ARMM,PF,1000,78659.79700000004,10026.280576744,10.83
ARMM,PF,1000,50589.066,5303.087971036262,2.22
ARMM,PF,1000,140935.58000000002,20516.63993637053,45.61
ARMM,PF,1000,24142.436000000005,7121.127903950098,429.31
ARMM,PF,1000,20699.721000000005,6713.452211179768,5179.89
ARMM,PF,1000,18379.775000000005,7047.165345248553,5043.45
ARMM,PF,1000,18344.682,8441.295815946218,6264.16
ARMM,PF,1000,22801.006000000005,8338.640885334591,7271.08
ARMM,PF,1000,15999.516000000005,6369.068955773607,4449.95
ARMM,PF,1000,18754.285,6415.295554962074,4494.43
ARMM,PF,1000,68036.977,13084.359199262208,93.15
ARMM,PF,1000,22240.633,2478.702128898778,0.9
ARMM,PF,1000,29673.543,2629.815287625212,0.36
ARMM,PF,1000,30097.89600000001,11349.636530047586,1419.76
ARMM,PF,1000,62615.328,5582.897965437351,0.74
ARMM,PF,1000,74621.10900000001,6044.845153189676,0.37
ARMM,PF,1000,29568.061,3675.174037549211,2.51
ARMM,PF,1000,44617.313,3072.953031569817,0.35
ARMM,PF,1000,64729.30900000003,5194.275728121903,0.36
ARMM,PF,1000,111140.91000000002,11754.299007759182,4.78
ARMM,PF,1000,49402.30100000001,6245.054148295583,6.75
ARMM,PF,1000,25535.256000000005,4131.063946787186,12.99
ARMM,PF,1000,17854.453,6253.024251603941,4348.48
ARMM,PF,1000,18049.627,4830.8390172608615,3114.1
ARMM,PF,1000,21050.871,6904.978702227478,5528.89
ARMM,PF,1000,19140.492,7893.590316595982,5778.54
ARMM,PF,1000,21132.137,9633.304466743972,7288.66
ARMM,PF,1000,21142.006,4377.818345213894,91.78
ARMM,PF,1000,27279.287,9830.325420526535,1067.07
ARMM,PF,1000,23346.768,7570.3678018998025,1188.28
ARMM,PF,1000,19313.26,8991.232944222797,6746.43
ARMM,PF,1000,37827.422,6682.4534178581725,36.42
ARMM,PF,1000,39478.04700000001,2456.929021224249,0.38
ARMM,PF,1000,31803.641,3861.7268935187935,6.05
ARMM,PF,1000,40550.086,5615.771999155062,12.53
ARMM,PF,1000,26021.85,3416.875188992053,5.35
ARMM,PF,1000,39276.793,6053.354501638033,19.32
ARMM,PF,1000,27355.366999999995,3453.615448375068,5.42
ARMM,PF,1000,59169.49600000002,5558.3500472476135,0.74
ARMM,PF,1000,52427.59800000001,5541.1852336831225,2.23
ARMM,PF,1000,60632.23000000001,7225.56663994797,7.88
ARMM,PF,1000,20574.484000000004,2731.407845073151,92.81
ARMM,PF,1000,29654.223000000005,10200.138214034268,783.83
ARMM,PF,1000,49582.766,4492.716706058662,0.61
ARMM,PF,1000,36033.031,3872.0257721615712,1.59
ARMM,PF,1000,26691.49,5148.405329306303,41.52
ARMM,PF,1000,74134.26600000003,9997.37878586968,10.78
ARMM,PF,1000,40324.54299999998,4354.951705588006,1.75
ARMM,PF,1000,24047.217000000004,4466.764698135149,33.89
ARMM,PF,1000,22369.799,4480.792079957856,51.06
ARMM,PF,1000,37075.245999999985,3020.0315456023313,0.35
ARMM,PF,1000,39071.258,5180.5671504315305,5.58
ARMM,PF,1000,26297.23000000001,2235.454575927747,0.35
ARMM,PF,1000,33310.34,4692.159219695462,7.27
ARMM,PF,1000,54972.60500000002,3882.0779194341376,0.35
ARMM,PF,1000,35898.86700000001,4586.6350518928275,4.95
ARMM,PF,1000,35811.52,2762.756610808593,0.35
ARMM,PF,1000,19809.043000000005,3363.383596126317,34.06
ARMM,PF,1000,31539.020000000004,3631.497871419419,2.49
ARMM,PF,1000,23157.06400000001,9304.617406307365,7635.26
ARMM,PF,1000,31960.361,11214.254158989506,872.58
ARMM,PF,1000,30421.029,2441.083241283337,0.34
