region,hazard,rp,fa,v
ARMM,EQ,1,0.0007529040742885769,0.2404555393781374
ARMM,EQ,10,0.0012282767520185732,0.23937346445454263
ARMM,EQ,25,0.009166019234903556,0.23795160119486566
ARMM,EQ,30,0.012296247840573095,0.23844501824144484
ARMM,EQ,50,0.029607670631853756,0.2381350421630372
ARMM,EQ,100,0.07549967580007369,0.2391584609705752
ARMM,EQ,200,0.13856717477017366,0.23788469448836919
ARMM,EQ,250,0.16032326818213935,0.2394752487894068
ARMM,EQ,500,0.24496778115974147,0.23797571824695604
ARMM,EQ,1000,0.32743233010320016,0.23920393114107363
ARMM,EQ,2000,0.5439992632031107,0.23949747061015048
ARMM,HU,1,1.0000000000000454e-08,0.2057203054808757
ARMM,HU,10,1.0000000000000454e-08,0.20561466623708058
ARMM,HU,25,0.00010321440503181105,0.20461157505336533
ARMM,HU,30,0.00016603589532200708,0.20505887104873793
ARMM,HU,50,0.0005865078576014393,0.20474860297355407
ARMM,HU,100,0.0024169342617597054,0.20500635097173106
ARMM,HU,200,0.006950697869104624,0.20524815287018053
ARMM,HU,250,0.0105902251981549,0.20505366198991717
ARMM,HU,500,0.02673584009715457,0.20527519442021788
ARMM,HU,1000,0.040901311009558135,0.20338854586914665
ARMM,HU,2000,0.2255357604618551,0.2041897339537821
ARMM,PF,1,4.787702718500502e-05,0.20498857593430841
ARMM,PF,10,9.279535333081619e-05,0.20623185464671637
ARMM,PF,25,0.0006432574687752147,0.20327729734409464
ARMM,PF,30,0.0010613413810248045,0.20568940374570668
ARMM,PF,50,0.0028922584056542567,0.2049288996401076
ARMM,PF,100,0.006545811673614082,0.2045607586682522
ARMM,PF,200,0.010108703085668051,0.20525092989425284
ARMM,PF,250,0.011954394759986687,0.204464455364249
ARMM,PF,500,0.019519008820035502,0.20420414429274292
ARMM,PF,1000,0.027466645167054392,0.2047291422273047
ARMM,PF,2000,0.05327476457414003,0.20445379548342502
ARMM,SS,1,1.0000000000000454e-08,0.2062426263003025
ARMM,SS,10,1.0000000000000454e-08,0.2051245309342828
ARMM,SS,25,1.0000000000000454e-08,0.20467988185927552
ARMM,SS,30,1.0000000000000454e-08,0.20506814585722977
ARMM,SS,50,1.0000000000000454e-08,0.2049826427112611
ARMM,SS,100,1.0000000000000454e-08,0.20552989411031114
ARMM,SS,200,1.0000000000000454e-08,0.2049166064244102
ARMM,SS,250,1.0000000000000454e-08,0.20482221296220932
ARMM,SS,500,1.0000000000000454e-08,0.20579453000845432
ARMM,SS,1000,1.0000000000000454e-08,0.20530435864127564
ARMM,SS,2000,0.000279472991740804,0.20494897403835174
CAR,EQ,1,3.935143807323608e-05,0.1667404963043087
CAR,EQ,10,4.9246483976417295e-05,0.16805398451043807
CAR,EQ,25,0.0028702288214982555,0.16882226316119953
CAR,EQ,30,0.005229913964221616,0.16827988749469958
CAR,EQ,50,0.018565204966070493,0.16806941448205065
CAR,EQ,100,0.07586524921620445,0.16635158944601675
CAR,EQ,200,0.1633330590831243,0.16696620999987433
CAR,EQ,250,0.22052752313017748,0.17057906992772393
CAR,EQ,500,0.41147975624093364,0.16773373161792923
CAR,EQ,1000,0.6585279371746232,0.1681501849363489
CAR,EQ,2000,0.9500000000000287,0.3285575683684545
CAR,HU,1,0.004082728097595924,0.13667791377702102
CAR,HU,10,0.023458703893742716,0.13602865505020906
CAR,HU,25,0.06354777672004377,0.136335541822684
CAR,HU,30,0.07248422524331834,0.13730400209027857
CAR,HU,50,0.10331657226361259,0.13699975909499604
CAR,HU,100,0.1599412605768599,0.1360945659077081
CAR,HU,200,0.23106388435330105,0.1370507577034448
CAR,HU,250,0.25809437391552975,0.13615517808441174
CAR,HU,500,0.33961909470072743,0.13739405184901507
CAR,HU,1000,0.4251557108942729,0.13656622927341
CAR,HU,2000,1.0000000000000106e-08,0.1370007304534684
CAR,PF,1,0.003571739488183636,0.13727327023362595
CAR,PF,10,0.014158960716332105,0.138209163552207
CAR,PF,25,0.033930591702172795,0.13807903875919406
CAR,PF,30,0.038915613639291455,0.13696876847109135
CAR,PF,50,0.05331338988474027,0.1363884991137307
CAR,PF,100,0.09136880032188528,0.13680445232656885
CAR,PF,200,0.14351145031721424,0.13777796031340728
CAR,PF,250,0.14920134626232295,0.13694579232249385
CAR,PF,500,0.16903886327670256,0.13648570296093696
CAR,PF,1000,0.18658866882926295,0.1367052017826386
CAR,PF,2000,1.0000000000000106e-08,0.13658431912639585
I - Ilocos,EQ,1,0.001038554068412653,0.1727061543524201
I - Ilocos,EQ,10,0.0012855024198756928,0.17400392121715094
I - Ilocos,EQ,25,0.020829590477435347,0.1720641334903629
I - Ilocos,EQ,30,0.03210824735828176,0.1725054806839893
I - Ilocos,EQ,50,0.09640917409471053,0.1720261959901337
I - Ilocos,EQ,100,0.3343378161035544,0.17194546893559845
I - Ilocos,EQ,200,0.6691067956005406,0.17388968403735358
I - Ilocos,EQ,250,0.8317025803639359,0.17483704540720776
I - Ilocos,EQ,500,0.9500000000000145,0.257653508945312
I - Ilocos,EQ,1000,0.9500000000000145,0.3234358720598109
I - Ilocos,EQ,2000,0.9500000000000145,0.7554936520152269
I - Ilocos,HU,1,0.00957868080419287,0.14108284701666898
I - Ilocos,HU,10,0.051908797621823766,0.14124742311580718
I - Ilocos,HU,25,0.14673542340875648,0.14056667812912949
I - Ilocos,HU,30,0.17079169248745188,0.139884682582597
I - Ilocos,HU,50,0.24849574537029248,0.14064641249991064
I - Ilocos,HU,100,0.38496858435143877,0.14195521778771283
I - Ilocos,HU,200,0.5561383494746235,0.14072565836989137
I - Ilocos,HU,250,0.6147042920778517,0.14171452212993269
I - Ilocos,HU,500,0.8782255221390158,0.1408447094089387
I - Ilocos,HU,1000,0.9500000000000145,0.165128402403975
I - Ilocos,HU,2000,1.0000000000000501e-08,0.14003513495711029
I - Ilocos,PF,1,0.002243900172522215,0.13984537845696277
I - Ilocos,PF,10,0.009257685541926358,0.13964099395924995
I - Ilocos,PF,25,0.0263634619936397,0.1408899173578989
I - Ilocos,PF,30,0.03194422935972803,0.1410567269400229
I - Ilocos,PF,50,0.05209934643508871,0.14103889297896438
I - Ilocos,PF,100,0.08688902338764852,0.1412999896539148
I - Ilocos,PF,200,0.12274575186381763,0.14043783344572117
I - Ilocos,PF,250,0.13099547051259577,0.1415230484441839
I - Ilocos,PF,500,0.16730502770785458,0.14103004077463857
I - Ilocos,PF,1000,0.20522088020244666,0.14153619356619299
I - Ilocos,PF,2000,1.0000000000000501e-08,0.14123891010036416
I - Ilocos,SS,1,1.0000000000000501e-08,0.1403444416745006
I - Ilocos,SS,10,1.0000000000000501e-08,0.1404101550203107
I - Ilocos,SS,25,0.0026596874474321187,0.14042127878333682
I - Ilocos,SS,30,0.0029909496251417414,0.14077684257205086
I - Ilocos,SS,50,0.005274140068097107,0.1395607359285357
I - Ilocos,SS,100,0.006483778549903117,0.1404384305930444
I - Ilocos,SS,200,0.007421157754935694,0.1411663429697785
I - Ilocos,SS,250,0.0078103394415676985,0.14020856147556077
I - Ilocos,SS,500,0.008804482894206248,0.14025981300088164
I - Ilocos,SS,1000,0.009594942625892895,0.1400476984555896
I - Ilocos,SS,2000,0.21510799943075581,0.13973269988420722
II - Cagayan Valley,EQ,1,0.0010738999905544498,0.1638834043451287
II - Cagayan Valley,EQ,10,0.001845494472815338,0.16348599385061796
II - Cagayan Valley,EQ,25,0.019574568841342947,0.1628946477763622
II - Cagayan Valley,EQ,30,0.026248020835422915,0.16369493273629382
II - Cagayan Valley,EQ,50,0.06009419867258318,0.16412995529915086
II - Cagayan Valley,EQ,100,0.13448079930556942,0.16221613166934443
II - Cagayan Valley,EQ,200,0.23143709733619405,0.16337734111670169
II - Cagayan Valley,EQ,250,0.2541983048819215,0.16384507589173364
II - Cagayan Valley,EQ,500,0.37089763709219176,0.16465558736518637
II - Cagayan Valley,EQ,1000,0.46005459015190725,0.16440387687267244
II - Cagayan Valley,EQ,2000,0.7326740748446801,0.16311641469886473
II - Cagayan Valley,HU,1,0.024484972897369187,0.1331436344562001
II - Cagayan Valley,HU,10,0.1448124028658183,0.1327112766471901
II - Cagayan Valley,HU,25,0.3105484880743459,0.13294892550560522
II - Cagayan Valley,HU,30,0.35383618549963336,0.13361978807556577
II - Cagayan Valley,HU,50,0.5059373802941783,0.13130069801413685
II - Cagayan Valley,HU,100,0.7212118022160336,0.13298314350616333
II - Cagayan Valley,HU,200,0.9500000000000259,0.13671840649635006
II - Cagayan Valley,HU,250,0.9500000000000259,0.1485912495764913
II - Cagayan Valley,HU,500,0.9500000000000259,0.1976775443383185
II - Cagayan Valley,HU,1000,0.9500000000000259,0.246138304433028
II - Cagayan Valley,HU,2000,1.0000000000000439e-08,0.1327077643135915
II - Cagayan Valley,PF,1,0.0020768026313989305,0.1331136244027929
II - Cagayan Valley,PF,10,0.0072390135010409525,0.13321801000000918
II - Cagayan Valley,PF,25,0.02975957939203546,0.13295958312171555
II - Cagayan Valley,PF,30,0.03771860836527651,0.13315426086773102
II - Cagayan Valley,PF,50,0.07289334413720505,0.13336823421251345
II - Cagayan Valley,PF,100,0.13447476059295568,0.13210655616885159
II - Cagayan Valley,PF,200,0.20147029709960326,0.13223226205954353
II - Cagayan Valley,PF,250,0.22054572487479637,0.13246395186789628
II - Cagayan Valley,PF,500,0.28940010578400877,0.13342944961288467
II - Cagayan Valley,PF,1000,0.35849444649144774,0.13323389204033304
II - Cagayan Valley,PF,2000,1.0000000000000439e-08,0.1327300484850383
II - Cagayan Valley,SS,1,0.00280929366769755,0.13426438552554715
II - Cagayan Valley,SS,10,0.0078931953178589,0.13362837463068533
II - Cagayan Valley,SS,25,0.0104555355440823,0.13177065357032777
II - Cagayan Valley,SS,30,0.010596868492082278,0.13321000103763558
II - Cagayan Valley,SS,50,0.011588544145775944,0.13376676854030137
II - Cagayan Valley,SS,100,0.013118956998653222,0.1321820374160924
II - Cagayan Valley,SS,200,0.014566294697896701,0.13310482113667074
II - Cagayan Valley,SS,250,0.014720698828239356,0.13344754828382818
II - Cagayan Valley,SS,500,0.01605817335748564,0.13153679043904326
