Region,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_net_t0,dc_pre_reco,dc_t,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,help_fee,hh_reco_rate,integ,intermed_sf_num,k,optimal_hh_reco_rate,pc_fee,pcsoc,pcwgt,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,sub_savings_q1,sub_savings_q3,t_exhaust_sav,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Bucharest-Ilfov,EQ,2000,8234121447313,a,helped,12667,23259.167250039638,15800.657894736842,0.013113931622297266,19397.828315476145,19397.828315476145,0.0,19396.83,19396.83,0.0,19396.83,0.0,19396.83,0.0,19396.83,96360.0,96360.0,96360.0,0.0,0.08723134895245699,1582838.5515274687,,0.0,10.014551009498822,57867112.7166,115547.41423501649,0.024999999999999994,,0.0,600.530435,24017.0,0.0,0.0,0.0,0.0,0.0038019017466514654,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.819088809440269e-07,1051343.9260979826,631364025.2742293
Bucharest-Ilfov,EQ,2000,8234151313313,a,helped,18183,36369.50947511782,15800.657894736842,0.01048724161573138,29270.363026274474,29270.363026274474,0.0,29269.36,29269.36,0.0,29269.36,0.0,29269.36,0.0,29269.36,145405.0,145405.0,145405.0,0.0,0.08723134895245699,1099761.740016258,,0.0,8.700918714842603,12090776.365076505,180677.26723271376,0.035,,0.0,83.15241130000003,24017.0,0.0,0.0,0.0,0.0,0.0038019017466514654,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.4417628622275237e-07,1051343.9260979826,87421782.56065628
Bucharest-Ilfov,EQ,5000,82341512113,a,helped,18128,109732.0057306412,15800.657894736842,0.006037586096957702,104246.27058314923,104246.27058314923,0.0,104245.27,104245.27,0.0,104245.27,0.0,104245.27,0.0,104245.27,517872.0,517872.0,517872.0,0.0,0.08723134895245699,1740190.513311592,,0.0,23.91449632037926,758375110.0212,545129.1262792735,0.0050000000000000044,,0.0,1464.4064749999998,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.751059755427302e-08,1051343.9260979826,1539594852.8298068
Bucharest-Ilfov,EQ,5000,823405461211,a,helped,852,60581.211497124816,15800.657894736842,0.008125704386657157,57552.97582006178,57552.97582006178,0.0,57551.98,57551.98,0.0,57551.98,0.0,57551.98,0.0,57551.98,285908.0,285908.0,285908.0,0.0,0.08723134895245699,2341993.0459718276,,0.0,23.914007496388273,56158341.415022,300956.7051333489,0.0049999999999999975,,0.0,196.4210215,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,6.706455834943812e-08,1051343.9260979826,206506047.91198623
Bucharest-Ilfov,EQ,5000,823405474011,a,helped,908,58295.12804440314,15800.657894736842,0.008283499786434624,55381.199349579496,55381.199349579496,0.0,55380.2,55380.2,0.0,55380.2,0.0,55380.2,0.0,55380.2,275119.0,275119.0,275119.0,0.0,0.08723134895245699,2387469.1032775994,,0.0,23.913969615136043,47221925.87658,289599.8483358641,0.0050000000000000044,,0.0,171.64182,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,7.104795944632902e-08,1051343.9260979826,180454584.92140323
Bucharest-Ilfov,EQ,5000,823407533611,a,helped,4616,24432.51690096308,15800.657894736842,0.012795165030378437,21303.334321455495,21303.334321455495,0.0,21174.49,21302.33,0.0,21174.49,0.0,21174.49,0.0,21174.49,105008.0,105008.0,105008.0,0.0,0.08723134895245699,1870203.155839232,,0.0,12.127482936838714,172764122.17791998,110535.77098915668,0.005000000000000001,,2184.0,1645.24724,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.618470516615928e-07,1051343.9260979826,1729720692.7034698
Bucharest-Ilfov,EQ,5000,823407534611,a,helped,4672,38032.11562255179,15800.657894736842,0.01025545074946684,34859.22557188365,34859.22557188365,0.0,34773.0,34858.23,0.0,34773.0,0.0,34773.0,0.0,34773.0,172624.0,172624.0,172624.0,0.0,0.08723134895245699,2072545.6715060237,,0.0,16.767840522896726,148075188.17266402,181709.70875975786,0.0049999999999999975,,1456.0,857.7902735,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.348261933578275e-07,1051343.9260979826,901832593.9101523
Bucharest-Ilfov,EQ,5000,823407653011,a,helped,4744,86247.69389813657,15800.657894736842,0.006810143289485111,81936.29470248452,81936.29470248452,0.0,81935.29,81935.29,0.0,81935.29,0.0,81935.29,0.0,81935.29,407040.0,407040.0,407040.0,0.0,0.08723134895245699,1962887.3157323815,,0.0,23.914807932057304,61398587.45471999,428463.2337232927,0.0049999999999999975,,0.0,150.84165549999997,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,3.948014713024256e-08,1051343.9260979826,158586458.31248933
Bucharest-Ilfov,EQ,5000,823407745911,a,helped,4856,94508.76819319902,15800.657894736842,0.006505698677330071,89784.1999072943,89784.1999072943,0.0,89783.2,89783.2,0.0,89783.2,0.0,89783.2,0.0,89783.2,446027.0,446027.0,446027.0,0.0,0.08723134895245699,1875109.4695114833,,0.0,23.914453529295542,51285606.50558275,469502.78442329477,0.0049999999999999975,,0.0,114.98318825,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,3.44184925997069e-08,1051343.9260979826,120886876.57001841
Bucharest-Ilfov,EQ,5000,823407883311,a,helped,5080,90404.20926672146,15800.657894736842,0.006651746192598804,85884.90599592974,85884.90599592974,0.0,85883.91,85883.91,0.0,85883.91,0.0,85883.91,0.0,85883.91,426656.0,426656.0,426656.0,0.0,0.08723134895245699,1917213.7687689932,,0.0,23.914573947777576,48427185.02344,449112.0642641743,0.005000000000000001,,0.0,113.5040525,24017.0,0.0,0.0,0.0,0.0,0.016876931998929177,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,3.678891860540484e-08,1051343.9260979826,119331796.18338153
