district,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_net_t0,dc_t,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,hh_reco_rate,integ,intermed_sf_num,optimal_hh_reco_rate,pc_fee,pcsoc,pcwgt,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_exhaust_sav,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Batticaloa,PF,25.0,51212045051,a,helped,23878,54125.459947694835,36346.798828125,0.008596649015520088,44073.633370311254,44073.633370311254,0.0,44073.63,451.04499999999996,44073.63,0.0,44073.63,0.0,44073.63,134147.0,134147.0,134147.0,0.0,0.055453822045346574,3296170.184643587,0.0,8.173063952670406,4389782.170162453,0.045,,0.0,32.7236700795579,43493.30859375,0.0,-5.684341886080801e-13,4510.45,0.0,9.124378313226018e-06,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,7.941409665458384e-08,2601519.0964166955,85131252.61680952
Batticaloa,PF,50.0,51212045051,a,helped,24643,54125.459947694835,36346.798828125,0.008596649015520088,44926.87068357729,44926.87068357729,0.0,44926.87,451.04499999999996,44926.87,0.0,44926.87,0.0,44926.87,136744.0,136744.0,136744.0,0.0,0.055453822045346574,3559856.4693837767,0.0,8.826890893604483,4844457.567041888,0.035,,0.0,35.42720387762452,43493.30859375,0.0,5.684341886080802e-14,4510.45,0.0,1.0495228261071916e-05,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,7.941409665458384e-08,2601519.0964166955,92164547.4202878
Batticaloa,PF,500.0,51207002021,a,helped,26731,57487.97290047893,36346.798828125,0.008341448985619821,46048.20258584027,46048.20258584027,0.0,46048.2,479.066,46048.2,0.0,46048.2,0.0,46048.2,140157.0,140157.0,140157.0,0.0,0.055453822045346574,3006943.7983488357,0.0,7.684016328729628,4388199.723770837,0.045,,0.0,31.30917274036143,43493.30859375,0.0,-5.684341886080802e-14,4790.66,0.0,1.2227089076774823e-05,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,7.254951396581883e-08,2601519.0964166955,81451410.7770593
Colombo,PF,250.0,11210093091,a,helped,41369,31215.47926138201,36346.798828125,0.011319962602154567,26193.10418283446,26193.10418283446,0.0,26193.1,4246.329,26193.1,0.0,26193.1,0.0,26193.1,79724.0,79724.0,79724.0,0.0,0.055453822045346574,3666433.114988044,0.0,6.904039078636115,4186019.4158049044,0.035,,0.0,52.5063897421718,43493.30859375,0.0,-3.129230208287481e-11,2601.29,0.0,5.439980568002721e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.813196989123113e-07,2601519.0964166955,136596375.5981576
Colombo,PF,500.0,11210093091,a,helped,43702,31215.47926138201,36346.798828125,0.011319962602154567,25690.09828117474,25690.09828117474,0.0,25690.1,4169.779,25690.1,0.0,25690.1,0.0,25690.1,78193.0,78193.0,78193.0,0.0,0.055453822045346574,3384229.9267630572,0.0,6.372639274380483,4295789.832440175,0.035,,0.0,54.938291566254975,43493.30859375,0.0,-7.8017592386459e-11,2601.29,0.0,5.602434775178247e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.813196989123113e-07,2601519.0964166955,142923014.6341206
Gampaha,PF,5.0,12101137041,a,helped,58589,35444.649164676404,36346.798828125,0.01062318279827093,28251.78150471546,28251.78150471546,0.0,28251.78,4594.872,28251.78,0.0,28251.78,0.0,28251.78,85990.0,85990.0,85990.0,0.0,0.055453822045346574,2817993.792513789,0.0,5.654443171724842,576037.0877488446,0.044999999999999984,,0.0,6.698884611569306,43493.30859375,0.0,2.7000623958883807e-11,2953.72,0.0,5.066390892441709e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.498559450950615e-07,2601519.0964166955,17427276.24168949
Gampaha,PF,100.0,12101137041,a,helped,67209,35444.649164676404,36346.798828125,0.01062318279827093,27592.058545517084,27592.058545517084,0.0,27592.06,4494.472,27592.06,0.0,27592.06,0.0,27592.06,83982.0,83982.0,83982.0,0.0,0.055453822045346574,2600640.2761744782,0.0,5.218312648804541,1028060.8348335179,0.05500000000000002,,0.0,12.241442628581337,43493.30859375,0.0,-6.986056177993305e-11,2953.72,0.0,1.020653713569903e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.498559450950615e-07,2601519.0964166955,31846346.76594374
Hambantota,PF,5.0,33211033041,a,helped,76440,31027.43210540065,36346.798828125,0.011354214086190355,25823.488481092343,25823.488481092343,0.0,25823.49,4188.512000000001,25823.49,0.0,25823.49,0.0,25823.49,78599.0,78599.0,78599.0,0.0,0.055453822045346574,3552624.0397159015,0.0,6.669551613790965,2867189.887538046,0.035,,0.0,36.47870694968188,43493.30859375,0.0,-4.172306944383308e-11,2585.62,0.0,2.634854230543909e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.829705733884119e-07,2601519.0964166955,94900052.74218583
Hambantota,PF,10.0,33211033041,a,helped,77323,31027.43210540065,36346.798828125,0.011354214086190355,25107.583935229162,25107.583935229162,0.0,25107.58,4079.5620000000004,25107.58,0.0,25107.58,0.0,25107.58,76420.0,76420.0,76420.0,0.0,0.055453822045346574,3181325.3981887163,0.0,5.97249067345176,3238280.5477817366,0.045,,0.0,42.37477817039697,43493.30859375,0.0,-5.303490979713388e-11,2585.62,0.0,3.392628439144571e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.829705733884119e-07,2601519.0964166955,110238794.61670904
Hambantota,PF,100.0,33207001101,a,helped,79765,29040.66894656925,36346.798828125,0.011736177997618958,22601.096656481932,22601.096656481932,0.0,22601.1,3681.5559999999996,22601.1,0.0,22601.1,0.0,22601.1,68791.0,68791.0,68791.0,0.0,0.055453822045346574,2870720.6001932197,0.0,5.2139721174757145,2839452.849670455,0.05500000000000002,,0.0,41.276516545339575,43493.30859375,0.0,-6.969003152335063e-11,2420.06,0.0,4.43933153155985e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,2.0206452577266518e-07,2601519.0964166955,107381646.0262606
Hambantota,PF,100.0,33211036071,a,helped,79983,38028.39546684644,36346.798828125,0.010255952360698857,31608.22062382435,31608.22062382435,0.0,31608.22,5127.2029999999995,31608.22,0.0,31608.22,0.0,31608.22,96206.0,96206.0,96206.0,0.0,0.055453822045346574,3191368.664063396,0.0,6.63293051519366,3529813.9826014955,0.035,,0.0,36.69016467373652,43493.30859375,0.0,-9.211476026393939e-11,3169.03,0.0,4.43933153155985e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.3484597804869395e-07,2601519.0964166955,95450164.0493988
Hambantota,PF,1000.0,33211036071,a,helped,82632,38028.39546684644,36346.798828125,0.010255952360698857,31165.66742360512,31165.66742360512,0.0,31165.67,5059.853,31165.67,0.0,31165.67,0.0,31165.67,94859.0,94859.0,94859.0,0.0,0.055453822045346574,3015811.393487317,0.0,6.268052840520519,4197952.065774095,0.035,,0.0,44.25465233424446,43493.30859375,0.0,-1.1368683772161603e-12,3169.03,0.0,5.204208452992182e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.3484597804869395e-07,2601519.0964166955,115129323.15281865
Mannar,PF,5.0,42203025061,a,helped,121072,29396.838527545482,36346.798828125,0.011664864066618718,22662.2064525033,22662.2064525033,0.0,22662.21,3693.8239999999996,22662.21,0.0,22662.21,0.0,22662.21,68977.0,68977.0,68977.0,0.0,0.055453822045346574,2765931.199270998,0.0,5.054359831682208,2123658.19377785,0.055000000000000014,,0.0,30.78791762149484,43493.30859375,0.0,-3.4212632726848824e-12,2449.74,0.0,9.478522516710431e-06,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.9840337687483783e-07,2601519.0964166955,80095355.63122292
Mannar,PF,10.0,42203025061,a,helped,121389,29396.838527545482,36346.798828125,0.011664864066618718,23945.840716242372,23945.840716242372,0.0,23945.84,3889.174,23945.84,0.0,23945.84,0.0,23945.84,72884.0,72884.0,72884.0,0.0,0.055453822045346574,3350700.7806922896,0.0,6.122946022077833,2687530.0361905387,0.045,,0.0,36.87407436735825,43493.30859375,0.0,-2.2168933355715126e-12,2449.74,0.0,1.0114188653976223e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.9840337687483783e-07,2601519.0964166955,95928608.62937187
Mannar,PF,50.0,42203025061,a,helped,122023,29396.838527545482,36346.798828125,0.011664864066618718,22926.687021305435,22926.687021305435,0.0,22926.69,3734.0739999999996,22926.69,0.0,22926.69,0.0,22926.69,69782.0,69782.0,69782.0,0.0,0.055453822045346574,2873136.1221081195,0.0,5.250262121619627,2824438.6232478386,0.055000000000000014,,0.0,40.47517444681778,43493.30859375,0.0,8.128608897095546e-12,2449.74,0.0,1.0823004021231993e-05,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,1.9840337687483783e-07,2601519.0964166955,105296939.25419351
