district,hazard,rp,hhid,affected_cat,helped_cat,index,N_children,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_net_t0,dc_pre_reco,dc_t,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,frac_remittance,gsp_samurdhi,help_fee,hh_reco_rate,integ,intermed_sf_num,k,optimal_hh_reco_rate,pc_fee,pcsamurdhi,pcsoc,pcwgt,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,sub_savings_q1,sub_savings_q3,t_exhaust_sav,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Batticaloa,PF,5,5127151,a,helped,35800,2.0,59156.54766182281,45477.532103761216,0.008222967716309013,44881.463606549994,44881.463606549994,0.0,44880.46,0.0,0.0,44880.46,0.0,44880.46,0.0,44880.46,139432.0,139432.0,139432.0,0.0,0.04889543076472289,3597539.7041960885,0.0,0.0,,0.0,6.392810828075239,1919769.1702994439,183784.10316553627,0.055000000000000014,,0.0,0.0,13.768497692778157,53130.04807568707,0.0,2.2737367544323206e-13,4923.9,0.0,3.3763292687103486e-06,1.0,1.0,10.0,9.903660886319866,10.019267822736055,-1.0,3.0,6.950175459288825e-08,3346211.857544976,46072310.24015491
Batticaloa,PF,10,5127151,a,helped,35801,2.0,59156.54766182281,45477.532103761216,0.008222967716309013,49376.84884615839,49376.84884615839,0.0,49375.85,0.0,0.0,49375.85,0.0,49375.85,0.0,49375.85,153398.0,153398.0,153398.0,0.0,0.04889543076472289,5079181.782170624,0.0,0.0,,0.0,9.025681706014334,2581383.593623749,183784.10316553627,0.035,,0.0,0.0,16.828013361476348,53130.04807568707,0.0,6.821210263296962e-13,4923.93,0.0,3.989537322807211e-06,1.0,1.0,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,6.950175459288825e-08,3346211.857544976,56310097.849097446
Batticaloa,PF,50,5127151,a,helped,35803,2.0,59156.54766182281,45477.532103761216,0.008222967716309013,49010.54865980049,49010.54865980049,0.0,49009.55,0.0,0.0,49009.55,0.0,49009.55,0.0,49009.55,152260.0,152260.0,152260.0,0.0,0.04889543076472289,4923016.068434093,0.0,0.0,,0.0,8.7481759804807,3013021.4049872905,183784.10316553627,0.035,,0.0,0.0,19.788660219278146,53130.04807568707,0.0,9.094947017729282e-13,4923.96,0.0,4.745210490008582e-06,1.0,1.0,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,6.950175459288825e-08,3346211.857544976,66217049.47067709
Batticaloa,PF,1000,5127151,a,helped,35807,2.0,59156.54766182281,45477.532103761216,0.008222967716309013,49270.950110383565,49270.950110383565,0.0,49269.95,0.0,0.0,49269.95,0.0,49269.95,0.0,49269.95,153069.0,153069.0,153069.0,0.0,0.04889543076472289,5033141.526466137,0.0,0.0,,0.0,8.943868392084344,4454919.918828868,183784.10316553627,0.035,,0.0,0.0,29.103998319900622,53130.04807568707,0.0,0.0,4924.04,0.0,7.0872542291752585e-06,1.0,1.0,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,6.950175459288825e-08,3346211.857544976,97388144.28002052
Kalutara,PF,500,13212571,a,helped,112486,0.0,48210.03660827433,45477.532103761216,0.009108802067266076,34588.68587441785,34588.68587441785,0.0,34587.69,0.0,0.0,34587.69,0.0,34587.69,0.0,34587.69,107455.0,107455.0,107455.0,0.0,0.04889543076472289,3387444.8476648466,0.0,0.0,,0.0,5.434077284365194,5445771.440056727,149776.12270885444,0.07500000000000001,,0.0,0.0,50.67955367415874,54613.07555852637,0.0,1.0231815394945443e-12,4013.59,0.0,2.769634268060428e-05,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,9.446997666978255e-08,3346211.857544976,169584523.43955702
Kalutara,PF,1000,13212571,a,helped,112487,0.0,48210.03660827433,45477.532103761216,0.009108802067266076,39015.18865367423,39015.18865367423,0.0,39014.19,0.0,0.0,39014.19,0.0,39014.19,0.0,39014.19,121207.0,121207.0,121207.0,0.0,0.04889543076472289,4970861.425558911,0.0,0.0,,0.0,7.974165298950257,6376284.571492298,149776.12270885444,0.045,,0.0,0.0,52.606570342408425,54613.07555852637,0.0,-6.821210263296962e-13,4013.63,0.0,2.7584069132553322e-05,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,9.446997666978255e-08,3346211.857544976,176032729.46454093
Puttalam,PF,5,6221521,a,helped,203608,0.0,128094.2034321029,45477.532103761216,0.005588113995716236,107059.79365850706,107059.79365850706,0.0,107058.79,0.0,0.0,107058.79,0.0,107058.79,0.0,107058.79,332604.0,332604.0,332604.0,0.0,0.04889543076472289,3473241.2237340636,0.0,0.0,,0.0,9.08206347225451,5631185.784177427,397955.5810635247,0.035,,0.0,0.0,16.93060150863317,50905.50685142814,0.0,1.7053025658242404e-12,10662.36,0.0,1.4139954762033722e-05,1.0,1.0,10.0,9.903660886319866,10.019267822736055,-1.0,3.0,2.1812517061625855e-08,3346211.857544976,56653379.52355717
Trincomalee,PF,5,5326031,a,helped,227464,0.0,52829.59776690903,45477.532103761216,0.008701444282279324,41623.51952117963,41623.51952117963,0.0,41622.4,0.0,0.0,41622.4,0.0,41622.4,0.0,41622.4,129310.0,129310.0,129310.0,0.0,0.04889543076472289,4307111.834182349,0.0,0.0,,0.0,7.232853147779023,3039921.2374327397,159462.176166974,0.045,,0.0,1500.0,23.50878692624499,51658.79065223539,0.0,-1.4210854715202004e-14,4397.36,0.0,6.772942821503864e-06,1.0,1.0,10.0,9.903660886319866,10.019267822736055,-1.0,3.0,8.235387595293849e-08,3346211.857544976,78665381.56909929
Trincomalee,PF,10,5326031,a,helped,227466,0.0,52829.59776690903,45477.532103761216,0.008701444282279324,38372.54251465406,38372.54251465406,0.0,38371.4,0.0,0.0,38371.4,0.0,38371.4,0.0,38371.4,119210.0,119210.0,119210.0,0.0,0.04889543076472289,3347415.6191788246,0.0,0.0,,0.0,5.621253064746217,3233622.707108188,159462.176166974,0.065,,0.0,1500.0,27.1254316509369,51658.79065223539,0.0,-1.1368683772161603e-12,4397.39,0.0,6.724082746624928e-06,1.0,1.0,10.0,9.903660886319866,10.019267822736055,-1.0,3.0,8.235387595293849e-08,3346211.857544976,90767441.03139085
Trincomalee,PF,25,5326031,a,helped,227468,0.0,52829.59776690903,45477.532103761216,0.008701444282279324,39289.29026283828,39289.29026283828,0.0,39288.12,0.0,0.0,39288.12,0.0,39288.12,0.0,39288.12,122058.0,122058.0,122058.0,0.0,0.04889543076472289,3582201.937813563,0.0,0.0,,0.0,6.015525382060005,3963794.4106418514,159462.176166974,0.055000000000000014,,0.0,1500.0,32.4746793380348,51658.79065223539,0.0,-3.410605131648481e-13,4397.43,0.0,8.501438224797628e-06,1.0,1.0,10.0,9.903660886319866,10.019267822736055,-1.0,3.0,8.235387595293849e-08,3346211.857544976,108667157.07090287
