district,hazard,rp,hhid,affected_cat,helped_cat,index,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_npv_pre,dc_post_reco,dc_t,di0,di0_prv,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,has_ew,help_received,hh_reco_rate,integ,ispoor,macro_multiplier,pc_fee,pc_fee_BE,pcsoc,pcwgt,pcwgt_ae,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Batticaloa,PF,5.0,51207002061,a,helped,22145,76108.30500417402,36346.798828125,0.007249598762321236,61799.75257625723,61799.75257625723,0.0,61799.75257625723,348098.233007894,0.0,61799.75257625723,61799.75257625723,61799.75257625723,0.0,61799.75257625723,0.0,61799.75257625723,183319.97669382233,183319.97669382233,183319.97669382233,0.0,0.05545402319549671,3291277.463448669,0.0,0.0,0.0,9.677422845983077,0.0,5.632680043150034,0.0,0.0,0.0,9.1294472831148,9.1294472831148,43493.30859375,0.0,-2.842170943040401e-14,6342.358750347835,0.0,5.322949988883103e-05,0.0,3.0,4.7626857291879286e-08,2601500.223304248,23750259.145667512
Batticaloa,PF,5.0,51212045051,a,helped,22348,54125.06728638635,36346.798828125,0.00859668019853286,44391.53920296742,44391.53920296742,0.0,44391.53920296742,250043.33695326696,0.0,44391.53920296742,44391.53920296742,44391.53920296742,0.0,44391.53920296742,0.0,44391.53920296742,131681.0439014178,131681.0439014178,131681.0439014178,0.0,0.05545402319549671,4058978.3837636155,0.0,0.0,0.0,10.064568491395065,0.0,5.632680043150034,0.0,0.0,0.0,24.64943909519752,24.64943909519752,43493.30859375,0.0,-1.7763568394002505e-14,4510.422273865529,0.0,5.322949988883103e-05,0.0,3.0,7.94149608447241e-08,2601500.223304248,64125521.3104808
Batticaloa,PF,10.0,51210023071,a,helped,23025,68320.37859204998,36346.798828125,0.007651645896697878,56821.12864136636,56821.12864136636,0.0,56821.11787625239,320055.2373274851,0.0,56821.11787625239,56821.12864136636,56821.12864136636,0.0,56821.11787625239,0.0,56821.11787625239,168551.5810414833,168551.5810414833,168551.5810414833,0.0,0.05545402319549671,3824706.194395327,0.0,0.0,0.0,10.654974334440988,0.0,5.632680043150034,0.0,0.0,166.6666717529297,6.276449125561165,6.276449125561165,43493.30859375,0.0,-1.1368683772161603e-13,5693.364882670831,0.0,6.45936564215336e-05,0.0,3.0,5.5998269142995155e-08,2601500.223304248,16328183.801705124
Batticaloa,PF,10.0,51212045051,a,helped,23113,54125.06728638635,36346.798828125,0.00859668019853286,41374.54949959743,41374.54949959743,0.0,41374.54949959743,233049.59926070567,0.0,41374.54949959743,41374.54949959743,41374.54949959743,0.0,41374.54949959743,0.0,41374.54949959743,122731.58279435549,122731.58279435549,122731.58279435549,0.0,0.05545402319549671,3165139.3485294133,0.0,0.0,0.0,7.848221583418767,0.0,5.632680043150034,0.0,0.0,0.0,30.126822817020372,30.126822817020372,43493.30859375,0.0,0.0,4510.422273865529,0.0,6.45936564215336e-05,0.0,3.0,7.94149608447241e-08,2601500.223304248,78374936.28592601
Batticaloa,PF,25.0,51207002021,a,helped,23671,57487.555845313334,36346.798828125,0.008341479242934012,44576.28749042327,44576.28749042327,0.0,44576.28749042327,251083.96494502565,0.0,44576.28749042327,44576.28749042327,44576.28749042327,0.0,44576.28749042327,0.0,44576.28749042327,132229.07282287406,132229.07282287406,132229.07282287406,0.0,0.05545402319549671,3215748.2474792073,0.0,0.0,0.0,8.217659844192001,0.0,5.632680043150034,0.0,0.0,0.0,24.239823044052194,24.239823044052194,43493.30859375,0.0,-5.684341886080802e-14,4790.629653776111,0.0,6.893648957648214e-05,0.0,3.0,7.255030345505679e-08,2601500.223304248,63059905.06195724
Batticaloa,PF,25.0,51212045051,a,helped,23878,54125.06728638635,36346.798828125,0.00859668019853286,43460.73908727742,43460.73908727742,0.0,43460.73908727742,244800.43771745815,0.0,43460.73908727742,43460.73908727742,43460.73908727742,0.0,43460.73908727742,0.0,43460.73908727742,128919.96075137857,128919.96075137857,128919.96075137857,0.0,0.05545402319549671,3742123.4339917996,0.0,0.0,0.0,9.278900758703411,0.0,5.632680043150034,0.0,0.0,0.0,32.7236700795579,32.7236700795579,43493.30859375,0.0,-2.842170943040401e-14,4510.422273865529,0.0,6.893648957648214e-05,0.0,3.0,7.94149608447241e-08,2601500.223304248,85130635.01930441
Batticaloa,PF,50.0,51207002021,a,helped,24436,57487.555845313334,36346.798828125,0.008341479242934012,42395.97959124301,42395.97959124301,0.0,42395.97959124301,238802.98815339067,0.0,42395.97959124301,42395.97959124301,42395.97959124301,0.0,42395.97959124301,0.0,42395.97959124301,125761.50658513092,125761.50658513092,125761.50658513092,0.0,0.05545402319549671,2756003.749504597,0.0,0.0,0.0,7.042809200160486,0.0,5.632680043150034,0.0,0.0,0.0,26.242446243082888,26.242446243082888,43493.30859375,0.0,0.0,4790.629653776111,0.0,7.384499850149327e-05,0.0,3.0,7.255030345505679e-08,2601500.223304248,68269729.76142986
Batticaloa,PF,50.0,51210023071,a,helped,24555,68320.37859204998,36346.798828125,0.007651645896697878,51873.885306483695,51873.885306483695,0.0,51873.87299955034,292188.99852648453,0.0,51873.87299955034,51873.885306483695,51873.885306483695,0.0,51873.87299955034,0.0,51873.87299955034,153876.29873530296,153876.29873530296,153876.29873530296,0.0,0.05545402319549671,2758169.7926214463,0.0,0.0,0.0,7.683787160822194,0.0,5.632680043150034,0.0,0.0,166.6666717529297,7.380700054211204,7.380700054211204,43493.30859375,0.0,0.0,5693.364882670831,0.0,7.384499850149327e-05,0.0,3.0,5.5998269142995155e-08,2601500.223304248,19200892.83917212
Batticaloa,PF,50.0,51212045051,a,helped,24643,54125.06728638635,36346.798828125,0.00859668019853286,41849.31536188074,41849.31536188074,0.0,41849.31536188074,235723.8034583578,0.0,41849.31536188074,41849.31536188074,41849.31536188074,0.0,41849.31536188074,0.0,41849.31536188074,124139.90666590181,124139.90666590181,124139.90666590181,0.0,0.05545402319549671,3283260.9695266145,0.0,0.0,0.0,8.141113792354012,0.0,5.632680043150034,0.0,0.0,0.0,35.42720387762452,35.42720387762452,43493.30859375,0.0,0.0,4510.422273865529,0.0,7.384499850149327e-05,0.0,3.0,7.94149608447241e-08,2601500.223304248,92163878.79868531
Batticaloa,PF,100.0,51207002061,a,helped,25205,76108.30500417402,36346.798828125,0.007249598762321236,58839.56941325164,58839.56941325164,0.0,58839.56941325164,331424.46838156367,0.0,58839.56941325164,58839.56941325164,58839.56941325164,0.0,58839.56941325164,0.0,58839.56941325164,174539.02392573448,174539.02392573448,174539.02392573448,0.0,0.05545402319549671,2767689.5800718362,0.0,0.0,0.0,8.137904710322283,0.0,5.632680043150034,0.0,0.0,0.0,13.956397818895049,13.956397818895049,43493.30859375,0.0,1.1368683772161603e-13,6342.358750347835,0.0,7.838204342918197e-05,0.0,3.0,4.7626857291879286e-08,2601500.223304248,36307572.04237839
Batticaloa,PF,250.0,51205072101,a,helped,25895,113483.0030347404,36346.798828125,0.0059369663278522255,93092.15366203032,93092.15366203032,0.0,93092.15366203032,524358.3161059746,0.0,93092.15366203032,93092.15366203032,93092.15366203032,0.0,93092.15366203032,0.0,93092.15366203032,276144.332756723,276144.332756723,276144.332756723,0.0,0.05545402319549671,2805257.4695487153,0.0,0.0,0.0,10.072037495889214,0.0,5.632680043150034,0.0,0.0,0.0,13.137800265343156,13.137800265343156,43493.30859375,0.0,-1.3500311979441904e-13,9456.9169195617,0.0,8.445698964942757e-05,0.0,3.0,2.615795391859145e-08,2601500.223304248,34177990.324016824
Batticaloa,PF,250.0,51207002021,a,helped,25966,57487.555845313334,36346.798828125,0.008341479242934012,42893.61094315865,42893.61094315865,0.0,42893.61094315865,241605.98633817167,0.0,42893.61094315865,42893.61094315865,42893.61094315865,0.0,42893.61094315865,0.0,42893.61094315865,127237.65760568273,127237.65760568273,127237.65760568273,0.0,0.05545402319549671,2851743.6897472255,0.0,0.0,0.0,7.287467115478925,0.0,5.632680043150034,0.0,0.0,0.0,29.19519291501693,29.19519291501693,43493.30859375,0.0,0.0,4790.629653776111,0.0,8.445698964942757e-05,0.0,3.0,7.255030345505679e-08,2601500.223304248,75951300.88782714
