,,,k_q1,k_q2,k_q3,k_q4,k_q5,dk_q1,dk_q2,dk_q3,dk_q4,dk_q5,dc_q1,dc_q2,dc_q3,dc_q4,dc_q5,dw_q1,dw_q2,dw_q3,dw_q4,dw_q5,nrh_q1,nrh_q2,nrh_q3,nrh_q4,nrh_q5,dw_pds_q1,dw_pds_q2,dw_pds_q3,dw_pds_q4,dw_pds_q5
NCR,EQ,1,83304.77441565193,129722.78009492444,180967.1321029494,260829.68070804808,581064.7892494723,4.226856751232537,6.039066156698425,8.457258229124916,11.12956308743406,24.598213066714273,3.3824513043573083,5.821030192886689,8.16320454569313,11.385839959301492,25.46019105243293,26.735107623489863,16.001455984820474,13.749693518452268,9.630008563955679,6.547635349912954,0,0,0,0,0,0,0,0,0,0
NCR,PF,1,83304.77441565192,129722.78009492437,180967.13210294937,260829.680708048,581064.7892494723,161.58893310054066,230.1694599269786,310.63408196164977,425.76768836560643,910.3680421188042,147.51946040292603,248.87748449466088,343.16856597356156,488.73283754128084,1071.6829187634135,888.6283646873418,541.4506764809399,444.13820137681864,334.07911440601305,224.73584851842222,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,1,66066.54472754382,106424.90875842918,149013.6154603578,215606.92754282415,465754.15001231467,9.497079935911097,12.487350824518716,16.864843584512837,22.909202396719913,50.22137959789246,5.656945325431151,11.783495134387321,16.645367635473995,23.546910694856706,51.33226160712568,89.03840472532346,43.997116213844585,34.584898703564726,25.747836510004248,18.524385483921314,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,1,66066.54472754383,106424.90875842923,149013.6154603578,215606.92754282407,465754.1500123146,57.65044473272627,74.82478335471815,97.47286136030722,138.08044486359296,296.1500850286635,39.99702155065825,80.90462673384184,111.15347686469313,160.33797203889048,346.24930309523984,469.9573384141576,216.81265617438177,165.97020649239803,133.68122787669776,97.11259703192084,0,0,0,0,0,0,0,0,0,0
NCR,EQ,10,83304.77441565192,129722.7800949244,180967.13210294937,260829.68070804805,581064.7892494726,5.293917053779784,7.7162601288265895,10.517115949338715,14.193849010920632,30.342437578624992,4.233757761023561,7.3733157502025755,10.22907006891618,14.451921673821646,31.749913474540193,33.937755328555355,20.41766537391144,17.00033348776342,12.282007916601367,8.196544033999151,0,0,0,0,0,0,0,0,0,0
NCR,PF,10,83304.77441565192,129722.78009492437,180967.13210294943,260829.68070804805,581064.7892494723,927.1855265783056,1298.535951516547,1811.9957237971096,2384.508908113768,5130.456017545009,829.8534670196385,1397.5806107125131,1957.2396108356857,2725.9315632755083,6014.38194120006,5284.504723065045,3174.5210756984866,2698.5046489115825,1947.6576092290393,1307.4678535932164,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,EQ,10,66066.54472754383,106424.90875842918,149013.61546035783,215606.9275428241,465754.15001231467,12.570054169925436,16.471224933571563,22.491867677316208,30.64112723455132,65.0203434829136,7.457077844516242,15.567691358812517,22.15378295383439,31.355928591720748,67.36784229463188,115.27052539228201,58.1139838206008,45.8384387784476,34.66813884275266,24.169745173995853,0,0,0,0,0,0,0,0,0,0
IVA - CALABARZON,PF,10,66066.54472754383,106424.9087584292,149013.61546035783,215606.9275428241,465754.15001231467,303.946644621018,391.0000091206253,523.5873222404805,715.5377246045083,1540.837721249728,211.6987859191168,426.75570828258526,595.2317575763707,841.447812208392,1820.8902118817205,2504.4657067872176,1136.0657707426678,890.452170483167,688.7396750484447,504.9626255606141,0,0,0,0,0,0,0,0,0,0
NCR,EQ,25,83304.77441565192,129722.78009492441,180967.13210294937,260829.68070804805,581064.7892494723,184.26104379802698,264.02160722816615,370.2924822432186,502.79681885911316,1073.1616512560327,147.21298652313374,255.67804090263226,359.448446181055,509.6703090291031,1115.9163060699339,1168.7351604511384,710.8959740145003,596.0668034532575,443.02976835007803,297.28523463586066,0,0,0,0,0,0,0,0,0,0
NCR,PF,25,83304.7744156519,129722.7800949244,180967.13210294937,260829.68070804805,581064.7892494723,1320.4364924497434,1897.8585813272452,2616.253208413184,3503.3010298217205,7730.534773382305,1204.3908444592412,2049.1056207442734,2848.4767585423942,4004.127668704085,8923.149234102855,7717.088316767509,4629.604149066896,3901.006832299031,2851.953813742372,1934.6493014699538,0,0,0,0,0,0,0,0,0,0
