,k_q1,k_q2,k_q3,k_q4,k_q5,dk_q1,dk_q2,dk_q3,dk_q4,dk_q5,dc_q1,dc_q2,dc_q3,dc_q4,dc_q5,dw_q1,dw_q2,dw_q3,dw_q4,dw_q5,nrh_q1,nrh_q2,nrh_q3,nrh_q4,nrh_q5,dw_pds_q1,dw_pds_q2,dw_pds_q3,dw_pds_q4,dw_pds_q5
1,59947.4930172516,93756.8054791253,130342.70261759906,188657.63399844692,432441.85351791105,10114.098378790346,13653.772627526623,17857.041081034076,23845.27655868347,50492.97194505972,6007.570013746786,12039.79225881148,17627.105575061563,25345.468715572202,56558.963894883076,111434.1948557949,60221.52448920769,43153.42033353636,30841.119648560267,18538.657199764068,0,0,0,0,0,0,0,0,0,0
10,60643.80425545732,94690.52798119416,131681.50603680214,190728.75744630615,437275.559601812,10096.44950573384,13510.332809328955,17874.305944017673,23694.279014523883,50115.68656668079,6111.000614100598,12158.0531676849,17800.697384616433,25459.47883048767,56734.922698149654,107790.7827480845,57138.49765265782,41984.806617797425,29781.04918174054,18094.24735873421,0,0,0,0,0,0,0,0,0,0
25,58774.37496269297,92142.09539004149,128218.78571874992,185774.2789166709,427090.36116570956,10140.964307118882,13716.491237827237,17824.42857940208,23721.102174811745,50461.05778972804,5815.026977657137,11856.349092336342,17441.567300328366,25028.758945506954,56044.249605388155,114650.68823774696,61571.06108116506,43735.95851124045,31178.96226062365,18862.39352345881,0,0,0,0,0,0,0,0,0,0
30,58720.45958728847,92119.41357445662,128204.95168285606,185720.47935386177,426730.3459189726,10165.514538520698,13703.10272954124,17881.64558298258,23772.559266378124,50584.75207990069,5817.480238742609,11843.435335342687,17445.73521122702,25044.352121871623,56077.118900978276,114666.90618014618,61546.02904665398,43815.654636667605,31308.533661659912,18911.226468874716,0,0,0,0,0,0,0,0,0,0
50,58649.02484566924,92121.49551020429,128239.1911199198,185660.99267825807,426284.7615455709,10336.27371208013,13967.226286089795,18347.73594372367,24427.763291120176,51542.64284240047,5846.759034249052,11925.646531862762,17639.787253602455,25324.583374594196,56448.656331797014,117021.46218679621,63021.45572642518,45193.04343275317,32299.36559530283,19374.48437401103,0,0,0,0,0,0,0,0,0,0
100,58601.13440457481,92107.52341336034,128228.6083899938,185577.5893113344,425983.183836819,10595.621217074433,14374.256282205715,18803.124330841696,25148.112784541998,52828.86912011792,5896.229413990474,12033.771463601277,17785.54672020504,25624.691384914764,56993.71258741269,121159.60831453197,65365.59311896617,46864.17178011573,33551.74002570109,20015.393130785516,0,0,0,0,0,0,0,0,0,0
200,58493.43614514268,92133.6343562715,128322.74586134595,185733.04577182184,426321.39061978436,10978.736901070532,14839.074944343087,19408.12204226153,25871.089002655106,54870.5244624212,6002.050734124123,12155.33892876194,18016.728477630015,25944.15670946113,58071.3167618081,127808.61067984936,69393.92170086721,49519.22685112764,35273.404675173915,20993.480425530397,0,0,0,0,0,0,0,0,0,0
250,58459.619208439515,92174.01015239122,128446.60435993822,185976.20962330152,426980.8314905383,11295.301678172262,15313.880480107522,19990.13883319252,26558.72852190849,56661.18185518989,6068.232939597127,12307.86174483557,18229.882847315053,26266.019095941367,59052.0514983931,133902.26121442916,73272.4039150048,52462.75987126141,36753.35298146816,21930.38569801971,0,0,0,0,0,0,0,0,0,0
500,58799.19778821847,92763.23317293548,129362.81078634819,187516.8420214533,431538.38226318255,13278.884948439827,17924.12309990936,23488.87666919261,31231.138422981214,66309.53071269531,6535.461005762761,13093.591173909244,19601.15017972228,28299.833766874206,63620.09991299042,169051.5651713035,92694.68310971567,66352.55630516453,45903.94024077116,26769.100584757995,0,0,0,0,0,0,0,0,0,0
1000,58019.42889574447,91574.68074993102,127808.24345966284,185811.9605856427,430713.4681477418,15147.104732174885,20740.158165842488,27055.496905443884,36142.26486134035,76595.69471836455,6815.43081296822,13446.420775157054,20451.31074383747,29777.58185443549,67172.21644501679,206938.67948715613,117675.08443117734,84585.61580421265,57907.66512777925,33354.63976324644,0,0,0,0,0,0,0,0,0,0
