,district,hazard,rp,index,hhid,helped_cat,affected_cat,pov_line,ispoor,pcwgt,pcsoc,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,pc_fee,di0_prv,di0_pub,di0,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta,scale_fac_soc
0,Ampara,PF,5.0,0,52101051011,helped,a,43493.30859375,1.0,5.065581348701985,0.0,42252.66402108329,128604.51219922266,1.0350000000000006,12129.895975514288,0.0,12129.895975514288,0.0,3985.2444560432273,0.0,3985.2444560432273,1.039575094767225,5905.865192958292,0.0,5905.865192958292,2,36346.798828125,0,0,0.0,0.00972977836352264,0.14744525881558374,-1,2.90944123314066,2.90944123314066,False,3133.094270995796,0.8382890286727047,3521.055335090274,3689.4864412853217,3.092176281883616,1050.1961509470743,0.0,1050.1961509470743,4373.181288615911,4328.793837196462,0.01696051698142753,3.2239904665866926e-06
1,Ampara,PF,5.0,1,52101051021,helped,a,43493.30859375,0.0,7.09181388818278,0.0,93914.60573751283,285848.0604495976,0.9050000000000006,30546.964279830474,0.0,30546.964279830474,0.0,10036.122345227568,0.0,10036.122345227568,0.9050000000000006,37681.125018474166,0.0,37681.125018474166,1,36346.798828125,0,0,0.0,0.006526245786778746,0.16728700936702984,-1,0.0,0.0,True,2195.0854952726168,0.46019661016198654,7826.217144792736,0.0,0.8657766220880211,733.8753282241528,0.0,733.8753282241528,2755.371750119994,2731.0674157803,0.00809499561246696,3.2239904665866926e-06
2,Ampara,PF,5.0,2,52101051041,helped,a,43493.30859375,0.0,3.0393488092211913,0.0,189890.06322699296,577968.7392161,1.2150000000000007,41384.712278932195,0.0,41384.712278932195,0.0,13596.835084776227,0.0,13596.835084776227,1.2150000000000007,63879.260503678874,0.0,63879.260503678874,1,36346.798828125,0,0,0.0,0.004589642686662065,0.0909132773472687,-1,0.0,0.0,True,1206.761645417697,0.4267147113420009,15824.171935582746,0.0,0.8997582275860501,405.8694826631121,0.0,405.8694826631121,1906.814508808688,1884.1434406205374,0.010107411743753403,3.2239904665866926e-06
3,Ampara,PF,5.0,3,52101051051,helped,a,43493.30859375,0.0,4.052465078961589,0.0,185510.6888011759,564639.2291173065,0.9050000000000006,60466.12006967763,0.0,60466.12006967763,0.0,19865.979912157498,0.0,19865.979912157498,0.9050000000000006,74587.81857521579,0.0,74587.81857521579,1,36346.798828125,0,0,0.0,0.004643500821149795,0.16777165542642644,-1,0.0,0.0,True,4345.05707030271,0.9109351499155736,15459.224066764657,0.0,0.8657766220880184,1452.6678758018286,0.0,1452.6678758018286,5454.114443357637,5406.005283149928,0.016023620945873063,3.2239904665866926e-06
4,Ampara,PF,5.0,4,52101051061,helped,a,43493.30859375,0.0,6.078697618442383,0.0,119899.00962193316,364936.8389624983,0.9650000000000006,36323.25954448068,0.0,36323.25954448068,0.0,11933.908503195009,0.0,11933.908503195009,0.9650000000000006,46985.85396361889,0.0,46985.85396361889,1,36346.798828125,0,0,0.0,0.005775933677332381,0.15101011099723213,-1,0.0,0.0,True,2192.0726348926864,0.5142654821029211,9991.584135161096,0.0,0.8607987365150638,733.7157852781279,0.0,733.7157852781279,2888.7654642777293,2861.5741771883545,0.009651417499675574,3.2239904665866926e-06
5,Ampara,PF,5.0,5,52101051081,helped,a,43493.30859375,0.0,7.09181388818278,0.0,111920.58600889788,340652.8961474091,0.7150000000000004,50406.60078225838,0.0,50406.60078225838,0.0,16560.952107172732,0.0,16560.952107172732,0.7150000000000004,52601.6716664875,0.0,52601.6716664875,1,36346.798828125,0,0,0.0,0.005978262876591123,0.2631607115116836,-1,0.0,0.0,True,6295.730169252152,0.8800159890192703,9326.71550074149,0.0,0.8472770850077537,2097.1381996632153,0.0,2097.1381996632153,6661.028563095436,6614.7221676977315,0.0122074290482459,3.2239904665866926e-06
6,Ampara,PF,5.0,6,52101051091,helped,a,43493.30859375,0.0,6.078697618442383,0.0,93183.89750288204,283624.00243451586,0.6150000000000003,50765.130627050785,0.0,50765.130627050785,0.0,16678.746116220238,0.0,16678.746116220238,0.6150000000000003,47899.30145185649,0.0,47899.30145185649,1,36346.798828125,0,0,0.0,0.006551783832808397,0.34045217122557203,-1,0.0,0.0,True,8481.635998433323,0.9208443805337083,7765.324791906837,0.0,0.8420326158697843,2819.835567400883,0.0,2819.835567400883,8098.219910922839,8049.858399626428,0.010976646372085952,3.2239904665866926e-06
7,Ampara,PF,5.0,7,52101051101,helped,a,43493.30859375,0.0,5.065581348701985,0.0,107344.88809052588,326725.83586856845,0.8450000000000005,37624.93714844159,0.0,37624.93714844159,0.0,12361.571152999464,0.0,12361.571152999464,0.8450000000000005,44154.643043432625,0.0,44154.643043432625,1,36346.798828125,0,0,0.0,0.006104348389754694,0.18599530444010295,-1,0.0,0.0,True,3219.3813397693552,0.5990762916235326,8945.407340877156,0.0,0.8687006106764127,1075.0810220599121,0.0,1075.0810220599121,3840.1120848061337,3808.509662390171,0.009833581516403456,3.2239904665866926e-06
8,Ampara,PF,5.0,8,52101053011,helped,a,43493.30859375,0.0,1.8010988102314913,22499.999450683594,205349.94354133017,556540.9688016331,1.0350000000000006,47651.60192473637,0.0,47651.60192473637,0.0,15656.288478339395,0.0,15656.288478339395,1.0350000000000006,64975.69647044157,0.0,64975.69647044157,1,36346.798828125,0,0,0.0,0.004413495638762264,0.10113617329663643,-1,0.0,0.0,True,2345.842404698302,0.6227775960552009,17112.495295110846,0.0,0.9756066171637233,786.3168368157868,0.0,786.3168368157868,3263.168331602757,3230.195136639557,0.01254407953632608,3.2239904665866926e-06
9,Ampara,PF,5.0,9,52101053021,helped,a,43493.30859375,0.0,3.6021976204629826,0.0,173356.15172921692,527644.4419870399,1.2150000000000007,36491.745046787604,0.0,36491.745046787604,0.0,11989.26395845594,0.0,11989.26395845594,1.2150000000000007,56326.7341903029,0.0,56326.7341903029,1,36346.798828125,0,0,0.0,0.004803528445287456,0.08599461952958704,-1,0.0,0.0,True,1064.0846793863639,0.37626368764035334,14446.345977434743,0.0,0.9214185636497316,357.88301689253666,0.0,357.88301689253666,1681.369401289396,1661.378762362531,0.008912399582477804,3.2239904665866926e-06
