,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,ispoor,has_ew,pcwgt,pcwgt_ae,pcsoc,c,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
0,Ampara,PF,5.0,52101051011,helped,a,43493.30859375,1.0,1,5.065581348701985,5.065581348701985,0.0,42252.66402108329,8728.230501455053,0.0,8728.230501455053,0.0,0.0,2.165880171765123e-05,2867.636481566476,0.0,2867.636481566476,5905.865192958292,0.0,5905.865192958292,0.34809217181939955,2,36346.798828125,1.68112260362596,9928.483469849978,0,0,0.0,0.00972977836352264,0.0031925784141412393,-1.0,0.13487475915221578,0.13487475915221578,False,8327.920704965227,3004.2899186537184,3521.055335090274,1937.9263495562893,2754.5285295959197,0.0,2754.5285295959197,5672.920633602984,1937.9263495562893,71.59947334295791
1,Ampara,PF,5.0,52101051021,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,93914.60573751283,33840.22315781482,0.0,33840.22315781482,0.0,0.0,2.165880171765123e-05,11118.11362629837,0.0,11118.11362629837,50421.29714376283,0.0,50421.29714376283,1.1614339342318452,1,36346.798828125,1.2275692485683316,61895.633846609504,0,0,0.0,0.006526245786778746,0.014607050878063372,-1.0,0.0,0.0,False,28933.555370478338,3893.11759964417,7826.217144792736,17509.35512482148,9721.168404992955,0.0,9721.168404992955,44086.06866306142,17509.35512482148,502.6413674656568
2,Ampara,PF,5.0,52101051041,helped,a,43493.30859375,0.0,1,3.0393488092211913,3.0393488092211913,0.0,189890.06322699296,41894.28352326462,0.0,41894.28352326462,0.0,0.0,2.165880171765123e-05,13764.253336386479,0.0,13764.253336386479,146396.75463324296,0.0,146396.75463324296,3.1658854178328024,1,36346.798828125,1.0861657395059432,159011.13925748647,0,0,0.0,0.004589642686662065,0.014834546962096339,-1.0,0.0,0.0,False,27334.546806244343,4591.901043395785,15824.171935582746,35873.55535347914,9545.564337240452,0.0,9545.564337240452,101526.73057975655,35873.55535347914,1206.524827293435
3,Ampara,PF,5.0,52101051051,helped,a,43493.30859375,0.0,1,4.052465078961589,4.052465078961589,0.0,185510.6888011759,38052.431410037076,0.0,38052.431410037076,0.0,0.0,2.165880171765123e-05,12502.023234324217,0.0,12502.023234324217,142017.3802074259,0.0,142017.3802074259,3.403602665424934,1,36346.798828125,1.0802519311362466,153414.54922398238,0,0,0.0,0.004643500821149795,0.01364371994502797,-1.0,0.0,0.0,False,24044.466644118216,4498.157954626344,15459.224066764657,32616.01603367126,8435.17458126153,0.0,8435.17458126153,95819.80237679397,32616.01603367126,1158.5631139038937
4,Ampara,PF,5.0,52101051061,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,119899.00962193316,30138.832405738875,0.0,30138.832405738875,0.0,0.0,2.165880171765123e-05,9902.031723853619,0.0,9902.031723853619,76405.70102818316,0.0,76405.70102818316,2.2065774947428376,1,36346.798828125,1.1226345903608907,85775.68287501109,0,0,0.0,0.005775933677332381,0.013653071909007504,-1.0,0.0,0.0,False,22380.786500361835,3923.2968733973476,9991.584135161096,21092.820924491407,7672.513726672224,0.0,7672.513726672224,59202.374450342184,21092.820924491407,710.379169319521
5,Ampara,PF,5.0,52101051081,helped,a,43493.30859375,0.0,1,7.09181388818278,7.09181388818278,0.0,111920.58600889788,44302.535711352044,0.0,44302.535711352044,0.0,0.0,2.165880171765123e-05,14555.478067472639,0.0,14555.478067472639,68427.27741514788,0.0,68427.27741514788,1.2159981022005288,1,36346.798828125,1.2178379435750282,83333.33481170166,0,0,0.0,0.005978262876591123,0.017659236991194826,-1.0,0.0,0.0,False,37601.143560747645,4117.0789567909,9326.71550074149,24484.84011781895,12646.615209001717,0.0,12646.615209001717,59453.45410556132,24484.84011781895,660.4534751184169
6,Ampara,PF,5.0,52101051091,helped,a,43493.30859375,0.0,1,6.078697618442383,6.078697618442383,0.0,93183.89750288204,19497.64583723347,0.0,19497.64583723347,0.0,0.0,2.165880171765123e-05,6405.8987097318895,0.0,6405.8987097318895,49690.58890913204,0.0,49690.58890913204,2.2199957143924527,1,36346.798828125,1.121912861868282,55748.510810964646,0,0,0.0,0.006551783832808397,0.009632675289707378,-1.0,0.0,0.0,False,14452.57131912787,3598.3803916548927,7765.324791906837,12046.536467707881,4955.868033965101,0.0,4955.868033965101,38442.69357390061,12046.536467707881,492.9782744409408
7,Ampara,PF,5.0,52101051101,helped,a,43493.30859375,0.0,1,5.065581348701985,5.065581348701985,0.0,107344.88809052588,43908.954599984434,0.0,43908.954599984434,0.0,0.0,2.165880171765123e-05,14426.168059765454,0.0,14426.168059765454,63851.57949677589,0.0,63851.57949677589,1.125633982573294,1,36346.798828125,1.2344406508876518,78820.98535420468,0,0,0.0,0.006104348389754694,0.01742795063478196,-1.0,0.0,0.0,False,37724.08176785611,4088.1982480397655,8945.407340877156,23228.136205903444,12665.891699207501,0.0,12665.891699207501,56060.43041915389,23228.136205903444,620.9774908264023
8,Ampara,PF,5.0,52101053011,helped,a,43493.30859375,0.0,1,1.8010988102314913,1.8010988102314913,22499.999450683594,205349.94354133017,68852.22914496087,0.0,68852.22914496087,0.0,0.0,2.165880171765123e-05,22621.700649181385,0.0,22621.700649181385,161856.63494758017,0.0,161856.63494758017,2.022228416239869,1,36346.798828125,1.1334919840787445,183463.1982830417,0,0,0.0,0.004413495638762264,0.021340542227670102,-1.0,0.0,0.0,False,52416.16472602763,5075.959770498077,17112.495295110846,52418.431764981135,17905.872392551977,0.0,17905.872392551977,128114.92597513724,52418.431764981135,1411.0340447743495
9,Ampara,PF,5.0,52101053021,helped,a,43493.30859375,0.0,1,3.6021976204629826,3.6021976204629826,0.0,173356.15172921692,70268.07795614684,0.0,70268.07795614684,0.0,0.0,2.165880171765123e-05,23086.38661673885,0.0,23086.38661673885,129862.8431354669,0.0,129862.8431354669,1.519558519664726,1,36346.798828125,1.1759737288163286,152715.29187670496,0,0,0.0,0.004803528445287456,0.022500638937990265,-1.0,0.0,0.0,False,57246.558277567456,4834.364710762733,14446.345977434743,46153.569287858154,19367.019908284718,0.0,19367.019908284718,108941.09633109471,46153.569287858154,1179.3479372684678
