,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,ethnicity,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5,521411,helped,a,2,2.0,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.0350000000000006,25905,0,25905.0,1.7450818109891058e-05,0.0,1.0350000000000006,35149.99338980779,0.0,35149.99338980779,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.0047648686148254035,-1,0.0,0.0,20802.48,15153.78,7997.37,4218.0,2.049,113123.0798467627,6830.79,6830.79,0,28795.03,4218.0,468.05,4218.0
1,Ampara,PF,10,521411,helped,a,2,2.0,6.480996107587006,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9050000000000006,31767,0,31767.0,2.1068527746101074e-05,0.0,0.9050000000000006,38974.317794403556,0.0,38974.317794403556,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.006692703401001476,-1,0.0,0.0,26222.48,17602.66,7997.51,5846.0,2.096,172937.2150758637,8588.98,8588.98,0,32737.76,5846.0,512.68,5846.0
2,Ampara,PF,25,521411,helped,a,2,2.0,7.559263766962934,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9650000000000006,30827,0,30827.0,2.4581733058400593e-05,0.0,0.9650000000000006,39670.669977904065,0.0,39670.669977904065,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.006343100833995408,-1,0.0,0.0,25124.989999999994,16983.370000000003,7997.63,5554.0,2.037,193490.84619634203,8239.02,8239.02,0,32939.66,5554.0,521.8,5554.0
3,Ampara,PF,50,521411,helped,a,2,2.0,8.021197682071167,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9650000000000006,29489,0,29489.0,2.6790688573142545e-05,0.0,0.9650000000000006,37948.82366037607,0.0,37948.82366037607,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.006055830731850116,-1,0.0,0.0,24034.480000000003,16593.33,7997.69,5313.0,2.037,196403.35669226086,7881.42,7881.42,0,31509.97,5313.0,499.15,5313.0
4,Ampara,PF,100,521411,helped,a,2,2.0,8.61601669604615,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,46201,0,46201.0,2.8523446462691254e-05,0.0,0.7150000000000004,47904.92318094999,0.0,47904.92318094999,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.011319502736513892,-1,0.0,0.0,39704.33999999998,23706.45,7997.78,9581.0,2.251,346838.69986117416,12957.34,12957.34,0,41739.74,9581.0,614.11,9581.0
5,Ampara,PF,250,521411,helped,a,2,2.0,9.196914413949381,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.1150000000000009,23334,0,23334.0,2.9606920892936513e-05,0.0,1.1150000000000009,33528.173223616104,0.0,33528.173223616104,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.003761276487319747,-1,0.0,0.0,18422.850000000002,14045.4,7997.84,3353.0,2.065,173112.7842606161,6058.73,6058.73,0,27046.29,3353.0,450.96,3353.0
6,Ampara,PF,500,521411,helped,a,2,2.0,10.304290237838977,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.2150000000000007,21972,0,21972.0,3.364335374670614e-05,0.0,1.2150000000000007,33768.34177034769,0.0,33768.34177034769,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.003400433911885281,-1,0.0,0.0,16983.71,13316.969999999998,7997.96,3039.0,1.982,179150.39007506846,5596.22,5596.22,0,26720.21,3039.0,450.31,3039.0
7,Ampara,PF,1000,521411,helped,a,2,2.0,10.940873140029225,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,44865,0,44865.0,3.53419219395598e-05,0.0,0.7150000000000004,46519.650624733695,0.0,46519.650624733695,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.010966138571403307,-1,0.0,0.0,38556.2,23252.19,7998.07,9304.0,2.251,427690.109551808,12582.65,12582.65,0,40532.74,9304.0,596.35,9304.0
8,Ampara,PF,5,521421,helped,a,2,2.0,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.2150000000000007,17263,0,17263.0,1.7450818109891058e-05,0.0,1.2150000000000007,26531.170761947575,0.0,26531.170761947575,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.00341211160148445,-1,0.0,0.0,13343.780000000002,10442.79,6263.22,2388.0,1.982,91018.8388188578,4396.84,4396.84,0,20993.56,2388.0,353.79,2388.0
9,Ampara,PF,10,521421,helped,a,2,2.0,8.101245134483758,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.0350000000000006,21223,0,21223.0,2.1068527746101074e-05,0.0,1.0350000000000006,28797.07815911564,0.0,28797.07815911564,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.00499294690568483,-1,0.0,0.0,17042.700000000004,12126.289999999995,6263.33,3456.0,2.049,140848.08588323195,5596.21,5596.21,0,23590.7,3456.0,383.45,3456.0
10,Ampara,PF,25,521421,helped,a,2,2.0,9.449079708703666,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.8450000000000005,28146,0,28146.0,2.4581733058400593e-05,0.0,0.854,29766.0470452883,0.0,29766.0470452883,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.00789747569063109,-1,0.0,0.0,23709.209999999995,15265.500000000002,6263.42,5358.0,2.331,227747.10511460967,7758.15,7758.15,0,28341.74,5358.0,438.38,5358.0
11,Ampara,PF,50,521421,helped,a,2,2.0,10.026497102588957,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.6750000000000004,37284,0,37284.0,2.6790688573142545e-05,0.0,0.559,29766.047045288302,0.0,29766.047045288302,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.011219230902437038,-1,0.0,0.0,33420.229999999996,20204.999999999996,6263.47,7442.0,2.909,338716.5288292545,10873.82,10873.82,0,29758.04,7442.0,426.9,7442.0
12,Ampara,PF,100,521421,helped,a,2,2.0,10.770020870057687,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.7950000000000005,29293,0,29293.0,2.8523446462691254e-05,0.0,0.801,29766.047045288302,0.0,29766.047045288302,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.008363307673421722,-1,0.0,0.0,24930.61,15895.699999999993,6263.54,5656.0,2.392,272679.26559563377,8149.49,8149.49,0,28429.5,5656.0,434.59,5656.0
13,Ampara,PF,250,521421,helped,a,2,2.0,11.496143017436724,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.0350000000000006,20720,0,20720.0,2.9606920892936513e-05,0.0,1.0350000000000006,28114.567189222827,0.0,28114.567189222827,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.004870324307390499,-1,0.0,0.0,16638.78,11987.309999999998,6263.58,3374.0,2.049,195134.61188652954,5463.58,5463.58,0,23031.59,3374.0,374.36,3374.0
14,Ampara,PF,500,521421,helped,a,2,2.0,12.880362797298721,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.6150000000000003,40947,0,40947.0,3.364335374670614e-05,0.0,0.468,29766.047045288302,0.0,29766.047045288302,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.012195861395724612,-1,0.0,0.0,37335.58,22156.579999999998,6263.68,8037.0,3.232,485251.8255419887,12126.46,12126.46,0,29757.78,8037.0,415.93,8037.0
15,Ampara,PF,1000,521421,helped,a,2,2.0,13.67609142503653,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.1150000000000009,19541,0,19541.0,3.53419219395598e-05,0.0,1.1150000000000009,28078.084895975073,0.0,28078.084895975073,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.00444576304926883,-1,0.0,0.0,15428.180000000002,11387.74,6263.77,3089.0,1.98,215579.23787296438,5073.88,5073.88,0,22649.87,3089.0,372.24,3089.0
