,district,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcsoc,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5.0,521411,helped,a,5.330590823111983,0.0,52153.133146515145,90707.10261606141,298482.23822773044,0.9650000000000006,29874,0,29874.0,1.9203597484886645e-05,0.0,0.9650000000000006,37906.95349941173,0.0,37906.95349941173,1,45477.532103761216,500.0,50.0,0,0.006640630996587727,0.0023517259143666985,-1,0.0,0.0,27732.769999999997,20089.41,7559.62,5307.0,2.037,150606.4618671804,8586.0,8586.0,0,35850.38,5307.0,582.12,5307.0
1,Ampara,PF,5.0,521421,helped,a,6.663238528889979,0.0,52153.133146515145,71038.14272407509,233759.24517809914,1.2150000000000007,15243,0,15243.0,1.9203597484886645e-05,0.0,1.2150000000000007,23152.508458577122,0.0,23152.508458577122,1,45477.532103761216,500.0,50.0,0,0.007503850906151574,0.001021728095173257,-1,0.0,0.0,13880.409999999998,11980.69,5920.39,1852.0,2.079,94679.22227231819,4318.09,4318.09,0,21582.26,1852.0,375.33,1852.0
2,Ampara,PF,5.0,521431,helped,a,5.330590823111983,0.0,52153.133146515145,100221.13958803574,329789.2799926544,0.8450000000000005,38200,0,38200.0,1.9203597484886645e-05,0.0,0.8450000000000005,43887.768885235586,0.0,43887.768885235586,1,45477.532103761216,500.0,50.0,0,0.006317573849511907,0.009623182296014323,-1,0.0,0.0,35791.49,6700.65,8352.52,21066.0,0.869,193921.51024808257,11055.37,11055.37,0,41795.62,21066.0,392.89,21066.0
3,Ampara,PF,5.0,521441,helped,a,1.3326477057779957,0.0,52153.133146515145,107721.77380290077,354470.98654056026,0.6450000000000004,59923,0,59923.0,1.9203597484886645e-05,0.0,0.6450000000000004,56860.60353167465,0.0,56860.60353167465,1,45477.532103761216,500.0,50.0,0,0.006093660404171818,0.015408673074399042,-1,0.0,0.0,57017.0,7243.359999999999,8977.63,32979.0,0.845,76933.76538104075,17543.83,17543.83,0,54779.69,32979.0,413.52,32979.0
4,Ampara,PF,5.0,521451,helped,a,1.3326477057779957,0.0,52153.133146515145,109120.75787826309,359074.5058462817,0.7550000000000004,50544,0,50544.0,1.9203597484886645e-05,0.0,0.7550000000000004,53520.762265323225,0.0,53520.762265323225,1,45477.532103761216,500.0,50.0,0,0.006054472470980994,0.012482669294426419,-1,0.0,0.0,47686.840000000004,7272.400000000001,9094.23,28366.0,0.841,64480.98548564591,14704.12,14704.12,0,51235.26,28366.0,433.5,28366.0
5,Ampara,PF,5.0,521471,helped,a,7.995886234667974,720.0,52153.133146515145,46939.69676644827,152220.96471851468,1.2150000000000007,11307,0,11307.0,1.9203597484886645e-05,0.0,0.044,3936.149301412562,0.0,3936.149301412562,3,45477.532103761216,500.0,50.0,0,0.009231236038342411,0.0,-1,0.07707129094412331,0.07707129094412331,11268.720000000001,9262.48,3911.99,0.0,10.0,90179.84380273113,3427.42,3427.42,0,3923.66,0.0,75.57,0.0
6,Ampara,PF,5.0,521481,helped,a,5.330590823111983,1050.0,52153.133146515145,109499.80694192546,357055.80042100244,0.9650000000000006,34542,0,34542.0,1.9203597484886645e-05,0.0,0.9650000000000006,43830.1740330633,0.0,43830.1740330633,1,45477.532103761216,500.0,50.0,0,0.0060439841801936366,0.007611320028109937,-1,0.0,0.0,32066.190000000002,7322.05,9125.8,18847.0,0.875,174139.68770351404,9927.64,9927.64,0,41452.25,18847.0,428.17,18847.0
7,Ampara,PF,5.0,522211,helped,a,6.195368639664273,75.0,52153.133146515145,268528.37644922995,883390.4708798284,0.7550000000000004,125478,0,125478.0,1.9203597484886645e-05,0.0,0.7550000000000004,132867.96224714187,0.0,132867.96224714187,1,45477.532103761216,500.0,50.0,0,0.0038595342798882974,0.012923031450462306,-1,0.0,0.0,118384.95000000001,17959.08,22379.39,71749.0,0.816,744185.884339567,36503.72,36503.72,0,127194.1,71749.0,1050.57,71749.0
8,Ampara,PF,5.0,522221,helped,a,6.195368639664273,10000.0,52153.133146515145,122426.23074637148,371752.8468531203,1.2150000000000007,26820,0,26820.0,1.9203597484886645e-05,0.0,1.2150000000000007,40736.95103139423,0.0,40736.95103139423,1,45477.532103761216,500.0,50.0,0,0.0057160070574490815,0.004450008909601958,-1,0.0,0.0,24422.53,8209.77,10203.05,13036.0,0.938,154890.53526761927,7597.86,7597.86,0,37974.1,13036.0,472.0,13036.0
9,Ampara,PF,5.0,522231,helped,a,7.744210799580341,94080.0,52153.133146515145,95085.54466814139,20255.484945174856,1.2150000000000007,1453,0,1453.0,1.9203597484886645e-05,0.0,1.2150000000000007,2208.8470661646315,0.0,2208.8470661646315,1,45477.532103761216,500.0,50.0,0,0.006485937305720063,0.0,-1,0.0,0.0,1323.1200000000003,7761.29,7923.85,0.0,10.0,10489.22375959959,413.42,413.42,0,2059.09,0.0,39.21,0.0
