,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,pcwgt,pcsoc,c,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta
0,Ampara,PF,5.0,52101051011,helped,a,43493.30859375,5.065581348701985,0.0,42252.66402108329,1.2150000000000007,8820,0,8820.0,1.9154859311802738e-05,0.0,0.379,5905.865192958292,0.0,5905.865192958292,2,36346.798828125,0,0.00972977836352264,0.0027331194797856535,-1,0.17341040462427745,0.17341040462427745,8286.859999999999,7137.79,3521.06,1311.0,4.453,42285.44686642469,2742.58,2742.58,0,5906.32,1311.0,88.13
1,Ampara,PF,5.0,52101051021,helped,a,43493.30859375,7.09181388818278,0.0,93914.60573751283,1.0350000000000006,24660,0,24660.0,1.9154859311802738e-05,0.0,1.0350000000000006,33625.07618218729,0.0,33625.07618218729,1,36346.798828125,0,0.006526245786778746,0.013691252076324737,-1,0.0,0.0,20608.489999999998,4800.839999999999,7826.22,13334.0,0.9,149095.38754146057,6907.24,6907.24,0,28666.66,13334.0,289.96
2,Ampara,PF,5.0,52101051041,helped,a,43493.30859375,3.0393488092211913,0.0,189890.06322699296,1.2150000000000007,41318,0,41318.0,1.9154859311802738e-05,0.0,1.2150000000000007,63776.28694629418,0.0,63776.28694629418,1,36346.798828125,0,0.004589642686662065,0.010656758523798071,-1,0.0,0.0,33468.490000000005,9581.11,15824.17,21504.0,0.9,104131.85899644147,11256.44,11256.44,0,52883.85,21504.0,592.79
3,Ampara,PF,5.0,52101051051,helped,a,43493.30859375,4.052465078961589,0.0,185510.6888011759,0.8450000000000005,70342,0,70342.0,1.9154859311802738e-05,0.0,0.8450000000000005,82549.66350395043,0.0,82549.66350395043,1,36346.798828125,0,0.004643500821149795,0.023132396802212733,-1,0.0,0.0,60754.27,9316.589999999998,15459.22,41364.0,0.827,250245.91889744892,20288.3,20288.3,0,72468.34,41364.0,588.01
4,Ampara,PF,5.0,52101051061,helped,a,43493.30859375,6.078697618442383,0.0,119899.00962193316,0.7550000000000004,51132,0,51132.0,1.9154859311802738e-05,0.0,0.7550000000000004,55403.94005464721,0.0,55403.94005464721,1,36346.798828125,0,0.005775933677332381,0.02633957976984025,-1,0.0,0.0,44857.270000000004,6140.43,9991.58,29722.0,0.836,276669.4298373815,14953.7,14953.7,0,49317.22,29722.0,370.68
5,Ampara,PF,5.0,52101051081,helped,a,43493.30859375,7.09181388818278,0.0,111920.58600889788,1.0350000000000006,30947,0,30947.0,1.9154859311802738e-05,0.0,1.0350000000000006,42197.697997167474,0.0,42197.697997167474,1,36346.798828125,0,0.005978262876591123,0.01513002456159575,-1,0.0,0.0,25862.559999999998,5638.859999999999,9326.72,17361.0,0.865,187106.80080073146,8668.22,8668.22,0,35975.13,17361.0,351.79
6,Ampara,PF,5.0,52101051091,helped,a,43493.30859375,6.078697618442383,0.0,93183.89750288204,1.0350000000000006,26916,0,26916.0,1.9154859311802738e-05,0.0,1.0350000000000006,36701.238869414155,0.0,36701.238869414155,1,36346.798828125,0,0.006551783832808397,0.016341719774321223,-1,0.0,0.0,22493.82,4621.0,7765.32,15464.0,0.842,139487.26638063553,7539.14,7539.14,0,31289.18,15464.0,298.95
7,Ampara,PF,5.0,52101051101,helped,a,43493.30859375,5.065581348701985,0.0,107344.88809052588,0.9650000000000006,31102,0,31102.0,1.9154859311802738e-05,0.0,0.9650000000000006,40231.90782718528,0.0,40231.90782718528,1,36346.798828125,0,0.006104348389754694,0.015738536718250647,-1,0.0,0.0,26309.51,5510.530000000001,8945.41,17238.0,0.886,135774.14459622346,8806.14,8806.14,0,34671.3,17238.0,329.73
8,Ampara,PF,5.0,52101053011,helped,a,43493.30859375,1.8010988102314913,22499.999450683594,205349.94354133017,0.7950000000000005,74933,0,74933.0,1.9154859311802738e-05,0.0,0.7950000000000005,84191.25291034934,0.0,84191.25291034934,1,36346.798828125,0,0.004413495638762264,0.020878549890297672,-1,0.0,0.0,65283.100000000006,10764.34,17112.5,42038.0,0.884,119396.28100929374,21780.09,21780.09,0,74481.28,42038.0,614.18
9,Ampara,PF,5.0,52101053021,helped,a,43493.30859375,3.6021976204629826,0.0,173356.15172921692,1.0350000000000006,48651,0,48651.0,1.9154859311802738e-05,0.0,1.0350000000000006,66337.93922707193,0.0,66337.93922707193,1,36346.798828125,0,0.004803528445287456,0.015599031723763118,-1,0.0,0.0,40657.87000000001,8705.86,14446.35,27622.0,0.853,149407.70230837146,13627.1,13627.1,0,56555.61,27622.0,546.69
