,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcexp,pcsoc,c,pov_line,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,ARMM,EQ,1,153829114,helped,a,0.9321750945914897,202556.04127608586,822.4791037502216,243302.09000000003,22302.6775,760591.1790441405,0.5850000000000003,131692,15056,146748.0,1.324828518639679e-06,4799.915016424437,0.5850000000000003,119023.77670748683,4799.915016424437,123823.69172391127,1,15573.959716184301,500.0,50.0,0,0.004054684583948997,0.3474144146666903,-1,0.0,0.0,7777.8,0.7699999999968905,30381.27,0.0,1.151,7446.794017490999,2546.8,2507.7,39.1,7148.39,7107.91,0.01,63150.0
1,ARMM,EQ,1,153893114,helped,a,0.7508978320116265,64055.99846989873,0.0,98041.71899999998,22302.6775,307529.6367150249,0.6150000000000003,48523,5547,54070.0,1.324828518639679e-06,1768.4065220580737,0.6150000000000003,45310.977913254734,1768.4065220580737,47079.38443531281,1,15573.959716184301,500.0,50.0,0,0.006387406222212574,0.19087001490701344,-1,0.0,0.0,2478.7500000000045,0.2699999999893503,30381.08,0.0,2.254,1917.411241693706,814.07,799.66,14.41,2356.67,2342.66,0.0,11770.0
2,ARMM,EQ,1,156627419,helped,a,1.6307460002526792,54179.25679093233,0.0,116599.21000000004,22302.6775,365739.33074917743,0.8450000000000005,37955,4339,42294.0,1.324828518639679e-06,1383.2911301983022,0.8450000000000005,44172.1858427464,1383.2911301983022,45555.47697294471,1,15573.959716184301,500.0,50.0,0,0.005857093968392719,0.08431973624849251,-1,0.0,0.0,637.4800000000129,0.11999999999986845,30381.11,0.0,2.245,1114.272295728116,217.84,206.57,11.27,765.35,759.12,0.0,6833.0
3,ARMM,EQ,1,156642019,helped,a,0.6883468451265947,17723.054010602886,0.0,21066.311000000005,22302.6775,66079.16542911426,0.3150000000000001,20604,2355,22959.0,1.324828518639679e-06,750.7837316471541,0.027,7068.640342614846,750.7837316471541,7819.424074262,3,15573.959716184301,500.0,50.0,0,0.013779572685382052,0.05211043434743872,-1,4.836223506743741,4.836223506743741,18188.819999999996,0.029999999989541948,30380.97,0.0,10.0,12539.93540524128,5807.81,5801.69,6.12,6299.16,6299.16,0.0,0.0
4,ARMM,EQ,1,157025015,helped,a,2.6958153950128607,13719.49946384411,1370.7984756648525,26179.943,22302.6775,77819.3944434954,0.6150000000000003,12835,1467,14302.0,1.324828518639679e-06,467.68566213434184,0.619,10188.297621681355,467.68566213434184,10655.983283815696,2,15573.959716184301,500.0,50.0,0,0.012360773468492348,0.0,-1,0.28901734104046245,0.0,658.3900000000053,11319.05999999999,30380.97,0.0,10.0,1828.4143535559815,216.23,212.42,3.81,628.66,0.0,12.04,0.0
5,ARMM,EQ,1,157260118,helped,a,2.327404413220095,15971.575618886436,0.0,23040.299000000003,22302.6775,72271.01741530617,0.4050000000000002,18402,2104,20506.0,1.324828518639679e-06,670.7638944312578,0.409,6845.575389384442,670.7638944312578,7516.3392838157,2,15573.959716184301,500.0,50.0,0,0.013176071421869688,0.04753202093298623,-1,4.836223506743741,0.6551059730250479,5481.090000000007,0.29999999998700266,30380.97,0.0,10.0,12897.524112377423,1766.68,1761.22,5.46,4026.18,4010.09,0.01,0.0
6,ARMM,EQ,1,157260240,helped,a,2.327404413220095,14777.319904494298,0.0,18463.852,22302.6775,57915.97450387407,0.3050000000000001,18664,2134,20798.0,1.324828518639679e-06,680.3280184012854,0.031,6450.160325886405,680.3280184012854,7130.488344287691,3,15573.959716184301,500.0,50.0,0,0.014718679224862096,0.0,-1,4.836223506743741,4.836223506743741,16246.930000000006,368.2800000000031,30380.96,0.0,10.0,37876.23932412446,5188.22,5182.68,5.54,5692.18,0.0,109.64,0.0
7,ARMM,EQ,1,157260362,helped,a,1.3690614467821567,18888.916513407694,0.0,25606.15,22302.6775,80319.37921417347,0.3250000000000001,24361,2785,27146.0,1.324828518639679e-06,887.8695085508808,0.328,9194.32077526482,887.8695085508808,10082.1902838157,2,15573.959716184301,500.0,50.0,0,0.012498498805629704,0.21868799422579052,-1,4.065510597302518,1.8111753371868948,7983.360000000005,0.3200000000032046,30380.97,0.0,10.0,11030.0618395139,2568.49,2561.26,7.23,5203.63,5187.02,0.0,0.0
8,ARMM,EQ,1,157260484,helped,a,1.6428736435194449,17636.373318933318,0.0,25441.725000000002,22302.6775,79803.62366610044,0.2350000000000001,30788,3520,34308.0,1.324828518639679e-06,1122.190545816553,0.025,10315.341626306828,1122.190545816553,11437.532172123381,3,15573.959716184301,500.0,50.0,0,0.012538821464144603,0.35845318630181994,-1,4.836223506743741,1.9075144508670487,28841.799999999985,0.020000000002198703,30380.97,0.0,10.0,47453.382514791396,9208.46,9199.32,9.14,9929.85,9929.85,0.0,0.0
9,ARMM,EQ,1,157640114,helped,a,0.9223149902431247,25157.71522539576,0.0,32336.271000000004,22302.6775,101429.89917739607,0.7950000000000005,11536,1319,12855.0,1.324828518639679e-06,420.50265054887313,0.7950000000000005,12848.844470607892,420.50265054887313,13269.347121156765,1,15573.959716184301,500.0,50.0,0,0.011122054727009103,0.0,-1,0.0,0.0,246.75999999999698,14145.950000000008,30380.99,0.0,10.0,241.01558826373233,83.31,79.88,3.43,282.51,0.0,5.4,0.0
