,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,ethnicity,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5,521411,helped,a,2,2.0,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.8450000000000005,34726,0,34726.0,3.8556181494435066e-07,0.0,0.8450000000000005,40521.09765506525,0.0,40521.09765506525,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.20678366067871717,-1,0.0,0.0,50.74999999999944,0.0999999999983872,7999.65,0.0,0.869,274.9518746561131,16.6,16.6,0,60.19,60.19,0.0,19450.0
1,Ampara,PF,10,521411,helped,a,2,2.0,6.480996107587006,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.8450000000000005,37253,0,37253.0,5.119773169163208e-07,0.0,0.8450000000000005,43469.80507239952,0.0,43469.80507239952,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.22832481945113645,-1,0.0,0.0,54.42999999999151,0.09999999999814939,7999.65,0.0,0.844,358.52870467165815,17.81,17.81,0,64.56,64.56,0.0,21300.0
2,Ampara,PF,25,521411,helped,a,2,2.0,7.559263766962934,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.1150000000000009,22698,0,22698.0,5.691215046577538e-07,0.0,1.1150000000000009,32614.31712649517,0.0,32614.31712649517,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.10692294315309493,-1,0.0,0.0,4.099999999999347,0.09999999999996483,7999.65,0.0,0.942,31.673315183569752,1.35,1.35,0,6.02,6.02,0.0,11415.0
3,Ampara,PF,50,521411,helped,a,2,2.0,8.021197682071167,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.1150000000000009,22444,0,22444.0,5.236468822917253e-07,0.0,1.1150000000000009,32249.349439909136,0.0,32249.349439909136,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.10509833018578409,-1,0.0,0.0,4.079999999993803,0.09000000000065894,7999.65,0.0,0.942,33.44839433418706,1.34,1.34,0,5.99,5.99,0.0,11287.0
4,Ampara,PF,100,521411,helped,a,2,2.0,8.61601669604615,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.1150000000000009,24337,0,24337.0,5.915211559293466e-07,0.0,1.1150000000000009,34969.36452143418,0.0,34969.36452143418,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.11888849296764095,-1,0.0,0.0,4.419999999991123,0.09999999999951652,7999.65,0.0,0.892,38.94439546605211,1.45,1.45,0,6.49,6.49,0.0,12939.0
5,Ampara,PF,250,521411,helped,a,2,2.0,9.196914413949381,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.2150000000000007,20390,0,20390.0,6.394312751242658e-07,0.0,1.2150000000000007,31336.996572792163,0.0,31336.996572792163,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.08918396232947555,-1,0.0,0.0,1.7199999999950952,0.09999999999962421,7999.65,0.0,0.938,16.1865693685058,0.57,0.57,0,2.71,2.71,0.0,10028.0
6,Ampara,PF,500,521411,helped,a,2,2.0,10.304290237838977,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9050000000000006,31536,0,31536.0,7.797653075935513e-07,0.0,0.9050000000000006,38690.90836290208,0.0,38690.90836290208,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.17877865464937073,-1,0.0,0.0,28.930000000003766,0.0999999999999666,7999.65,0.0,0.882,303.3583046020183,9.48,9.48,0,36.12,36.12,0.0,17411.0
7,Ampara,PF,1000,521411,helped,a,2,2.0,10.940873140029225,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.0350000000000006,27381,0,27381.0,8.567841018812801e-07,0.0,1.0350000000000006,37152.74923784316,0.0,37152.74923784316,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.14317277302998696,-1,0.0,0.0,9.210000000005882,0.09000000000053882,7999.65,0.0,0.861,102.84420751633907,3.03,3.03,0,12.76,12.76,0.0,15233.0
8,Ampara,PF,5,521421,helped,a,2,2.0,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.1150000000000009,19736,0,19736.0,3.8556181494435066e-07,0.0,1.1150000000000009,28358.276623865924,0.0,28358.276623865924,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.1253014860624411,-1,0.0,0.0,3.5900000000046726,0.09000000000028902,6265.01,0.0,0.868,24.454085401057355,1.18,1.18,0,5.27,5.27,0.0,10776.0
9,Ampara,PF,10,521421,helped,a,2,2.0,8.101245134483758,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.1150000000000009,17936,0,17936.0,5.119773169163208e-07,0.0,1.1150000000000009,25771.89144333498,0.0,25771.89144333498,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.10843060354568072,-1,0.0,0.0,3.2400000000043296,0.09999999999862678,6265.01,0.0,0.916,26.815121395176313,1.07,1.07,0,4.76,4.76,0.0,9278.0
