,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5,521411,helped,a,2,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.0350000000000006,26060,0,26060.0,1.947625579958796e-05,0.0,1.0350000000000006,35360.309891464625,0.0,35360.309891464625,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.004647330238172454,-1,0.0,0.0,24546.63,6809.82,7996.69,13791.0,0.91,133483.64463699656,8060.23,8060.23,0,33977.73,13791.0,382.47,13791.0
1,Ampara,PF,10,521411,helped,a,2,6.480996107587006,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,44754,0,44754.0,2.4416535633172634e-05,0.0,0.7150000000000004,46404.556871934285,0.0,46404.556871934285,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.009410355469801453,-1,0.0,0.0,42942.04,6817.44,7996.69,25058.0,0.862,282167.79385321296,14013.95,14013.95,0,45143.42,25058.0,381.04,25058.0
2,Ampara,PF,25,521411,helped,a,2,7.559263766962934,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.0350000000000006,26751,0,26751.0,2.7612936559671693e-05,0.0,1.0350000000000006,36297.91442465733,0.0,36297.91442465733,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.004924936537548067,-1,0.0,0.0,25197.510000000002,6799.31,7996.7,14519.0,0.885,194311.25309297058,8273.96,8273.96,0,34878.69,14519.0,385.63,14519.0
3,Ampara,PF,50,521411,helped,a,2,8.021197682071167,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,45815,0,45815.0,3.0356273516553037e-05,0.0,0.7150000000000004,47504.68724779169,0.0,47504.68724779169,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.009921635384829654,-1,0.0,0.0,43960.08000000001,6816.990000000001,7996.7,26128.0,0.836,357503.8983581669,14346.19,14346.19,0,46213.66,26128.0,380.9,26128.0
4,Ampara,PF,100,521411,helped,a,2,8.61601669604615,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,45031,0,45031.0,3.166237900108329e-05,0.0,0.7150000000000004,46691.77281360488,0.0,46691.77281360488,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.009484175465676394,-1,0.0,0.0,43207.81999999999,6810.1900000000005,7996.7,25214.0,0.862,377443.4804468659,14100.69,14100.69,0,45422.83,25214.0,383.38,25214.0
5,Ampara,PF,250,521411,helped,a,2,9.196914413949381,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9650000000000006,28362,0,28362.0,3.377511478504425e-05,0.0,0.9650000000000006,36498.50916123252,0.0,36498.50916123252,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.005238213464472151,-1,0.0,0.0,26823.27,6830.759999999999,7996.7,15329.0,0.899,251321.04520823815,8795.93,8795.93,0,35166.17,15329.0,375.96,15329.0
6,Ampara,PF,500,521411,helped,a,2,10.304290237838977,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7950000000000005,40144,0,40144.0,3.816840048903025e-05,0.0,0.7950000000000005,44836.05704846338,0.0,44836.05704846338,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.00839817094967959,-1,0.0,0.0,38340.97,6785.370000000001,7996.71,22866.0,0.847,401174.8709717374,12531.72,12531.72,0,43483.3,22866.0,390.87,22866.0
7,Ampara,PF,1000,521411,helped,a,2,10.940873140029225,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9650000000000006,30602,0,30602.0,4.146314345763924e-05,0.0,0.9650000000000006,39381.121830337695,0.0,39381.121830337695,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.006031929838488969,-1,0.0,0.0,28941.75,6784.25,7996.71,17328.0,0.851,322590.6598551791,9490.62,9490.62,0,37943.56,17328.0,390.46,17328.0
8,Ampara,PF,5,521421,helped,a,2,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.0350000000000006,20918,0,20918.0,1.947625579958796e-05,0.0,1.0350000000000006,28383.229559081232,0.0,28383.229559081232,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.004916264871225488,-1,0.0,0.0,19703.25,5326.37,6262.68,11353.0,0.885,133931.89401931202,6469.84,6469.84,0,27273.46,11353.0,301.55,11353.0
9,Ampara,PF,10,521421,helped,a,2,8.101245134483758,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.6450000000000004,39881,0,39881.0,2.4416535633172634e-05,0.0,0.437,29766.047045288302,0.0,29766.047045288302,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.008370680168275595,-1,0.0,0.0,38900.46,5581.580000000001,6262.69,17860.0,1.203,317806.9048662658,12627.18,12627.18,0,29770.42,17860.0,227.08,17860.0
