,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,ethnicity,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5,521411,helped,a,2,2.0,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.0350000000000006,25905,0,25905.0,1.8003557639598184e-05,0.0,1.0350000000000006,35149.99338980779,0.0,35149.99338980779,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.013766981010554355,-1,0.0,0.0,21648.94,4794.099999999999,7996.69,13708.0,0.91,117726.09832842814,7108.73,7108.73,0,29966.71,13708.0,307.55,13708.0
1,Ampara,PF,10,521411,helped,a,2,2.0,6.480996107587006,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9050000000000006,31767,0,31767.0,2.1738575361632074e-05,0.0,0.9050000000000006,38974.317794403556,0.0,38974.317794403556,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.0182441732054933,-1,0.0,0.0,27153.12,4783.030000000001,7996.69,17538.0,0.882,179074.78319970967,8893.8,8893.8,0,33899.63,17538.0,309.59,17538.0
2,Ampara,PF,25,521411,helped,a,2,2.0,7.559263766962934,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9650000000000006,30827,0,30827.0,2.536478472783607e-05,0.0,0.9650000000000006,39670.669977904065,0.0,39670.669977904065,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.018143692924223277,-1,0.0,0.0,26076.899999999994,4689.030000000001,7996.7,17455.0,0.851,200821.66901226735,8551.18,8551.18,0,34187.66,17455.0,316.32,17455.0
3,Ampara,PF,50,521411,helped,a,2,2.0,8.021197682071167,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9650000000000006,29489,0,29489.0,2.7630782820478804e-05,0.0,0.9650000000000006,37948.82366037607,0.0,37948.82366037607,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.016783064320004204,-1,0.0,0.0,24945.070000000003,4766.799999999999,7996.7,16318.0,0.875,203844.46135796464,8180.02,8180.02,0,32703.78,16318.0,309.9,16318.0
4,Ampara,PF,100,521411,helped,a,2,2.0,8.61601669604615,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,46201,0,46201.0,2.941870225800175e-05,0.0,0.7150000000000004,47904.92318094999,0.0,47904.92318094999,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.029909187358428888,-1,0.0,0.0,40813.51999999998,4752.84,7996.7,26348.0,0.836,356528.01375704684,13319.32,13319.32,0,42905.79,26348.0,313.36,26348.0
5,Ampara,PF,250,521411,helped,a,2,2.0,9.196914413949381,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.1150000000000009,23334,0,23334.0,3.05547089289718e-05,0.0,1.1150000000000009,33528.173223616104,0.0,33528.173223616104,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.011946343760851795,-1,0.0,0.0,19231.68,4803.1399999999985,7996.7,12070.0,0.916,180713.11433230384,6324.74,6324.74,0,28233.73,12070.0,305.64,12070.0
6,Ampara,PF,500,521411,helped,a,2,2.0,10.304290237838977,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.2150000000000007,21972,0,21972.0,3.4711687460395386e-05,0.0,1.2150000000000007,33768.34177034769,0.0,33768.34177034769,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.011304632359859923,-1,0.0,0.0,17797.81,4707.549999999999,7996.71,11481.0,0.888,187737.7794734787,5864.47,5864.47,0,28001.02,11481.0,312.04,11481.0
7,Ampara,PF,1000,521411,helped,a,2,2.0,10.940873140029225,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,44865,0,44865.0,3.64696522642404e-05,0.0,0.7150000000000004,46519.650624733695,0.0,46519.650624733695,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.028155247609033228,-1,0.0,0.0,39633.299999999996,4765.9800000000005,7996.71,25121.0,0.862,439638.09006437694,12934.16,12934.16,0,41665.07,25121.0,313.26,25121.0
8,Ampara,PF,5,521421,helped,a,2,2.0,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.2150000000000007,17263,0,17263.0,1.8003557639598184e-05,0.0,1.2150000000000007,26531.170761947575,0.0,26531.170761947575,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.011345531528250371,-1,0.0,0.0,13983.410000000002,3678.5899999999997,6262.68,9021.0,0.888,95381.79414280436,4607.6,4607.6,0,21999.88,9021.0,245.15,9021.0
9,Ampara,PF,10,521421,helped,a,2,2.0,8.101245134483758,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.0350000000000006,21223,0,21223.0,2.1738575361632074e-05,0.0,1.0350000000000006,28797.07815911564,0.0,28797.07815911564,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.014905830632174617,-1,0.0,0.0,17736.170000000002,3688.9400000000005,6262.69,11519.0,0.885,146579.23074117114,5823.92,5823.92,0,24550.61,11519.0,246.41,11519.0
10,Ampara,PF,25,521421,helped,a,2,2.0,9.449079708703666,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.8450000000000005,28146,0,28146.0,2.536478472783607e-05,0.0,0.854,29766.0470452883,0.0,29766.0470452883,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.019572844736430388,-1,0.0,0.0,24502.449999999997,3678.3100000000004,6262.69,14585.0,0.97,235366.8429917083,8017.72,8017.72,0,29289.98,14585.0,278.72,14585.0
11,Ampara,PF,50,521421,helped,a,2,2.0,10.026497102588957,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.6750000000000004,37284,0,37284.0,2.7630782820478804e-05,0.0,0.541,29766.047045288302,0.0,29766.047045288302,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.023950276935214065,-1,0.0,0.0,34142.04,4120.279999999999,6262.69,17264.0,1.143,345912.0444749275,11104.82,11104.82,0,29769.21,17264.0,237.97,17264.0
12,Ampara,PF,100,521421,helped,a,2,2.0,10.770020870057687,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.7950000000000005,29293,0,29293.0,2.941870225800175e-05,0.0,0.801,29766.047045288302,0.0,29766.047045288302,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.020521312246201732,-1,0.0,0.0,25712.14,3778.58,6262.69,15181.0,0.97,281227.3234599898,8404.96,8404.96,0,29320.71,15181.0,268.1,15181.0
13,Ampara,PF,250,521421,helped,a,2,2.0,11.496143017436724,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.0350000000000006,20720,0,20720.0,3.05547089289718e-05,0.0,1.0350000000000006,28114.567189222827,0.0,28114.567189222827,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.014506614028493042,-1,0.0,0.0,17315.82,3749.959999999999,6262.7,11246.0,0.885,203074.76794581275,5685.89,5685.89,0,23968.75,11246.0,240.57,11246.0
14,Ampara,PF,500,521421,helped,a,2,2.0,12.880362797298721,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.6150000000000003,40947,0,40947.0,3.4711687460395386e-05,0.0,0.454,29766.047045288302,0.0,29766.047045288302,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.025477461730067128,-1,0.0,0.0,38009.9,4269.88,6262.7,18157.0,1.22,493882.6990452026,12342.14,12342.14,0,29750.25,18157.0,220.88,18157.0
15,Ampara,PF,1000,521421,helped,a,2,2.0,13.67609142503653,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.1150000000000009,19541,0,19541.0,3.64696522642404e-05,0.0,1.1150000000000009,28078.084895975073,0.0,28078.084895975073,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.013672632155798354,-1,0.0,0.0,16105.530000000002,3685.71,6262.7,10670.0,0.868,225043.91370457516,5296.64,5296.64,0,23644.28,10670.0,245.13,10670.0
