,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,ethnicity,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5,521411,helped,a,2,2.0,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.8450000000000005,34726,0,34726.0,1.9179039251601874e-05,0.0,0.8450000000000005,40521.09765506525,0.0,40521.09765506525,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.010927812629509011,-1,0.0,0.0,32011.080000000005,6558.56,7996.75,18640.0,0.919,173438.92823390776,10472.88,10472.88,0,37966.25,18640.0,366.45,18640.0
1,Ampara,PF,10,521411,helped,a,2,2.0,6.480996107587006,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.8450000000000005,37253,0,37253.0,2.3909832502279025e-05,0.0,0.8450000000000005,43469.80507239952,0.0,43469.80507239952,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.01249812781965931,-1,0.0,0.0,34340.52,6500.19,7996.77,20866.0,0.869,226213.98433843837,11234.99,11234.99,0,40729.04,20866.0,376.36,20866.0
2,Ampara,PF,25,521411,helped,a,2,2.0,7.559263766962934,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.1150000000000009,22698,0,22698.0,2.7109407499790836e-05,0.0,1.1150000000000009,32614.31712649517,0.0,32614.31712649517,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.006068751690514521,-1,0.0,0.0,20386.22,6601.03,7996.78,11089.0,0.968,157451.37585360726,6704.43,6704.43,0,29928.69,11089.0,356.85,11089.0
3,Ampara,PF,50,521411,helped,a,2,2.0,8.021197682071167,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.1150000000000009,22444,0,22444.0,2.921369624599793e-05,0.0,1.1150000000000009,32249.349439909136,0.0,32249.349439909136,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.0058014778167327224,-1,0.0,0.0,20158.079999999998,6591.3099999999995,7996.79,10642.0,0.994,165203.22385633178,6629.4,6629.4,0,29593.75,10642.0,359.08,10642.0
4,Ampara,PF,100,521411,helped,a,2,2.0,8.61601669604615,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.1150000000000009,24337,0,24337.0,3.1014795270587114e-05,0.0,1.1150000000000009,34969.36452143418,0.0,34969.36452143418,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.00698127771288094,-1,0.0,0.0,21858.27,6530.419999999999,7996.8,12589.0,0.916,192421.07007196388,7188.54,7188.54,0,32089.78,12589.0,369.14,12589.0
5,Ampara,PF,250,521411,helped,a,2,2.0,9.196914413949381,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.2150000000000007,20390,0,20390.0,3.344036140601792e-05,0.0,1.2150000000000007,31336.996572792163,0.0,31336.996572792163,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.005070318061818851,-1,0.0,0.0,18137.7,6568.579999999999,7996.81,9401.0,0.991,170762.05293641062,5976.46,5976.46,0,28535.75,9401.0,362.3,9401.0
6,Ampara,PF,500,521411,helped,a,2,2.0,10.304290237838977,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9050000000000006,31536,0,31536.0,3.766710698364318e-05,0.0,0.9050000000000006,38690.90836290208,0.0,38690.90836290208,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.00957160369068636,-1,0.0,0.0,28902.93,6545.109999999999,7996.82,16637.0,0.933,303062.983643763,9466.94,9466.94,0,36084.2,16637.0,368.68,16637.0
7,Ampara,PF,1000,521411,helped,a,2,2.0,10.940873140029225,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.0350000000000006,27381,0,27381.0,3.925938981259152e-05,0.0,1.0350000000000006,37152.74923784316,0.0,37152.74923784316,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.008173716014594386,-1,0.0,0.0,24782.519999999997,6501.24,7996.83,14490.0,0.91,276603.87246427685,8137.69,8137.69,0,34304.25,14490.0,375.23,14490.0
8,Ampara,PF,5,521421,helped,a,2,2.0,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.1150000000000009,19736,0,19736.0,1.9179039251601874e-05,0.0,1.1150000000000009,28358.276623865924,0.0,28358.276623865924,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.0072577673752836774,-1,0.0,0.0,17725.88,5171.02,6262.73,10209.0,0.916,120676.7136137912,5829.52,5829.52,0,26023.08,10209.0,299.36,10209.0
9,Ampara,PF,10,521421,helped,a,2,2.0,8.101245134483758,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.1150000000000009,17936,0,17936.0,2.3909832502279025e-05,0.0,1.1150000000000009,25771.89144333498,0.0,25771.89144333498,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.005931476558780272,-1,0.0,0.0,16109.210000000001,5243.100000000001,6262.75,8505.0,0.994,133338.71771827355,5297.85,5297.85,0,23649.68,8505.0,286.95,8505.0
10,Ampara,PF,25,521421,helped,a,2,2.0,9.449079708703666,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.0350000000000006,20500,0,20500.0,2.7109407499790836e-05,0.0,1.0350000000000006,27816.053444935715,0.0,27816.053444935715,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.007545456028673273,-1,0.0,0.0,18554.530000000002,5245.68,6262.76,10570.0,0.935,178854.63748706726,6092.64,6092.64,0,25683.39,10570.0,286.3,10570.0
11,Ampara,PF,50,521421,helped,a,2,2.0,10.026497102588957,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.0350000000000006,20817,0,20817.0,2.921369624599793e-05,0.0,1.0350000000000006,28246.18461284033,0.0,28246.18461284033,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.007676948185034133,-1,0.0,0.0,18841.45,5222.05,6262.76,10734.0,0.935,192718.89974897823,6186.86,6186.86,0,26080.55,10734.0,290.72,10734.0
12,Ampara,PF,100,521421,helped,a,2,2.0,10.770020870057687,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.9050000000000006,26190,0,26190.0,3.1014795270587114e-05,0.0,0.891,29766.047045288295,0.0,29766.047045288295,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.009883047122218927,-1,0.0,0.0,24125.690000000002,5223.780000000001,6262.77,13395.0,0.98,264333.4687232173,7900.06,7900.06,0,29768.27,13395.0,310.58,13395.0
13,Ampara,PF,250,521421,helped,a,2,2.0,11.496143017436724,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.9650000000000006,22305,0,22305.0,3.344036140601792e-05,0.0,0.9650000000000006,28703.87302874591,0.0,28703.87302874591,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.008283100522917312,-1,0.0,0.0,20324.829999999998,5243.400000000001,6262.78,11482.0,0.95,238042.2412776595,6664.95,6664.95,0,26646.5,11482.0,287.44,11482.0
14,Ampara,PF,500,521421,helped,a,2,2.0,12.880362797298721,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.7150000000000004,34156,0,34156.0,3.766710698364318e-05,0.0,0.588,29766.047045288302,0.0,29766.047045288302,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.012252756280166813,-1,0.0,0.0,32335.30999999999,5474.700000000001,6262.79,16074.0,1.121,421236.03602853,10526.7,10526.7,0,29756.5,16074.0,260.4,16074.0
15,Ampara,PF,1000,521421,helped,a,2,2.0,13.67609142503653,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.8450000000000005,27851,0,27851.0,3.925938981259152e-05,0.0,0.812,29766.0470452883,0.0,29766.0470452883,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.01039589635892088,-1,0.0,0.0,25837.840000000004,5279.94,6262.8,13990.0,1.011,358932.5752338543,8447.84,8447.84,0,29758.99,13990.0,299.37,13990.0
16,Ampara,PF,5,521431,helped,a,2,2.0,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,106152.78973650702,329789.2799926544,0.9650000000000006,32095,0,32095.0,1.9179039251601874e-05,0.0,0.9650000000000006,41302.434649522525,0.0,41302.434649522525,1,45477.532103761216,1.0,1.0,0,0,0.006138528685099078,0.008711685393838459,-1,0.0,0.0,29245.710000000003,7182.37,8835.51,16934.0,0.924,158822.71472647582,9590.3,9590.3,0,38342.07,16934.0,405.66,16934.0
17,Ampara,PF,10,521431,helped,a,2,2.0,6.480996107587006,0.0,0.0,0.0,0.0,52153.133146515145,106152.78973650702,329789.2799926544,0.8450000000000005,39336,0,39336.0,2.3909832502279025e-05,0.0,0.8450000000000005,45900.417478536154,0.0,45900.417478536154,1,45477.532103761216,1.0,1.0,0,0,0.006138528685099078,0.011543968624047966,-1,0.0,0.0,36260.67,7182.15,8835.53,21573.0,0.894,238862.75001173269,11863.19,11863.19,0,43006.4,21573.0,406.27,21573.0
