,Region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcsoc,c,pov_line,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Bucharest-Ilfov,EQ,1,82340510611,helped,a,4.3521326e-06,41441.4,41824.93589638551,24017.0,2077.788573176211,0.7150000000000004,220,0,220.0,3.795076348266931e-11,0.0,0.7150000000000004,201.5850079231557,0.0,201.5850079231557,1,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,13.779999999999987,13066.800000000001,0.0,0.0,10.0,6.0799292421999936e-05,2.81,2.81,0,12.8,0.0,0.24,0.0
1,Bucharest-Ilfov,EQ,1,82340510611,not_helped,na,435.21325564786736,41441.4,41824.93589638551,24017.0,2077.788573176211,0.0,0,0,0.0,3.795076348266931e-11,0.0,0.0,1.17691004936026e-05,0.0,1.17691004936026e-05,4,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2,Bucharest-Ilfov,EQ,2,82340510611,helped,a,4.3521326e-06,41441.4,41824.93589638551,24017.0,2077.788573176211,0.4450000000000002,405,0,405.0,3.904557732515213e-11,0.0,0.4450000000000002,261.7496638925435,0.0,261.7496638925435,1,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,72.29000000000012,13795.730000000005,0.0,0.0,10.0,0.00031731398786600054,14.68,14.68,0,47.12,0.0,0.9,0.0
3,Bucharest-Ilfov,EQ,2,82340510611,not_helped,na,435.21325564786736,41441.4,41824.93589638551,24017.0,2077.788573176211,0.0,0,0,0.0,3.904557732515213e-11,0.0,0.0,1.1881669200160472e-05,0.0,1.1881669200160472e-05,4,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4,Bucharest-Ilfov,EQ,5,82340510611,helped,a,4.3521326e-06,41441.4,41824.93589638551,24017.0,2077.788573176211,0.8250000000000005,187,0,187.0,4.05883659630558e-11,0.0,0.8250000000000005,191.91725871960548,0.0,191.91725871960548,1,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,7.6699999999999315,13939.430000000006,0.0,0.0,10.0,3.39031129539997e-05,1.57,1.57,0,8.0,0.0,0.15,0.0
5,Bucharest-Ilfov,EQ,5,82340510611,not_helped,na,435.21325564786736,41441.4,41824.93589638551,24017.0,2077.788573176211,0.0,0,0,0.0,4.05883659630558e-11,0.0,0.0,1.1988658538607356e-05,0.0,1.1988658538607356e-05,4,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
6,Bucharest-Ilfov,EQ,10,82340510611,helped,a,0.8265078709385508,41441.4,41824.93589638551,24017.0,2077.788573176211,0.6050000000000003,297,0,297.0,7.2779535097354595e-06,0.0,0.6050000000000003,241.68613231885854,0.0,241.68613231885854,1,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,28.55000000000004,13760.400000000003,0.03,0.0,10.0,23.86954731270538,6.12,6.12,0,23.59,0.0,0.45,0.0
7,Bucharest-Ilfov,EQ,10,82340510611,not_helped,na,434.38675212906145,41441.4,41824.93589638551,24017.0,2077.788573176211,0.0,0,0,0.0,7.2779535097354595e-06,0.0,0.0,2.2163875108840303,0.0,2.2163875108840303,4,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,3.892924207161416e-05,-1,0.0,0.0,0.0,0.0,0.03,0.0,1.0,0.0,0.3,0.3,0,0.3,0.3,0.0,2.22
8,Bucharest-Ilfov,EQ,20,82340510611,helped,a,14.807012199006524,41441.4,41824.93589638551,24017.0,2077.788573176211,0.6350000000000003,277,0,277.0,0.00013270708659805552,0.0,0.6350000000000003,271.97974691033687,0.0,271.97974691033687,1,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0,-1,0.0,0.0,23.66000000000005,14219.699999999997,0.61,0.0,10.0,354.627942166207,10.32,10.32,0,25.53,0.0,0.49,0.0
9,Bucharest-Ilfov,EQ,20,82340510611,not_helped,na,420.40624780099347,41441.4,41824.93589638551,24017.0,2077.788573176211,0.0,0,0,0.0,0.00013270708659805552,0.0,0.0,40.325910843640116,0.0,40.325910843640116,4,15800.657894736842,1.0,1.0,0,0,0.009779403231847427,0.0007111596860771777,-1,0.0,0.0,0.0,0.0,0.61,0.0,1.0,0.0,5.5,5.5,0,5.5,5.5,0.0,40.33
