,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,pcwgt,pcsoc,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5.0,52101051011,helped,a,43493.30859375,5.065581348701985,0.0,42252.664021083285,128604.51219922266,0.5850000000000003,23854,0,23854.0,2.008754577557463e-05,0.0,0.021,8337.167066094693,0.0,8337.167066094693,3,36346.798828125,500.0,50.0,0,0.009729778363522642,0.0,-1,0.11560693641618495,0.11560693641618495,23796.159999999996,17419.879999999997,3522.26,0.0,10.0,120590.16581511623,7821.33,7821.33,0,8321.25,0.0,160.3,0.0
1,Ampara,PF,5.0,52101051021,helped,a,43493.30859375,7.09181388818278,0.0,93914.6057375128,285848.0604495976,0.7550000000000004,40836,0,40836.0,2.008754577557463e-05,0.0,0.7550000000000004,44247.737152303314,0.0,44247.737152303314,1,36346.798828125,500.0,50.0,0,0.006526245786778747,0.007767510628166589,-1,0.0,0.0,37422.82,19119.280000000002,7828.89,11504.0,1.784,269284.68351096596,12475.33,12475.33,0,41143.59,11504.0,565.35,11504.0
2,Ampara,PF,5.0,52101051041,helped,a,43493.30859375,3.0393488092211913,0.0,189890.06322699293,577968.7392161,0.6150000000000003,106610,0,106610.0,2.008754577557463e-05,0.0,0.6150000000000003,100591.57663353551,0.0,100591.57663353551,1,36346.798828125,500.0,50.0,0,0.004589642686662065,0.01678015045212912,-1,0.0,0.0,99293.39,24693.510000000002,15829.56,45266.0,1.298,305384.6199106296,33011.44,33011.44,0,94804.79,45266.0,943.72,45266.0
3,Ampara,PF,5.0,52101051051,helped,a,43493.30859375,4.052465078961589,0.0,185510.68880117586,564639.2291173065,0.7550000000000004,81578,0,81578.0,2.008754577557463e-05,0.0,0.7550000000000004,88393.62085930552,0.0,88393.62085930552,1,36346.798828125,500.0,50.0,0,0.004643500821149795,0.011715414279240915,-1,0.0,0.0,74759.51,24316.2,15464.48,32706.0,1.317,307399.7385646313,24921.95,24921.95,0,82192.48,32706.0,942.03,32706.0
4,Ampara,PF,5.0,52101051061,helped,a,43493.30859375,6.078697618442383,0.0,119899.00962193315,364936.8389624983,1.1150000000000009,30444,0,30444.0,2.008754577557463e-05,0.0,1.1150000000000009,43947.35371007745,0.0,43947.35371007745,1,36346.798828125,500.0,50.0,0,0.005775933677332382,0.0023917049357566884,-1,0.0,0.0,26762.11,20645.21,9994.98,4834.0,1.98,166211.53101640323,8983.56,8983.56,0,39471.32,4834.0,659.27,4834.0
5,Ampara,PF,5.0,52101051081,helped,a,43493.30859375,7.09181388818278,0.0,111920.58600889785,340652.8961474091,1.1150000000000009,26430,0,26430.0,2.008754577557463e-05,0.0,1.1150000000000009,38152.95488626156,0.0,38152.95488626156,1,36346.798828125,500.0,50.0,0,0.005978262876591124,0.0016014191564530924,-1,0.0,0.0,23233.56,20402.839999999997,9329.9,3052.0,2.265,168346.18725907165,7799.09,7799.09,0,34267.07,3052.0,594.4,3052.0
6,Ampara,PF,5.0,52101051091,helped,a,43493.30859375,6.078697618442383,0.0,93183.89750288203,283624.00243451586,0.9650000000000006,27103,0,27103.0,2.008754577557463e-05,0.0,0.9650000000000006,35059.01221272595,0.0,35059.01221272595,1,36346.798828125,500.0,50.0,0,0.006551783832808398,0.0026883492001804634,-1,0.0,0.0,24241.93,19278.1,7767.96,4207.0,2.197,150124.9264259335,8114.1,8114.1,0,31946.6,4207.0,528.79,4207.0
7,Ampara,PF,5.0,52101051101,helped,a,43493.30859375,5.065581348701985,0.0,107344.88809052586,326725.83586856845,1.0350000000000006,29955,0,29955.0,2.008754577557463e-05,0.0,1.0350000000000006,40845.05908505353,0.0,40845.05908505353,1,36346.798828125,500.0,50.0,0,0.0061043483897546946,0.0029555480585629177,-1,0.0,0.0,26576.93,19970.45,8948.46,5310.0,1.971,137339.3079213454,8907.66,8907.66,0,36968.84,5310.0,602.94,5310.0
8,Ampara,PF,5.0,52101053011,helped,a,43493.30859375,1.8010988102314913,22499.999450683594,205349.94354133014,556540.9688016331,1.2150000000000007,37059,0,37059.0,2.008754577557463e-05,0.0,1.2150000000000007,57202.8049988873,0.0,57202.8049988873,1,36346.798828125,500.0,50.0,0,0.004413495638762264,0.0014697390086011956,-1,0.0,0.0,32202.650000000005,26399.620000000006,17117.69,5148.0,1.982,59373.97874078142,10831.15,10831.15,0,50884.14,5148.0,869.85,5148.0
9,Ampara,PF,5.0,52101053021,helped,a,43493.30859375,3.6021976204629826,0.0,173356.1517292169,527644.4419870399,1.0350000000000006,48174,0,48174.0,2.008754577557463e-05,0.0,1.0350000000000006,65687.52716953326,0.0,65687.52716953326,1,36346.798828125,500.0,50.0,0,0.004803528445287456,0.004869675166664333,-1,0.0,0.0,42741.329999999994,23745.400000000005,14451.27,13794.0,1.508,157063.88517485588,14325.4,14325.4,0,59453.72,13794.0,868.42,13794.0
10,Ampara,PF,5.0,52101053031,helped,a,43493.30859375,3.6021976204629826,0.0,187466.74015954687,570592.8662809753,0.7950000000000005,74811,0,74811.0,2.008754577557463e-05,0.0,0.7950000000000005,84053.69634491536,0.0,84053.69634491536,1,36346.798828125,500.0,50.0,0,0.004619211863019198,0.009918478671264244,-1,0.0,0.0,68241.8,24503.599999999995,15627.55,28578.0,1.357,249614.89648357785,22766.74,22766.74,0,77856.4,28578.0,938.06,28578.0
11,Ampara,PF,5.0,52101053041,helped,a,43493.30859375,3.6021976204629826,0.0,98597.30716633183,300100.8075125373,0.8450000000000005,35701,0,35701.0,2.008754577557463e-05,0.0,0.8450000000000005,41896.81181590706,0.0,41896.81181590706,1,36346.798828125,500.0,50.0,0,0.006369384529710048,0.0052237595549171545,-1,0.0,0.0,32378.38,19432.18,8219.24,8379.0,1.905,118547.81938176989,10812.45,10812.45,0,38621.28,8379.0,576.68,8379.0
12,Ampara,PF,5.0,52101053051,helped,a,43493.30859375,4.502747025578729,0.0,102961.13086842057,313382.9858445473,1.0350000000000006,28605,0,28605.0,2.008754577557463e-05,0.0,1.0350000000000006,39004.270242962986,0.0,39004.270242962986,1,36346.798828125,500.0,50.0,0,0.00623294570348437,0.002707864528537375,-1,0.0,0.0,25379.16,19732.98,8583.01,4681.0,2.049,116577.74148116249,8506.21,8506.21,0,35302.73,4681.0,583.28,4681.0
13,Ampara,PF,5.0,52101053071,helped,a,43493.30859375,4.502747025578729,0.0,145297.51332983174,442242.3120165664,0.6450000000000004,75511,0,75511.0,2.008754577557463e-05,0.0,0.6450000000000004,73513.52944822155,0.0,73513.52944822155,1,36346.798828125,500.0,50.0,0,0.005246877259162607,0.013364180848827135,-1,0.0,0.0,70085.21,22094.610000000004,12112.25,28670.0,1.46,319522.3584676588,23314.26,23314.26,0,69084.52,28670.0,770.46,28670.0
14,Ampara,PF,5.0,52101053081,helped,a,43493.30859375,6.303845835810221,0.0,115447.63546244107,351388.18314018013,1.2150000000000007,25204,0,25204.0,2.008754577557463e-05,0.0,1.2150000000000007,38903.56590818526,0.0,38903.56590818526,1,36346.798828125,500.0,50.0,0,0.00588623334315135,0.0011808588917202824,-1,0.0,0.0,21901.180000000004,20556.11,9623.92,2334.0,2.316,141331.845408115,7366.01,7366.01,0,34606.24,2334.0,614.07,2334.0
15,Ampara,PF,5.0,52101053091,helped,a,43493.30859375,3.6021976204629826,0.0,95714.04244082204,291325.009295876,1.1150000000000009,24095,0,24095.0,2.008754577557463e-05,0.0,1.1150000000000009,34782.271963090134,0.0,34782.271963090134,1,36346.798828125,500.0,50.0,0,0.006464607566986865,0.001491912229257702,-1,0.0,0.0,21180.949999999997,19346.559999999998,7978.89,2435.0,2.385,77954.87052862976,7110.07,7110.07,0,31239.7,2435.0,548.58,2435.0
16,Ampara,PF,5.0,52101053101,helped,a,43493.30859375,6.303845835810221,0.0,118301.5624058455,360074.68589479,1.2150000000000007,23462,0,23462.0,2.008754577557463e-05,0.0,1.2150000000000007,36214.70652824323,0.0,36214.70652824323,1,36346.798828125,500.0,50.0,0,0.005814799647956989,0.0007110912240769005,-1,0.0,0.0,20387.449999999997,20981.620000000006,9861.82,1449.0,2.649,131563.53197786017,6856.9,6856.9,0,32214.39,1449.0,585.57,1449.0
17,Ampara,PF,5.0,52101054011,helped,a,43493.30859375,0.9005494051157459,0.0,162408.54769284657,494323.19918575464,1.1150000000000009,41949,0,41949.0,2.008754577557463e-05,0.0,1.1150000000000009,60555.365286560205,0.0,60555.365286560205,1,36346.798828125,500.0,50.0,0,0.004962786066982747,0.003828961374584258,-1,0.0,0.0,36875.71,23017.48,13538.66,10294.0,1.589,33929.5496618434,12378.51,12378.51,0,54387.81,10294.0,838.42,10294.0
18,Ampara,PF,5.0,52101054021,helped,a,43493.30859375,6.303845835810221,0.0,135091.45733174603,411178.120360939,0.8450000000000005,49746,0,49746.0,2.008754577557463e-05,0.0,0.8450000000000005,58379.28351010091,0.0,58379.28351010091,1,36346.798828125,500.0,50.0,0,0.005441467658575149,0.007064484592353581,-1,0.0,0.0,45116.24,21444.12,11261.45,15179.0,1.594,289074.1977235821,15066.13,15066.13,0,53815.13,15179.0,736.04,15179.0
19,Ampara,PF,5.0,52101054031,helped,a,43493.30859375,1.8010988102314913,0.0,193196.42599684992,588032.3217385879,1.0350000000000006,53086,0,53086.0,2.008754577557463e-05,0.0,1.0350000000000006,72385.27146016197,0.0,72385.27146016197,1,36346.798828125,500.0,50.0,0,0.004550199639156126,0.005056330839694994,-1,0.0,0.0,47099.38999999999,24915.339999999997,16105.18,15925.0,1.463,86539.3397219075,15786.07,15786.07,0,65515.83,15925.0,943.0,15925.0
20,Ampara,PF,5.0,52101054051,helped,a,43493.30859375,1.8010988102314913,0.0,223170.11200002785,679263.2856685289,0.6150000000000003,124006,0,124006.0,2.008754577557463e-05,0.0,0.6150000000000003,117005.52529798522,0.0,117005.52529798522,1,36346.798828125,500.0,50.0,0,0.004233621031506153,0.017022680367353753,-1,0.0,0.0,115495.51000000001,26624.399999999998,18603.84,53823.0,1.263,210498.4524130893,38398.06,38398.06,0,110274.49,53823.0,1075.16,53823.0
21,Ampara,PF,5.0,52101054061,helped,a,43493.30859375,6.303845835810221,0.0,106204.43527777871,323254.63751770486,0.8450000000000005,38937,0,38937.0,2.008754577557463e-05,0.0,0.8450000000000005,45694.41084776262,0.0,45694.41084776262,1,36346.798828125,500.0,50.0,0,0.006137035968780391,0.005864679645143026,-1,0.0,0.0,35313.200000000004,19841.39,8853.38,10053.0,1.792,226262.99300786093,11792.5,11792.5,0,42121.96,10053.0,611.33,10053.0
22,Ampara,PF,5.0,52101054071,helped,a,43493.30859375,4.502747025578729,0.0,70674.38896804649,215111.76937100297,1.1150000000000009,16208,0,16208.0,2.008754577557463e-05,0.0,1.1150000000000009,23397.01448341004,0.0,23397.01448341004,1,36346.798828125,500.0,50.0,0,0.007523136893750577,0.0,-1,0.0,0.0,14247.810000000001,18213.329999999998,5891.54,0.0,10.0,65547.47905569519,4782.74,4782.74,0,21014.04,0.0,400.58,0.0
23,Ampara,PF,5.0,52101054081,helped,a,43493.30859375,2.701648215347238,0.0,153146.890545206,466133.4760706766,1.2150000000000007,34868,0,34868.0,2.008754577557463e-05,0.0,1.2150000000000007,53820.40692297268,0.0,53820.40692297268,1,36346.798828125,500.0,50.0,0,0.00511064722740824,0.002505146801693467,-1,0.0,0.0,30298.770000000004,22565.62,12766.59,6458.0,1.745,83795.50977242469,10190.37,10190.37,0,47875.34,6458.0,787.31,6458.0
24,Ampara,PF,5.0,52101054091,helped,a,43493.30859375,1.8010988102314913,0.0,140822.95956858032,428623.10439718893,1.0350000000000006,38962,0,38962.0,2.008754577557463e-05,0.0,1.0350000000000006,53126.52953002356,0.0,53126.52953002356,1,36346.798828125,500.0,50.0,0,0.005329583392031463,0.0038768322722543664,-1,0.0,0.0,34568.18,21852.4,11739.25,9032.0,1.712,63514.794960444124,11586.05,11586.05,0,48084.78,9032.0,743.29,9032.0
25,Ampara,PF,5.0,52101054101,helped,a,43493.30859375,6.303845835810221,0.0,78970.67078033324,240363.1777793352,0.8450000000000005,29860,0,29860.0,2.008754577557463e-05,0.0,0.8450000000000005,35042.12209246197,0.0,35042.12209246197,1,36346.798828125,500.0,50.0,0,0.007117001906923674,0.0046010804123981,-1,0.0,0.0,27080.989999999998,18271.630000000005,6583.13,5957.0,2.097,173516.57159205258,9043.43,9043.43,0,32302.49,5957.0,502.58,5957.0
26,Ampara,PF,5.0,52102059011,helped,a,43493.30859375,2.4314791742801813,0.0,83271.65877734953,253454.1029587509,0.8450000000000005,29901,0,29901.0,2.008754577557463e-05,0.0,0.8450000000000005,35090.23753136991,0.0,35090.23753136991,1,36346.798828125,500.0,50.0,0,0.006930768417372292,0.004355959031946447,-1,0.0,0.0,27118.170000000002,18625.64,6941.66,5965.0,2.097,67019.58992443694,9055.85,9055.85,0,32346.84,5965.0,503.27,5965.0
27,Ampara,PF,5.0,52102059021,helped,a,43493.30859375,1.6209861161867876,1249.999969482422,70735.02741562156,211491.7215641069,0.5350000000000003,43857,0,43857.0,2.008754577557463e-05,0.0,0.493,34438.22858749656,0.0,34438.22858749656,2,36346.798828125,500.0,50.0,0,0.007519911552857939,0.011263401044417915,-1,0.0,0.0,41515.21,18186.209999999995,5896.56,12053.0,2.299,67937.86234939558,13769.92,13769.92,0,34432.26,12053.0,428.06,12053.0
28,Ampara,PF,5.0,52102059031,helped,a,43493.30859375,2.4314791742801813,0.0,71505.1808168458,217640.45206898887,0.9050000000000006,23905,0,23905.0,2.008754577557463e-05,0.0,0.9050000000000006,29487.947977907013,0.0,29487.947977907013,1,36346.798828125,500.0,50.0,0,0.0074793049535837606,0.0027019179772113868,-1,0.0,0.0,21530.34,17958.649999999998,5960.8,3244.0,2.439,53271.44743284669,7198.17,7198.17,0,27025.88,3244.0,453.71,3244.0
29,Ampara,PF,5.0,52102059041,helped,a,43493.30859375,4.0524652904669685,0.0,81725.26410679493,248747.33861899434,1.2150000000000007,16553,0,16553.0,2.008754577557463e-05,0.0,1.2150000000000007,25550.338298610957,0.0,25550.338298610957,1,36346.798828125,500.0,50.0,0,0.006996032676754664,0.0,-1,0.0,0.0,14383.839999999998,18916.299999999996,6812.76,0.0,10.0,59670.68726809249,4837.71,4837.71,0,22728.03,0.0,432.83,0.0
30,Ampara,PF,5.0,52102059051,helped,a,43493.30859375,1.6209861161867876,150.0,100858.70114524908,306527.26298855053,1.1150000000000009,25171,0,25171.0,2.008754577557463e-05,0.0,1.1150000000000009,36335.53208735134,0.0,36335.53208735134,1,36346.798828125,500.0,50.0,0,0.006297574445849966,0.0016946553562622757,-1,0.0,0.0,22126.820000000003,19661.37,8407.75,2907.0,2.265,36646.16805405305,7427.58,7427.58,0,32634.75,2907.0,566.08,2907.0
31,Ampara,PF,5.0,52102059061,helped,a,43493.30859375,3.241972232373575,1249.999969482422,57804.290089805545,172134.41227508624,0.9650000000000006,16627,0,16627.0,2.008754577557463e-05,0.0,0.989,21507.49126168055,0.0,21507.49126168055,2,36346.798828125,500.0,50.0,0,0.008318594598252651,0.0004303036027117134,-1,0.0,0.0,14837.46,17341.749999999996,4818.62,430.0,4.054,49028.05429268466,4968.62,4968.62,0,19925.18,430.0,371.99,430.0
