,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,pcwgt,pcsoc,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Balaka,DR,1.0,312017830013,helped,a,137427.98,5.412463008145969,0.0,235098.89543413674,937566.9499643708,0.0,679558,0,679558.0,6.46346996445509e-05,0.0,1.4715447393747113e-06,170403.05522336558,0.0,170403.05522336558,3,85260.164,1.0,1.0,0,0,0.004124817149556938,0.10940194669262172,-1,0.9826589595375712,0.13487475915221578,679556.979999999,1.2494183465605602e-10,19614.22,0.0,10.0,3678077.124426645,170401.8,170401.8,0,170402.8,170402.8,0.0,0.0
1,Balaka,DR,1.0,312017830046,helped,a,137427.98,9.471810845981004,0.0,50125.77279343285,199899.99453532926,0.0,122192,0,122192.0,6.46346996445509e-05,0.0,8.183841822705251e-06,30641.16306460006,0.0,30641.16306460006,3,85260.164,1.0,1.0,0,0,0.008933043628116519,0.0,-1,0.9826589595375712,0.9826589595375712,122190.97999999979,99367.03999999995,4181.98,0.0,10.0,1157370.039081263,30639.91,30639.91,0,30640.91,0.0,590.38,0.0
2,Balaka,DR,1.0,312017830069,helped,a,137427.98,5.412463008145969,10125.0,153415.87034468606,571439.4544762957,0.0,347670,0,347670.0,6.46346996445509e-05,0.0,2.876290735467541e-06,87181.38381014476,0.0,87181.38381014476,3,85260.164,1.0,1.0,0,0,0.005106165083771954,0.0,-1,0.9826589595375712,0.0,347668.97999999905,52414.9600000003,12798.47,0.0,10.0,1881745.601579096,87180.13,87180.13,0,87181.13,0.0,1679.79,0.0
3,Balaka,DR,1.0,312017830082,helped,a,137427.98,5.412463008145969,525.0,122849.89919837362,487827.824382535,0.0,299489,0,299489.0,6.46346996445509e-05,0.0,3.3390207987605555e-06,75099.17289537711,0.0,75099.17289537711,3,85260.164,1.0,1.0,0,0,0.005706142241165189,0.0,-1,0.9826589595375712,0.9826589595375712,299487.97999999905,61740.369999999886,10249.28,0.0,10.0,1620967.721383615,75097.92,75097.92,0,75098.92,0.0,1446.99,0.0
4,Balaka,DR,1.0,312017830111,helped,a,137427.98,6.7655787601824615,1400.0,68870.87351264239,269071.7070457233,0.0,140161,0,140161.0,6.46346996445509e-05,0.0,7.134652292720514e-06,35147.056634682885,0.0,35147.056634682885,3,85260.164,1.0,1.0,0,0,0.007621004183007751,0.0,-1,0.9826589595375712,0.9826589595375712,140159.98000000053,96501.43999999994,5745.74,0.0,10.0,948263.5190271774,35145.81,35145.81,0,35146.81,0.0,677.2,0.0
5,Balaka,DR,1.0,312017830124,helped,a,137427.98,10.824926016291938,750.0,85286.51908825987,337128.96120453236,0.0,155748,0,155748.0,6.46346996445509e-05,0.0,6.420628194262526e-06,39055.52108470559,0.0,39055.52108470559,3,85260.164,1.0,1.0,0,0,0.006848410760784495,0.0,-1,0.9826589595375712,0.9826589595375712,155746.98000000053,94028.83000000025,7115.36,0.0,10.0,1685949.752259426,39054.27,39054.27,0,39055.27,0.0,752.51,0.0
6,Balaka,DR,1.0,312017830138,helped,a,137427.98,4.059347256109477,500.0,213912.9384290579,851084.0403081636,0.0,554411,0,554411.0,6.46346996445509e-05,0.0,1.8037160157356184e-06,139021.9456735247,0.0,139021.9456735247,3,85260.164,1.0,1.0,0,0,0.004324256719338001,0.0,-1,0.9826589595375712,0.0,554409.979999999,6514.560000000158,17846.64,0.0,10.0,2250542.7122596516,139020.69,139020.69,0,139021.69,0.0,2678.65,0.0
7,Balaka,DR,1.0,312017830151,helped,a,137427.98,13.531157520364923,0.0,75202.76227739663,299906.23446832487,0.0,174780,0,174780.0,6.46346996445509e-05,0.0,5.721478430026319e-06,43827.8274554046,0.0,43827.8274554046,3,85260.164,1.0,1.0,0,0,0.007293115629260034,0.0,-1,0.9826589595375712,0.9826589595375712,174778.98000000053,88498.87999999977,6274.15,0.0,10.0,2364962.180251868,43826.58,43826.58,0,43827.58,0.0,844.46,0.0
8,Balaka,DR,1.0,312017830166,helped,a,137427.98,6.7655787601824615,200.0,112374.41149305638,447348.0007537697,0.0,236795,0,236795.0,6.46346996445509e-05,0.0,4.223062142359424e-06,59378.36506853566,0.0,59378.36506853566,3,85260.164,1.0,1.0,0,0,0.005966179018871257,0.0,-1,0.9826589595375712,0.9826589595375712,236793.98000000053,76315.57000000018,9375.34,0.0,10.0,1602048.4569386493,59377.11,59377.11,0,59378.11,0.0,1144.09,0.0
9,Balaka,DR,1.0,312017830179,helped,a,137427.98,9.471810845981004,2857.142857142857,84680.9543101701,326310.76979948056,0.0,202567,0,202567.0,6.46346996445509e-05,0.0,4.936638248085818e-06,50795.720414010764,0.0,50795.720414010764,3,85260.164,1.0,1.0,0,0,0.006872854087809406,0.0,-1,0.9826589595375712,0.9826589595375712,202565.98000000053,82441.65999999995,7064.63,0.0,10.0,1918666.835826993,50794.47,50794.47,0,50795.47,0.0,978.72,0.0
10,Balaka,DR,1.0,312017830193,helped,a,137427.98,4.059347256109477,8000.0,195141.50588369393,746314.4007271171,0.0,325842,0,325842.0,6.46346996445509e-05,0.0,0.0,81706.78273697877,0.0,81706.78273697877,1,85260.164,1.0,1.0,0,0,0.004527465708756625,0.036361226845541404,-1,0.9826589595375712,0.0,325842.0,75182.36999999998,16279.82,14156.142000000002,10.0,1322705.8286252243,81706.78,81706.78,0,81706.78,14156.142000000002,1301.55,14156.142000000002
11,Balaka,DR,1.0,312017830206,helped,a,137427.98,6.7655787601824615,640.0,61899.65401942542,244301.5603728285,0.0,149156,0,149156.0,6.46346996445509e-05,0.0,6.7043900345946525e-06,37402.5419724336,0.0,37402.5419724336,3,85260.164,1.0,1.0,0,0,0.008038701176157645,0.0,-1,0.9826589595375712,0.9826589595375712,149154.98000000053,93704.20999999986,5164.2,0.0,10.0,1009119.8999750186,37401.29,37401.29,0,37402.29,0.0,720.66,0.0
12,Balaka,DR,1.0,312017830233,helped,a,137427.98,5.412463008145969,6750.0,134910.5003599136,511100.0168230532,0.0,340187,0,340187.0,6.46346996445509e-05,0.0,2.9395597127462248e-06,85304.77163014142,0.0,85304.77163014142,3,85260.164,1.0,1.0,0,0,0.005445115786558913,0.0,-1,0.9826589595375712,0.9826589595375712,340185.97999999905,52716.799999999916,11254.89,0.0,10.0,1841244.1408891396,85303.52,85303.52,0,85304.52,0.0,1643.63,0.0
13,Balaka,DR,1.0,312017830247,helped,a,137427.98,8.118694512218955,4733.333333333333,95944.57781228164,363747.55613585276,0.0,216124,0,216124.0,6.46346996445509e-05,0.0,4.626973404156873e-06,54195.31702067519,0.0,54195.31702067519,3,85260.164,1.0,1.0,0,0,0.006456836325231529,0.0,-1,0.9826589595375712,0.9826589595375712,216122.98000000053,80039.69999999997,8004.17,0.0,10.0,1754636.6140643014,54194.07,54194.07,0,54195.07,0.0,1044.22,0.0
14,Balaka,DR,1.0,312017830260,helped,a,137427.98,5.412463008145969,0.0,113023.36308546769,450733.5928017764,0.0,253461,0,253461.0,6.46346996445509e-05,0.0,3.9453801571050375e-06,63557.42243777494,0.0,63557.42243777494,3,85260.164,1.0,1.0,0,0,0.005949026215456152,0.0,-1,0.9826589595375712,0.9826589595375712,253459.98000000053,72263.12999999999,9429.5,0.0,10.0,1371842.87404468,63556.17,63556.17,0,63557.17,0.0,1224.61,0.0
15,Balaka,DR,1.0,312017830287,helped,a,137427.98,8.118694512218955,2666.6666666666665,264805.57672451326,1045401.672674045,0.0,731242,0,731242.0,6.46346996445509e-05,0.0,1.3675363286025694e-06,183363.21013365398,0.0,183363.21013365398,3,85260.164,1.0,1.0,0,0,0.003886569446053606,0.1323556726869892,-1,0.9826589595375712,0.17341040462427745,731240.979999999,4.229150363244116e-11,22092.39,0.0,10.0,5936722.293809493,183361.96,183361.96,0,183362.96,183362.96,0.0,0.0
16,Balaka,DR,1.0,312017840008,helped,a,137427.98,11.17206376195162,4500.0,68805.611392376,256448.74333738594,0.0,150173,0,150173.0,6.46346996445509e-05,0.0,6.658986635413823e-06,37657.80853314683,0.0,37657.80853314683,3,85260.164,1.0,1.0,0,0,0.007624617587497635,0.0,-1,0.9826589595375712,0.9826589595375712,150171.98000000053,94028.84999999992,5740.0,0.0,10.0,1677731.1592598045,37656.56,37656.56,0,37657.56,0.0,725.58,0.0
17,Balaka,DR,1.0,312017840010,helped,a,137427.98,9.310052165417087,4000.0,99042.75698895071,379027.50648313697,0.0,232091,0,232091.0,6.46346996445509e-05,0.0,4.308654794886489e-06,58199.06269867783,0.0,58199.06269867783,3,85260.164,1.0,1.0,0,0,0.006355045073456291,0.0,-1,0.9826589595375712,0.9826589595375712,232089.98000000053,76363.3900000002,8262.72,0.0,10.0,2160770.0070716566,58197.81,58197.81,0,58198.81,0.0,1121.36,0.0
18,Balaka,DR,1.0,312017840023,helped,a,137427.98,3.724020866166835,0.0,159977.19674529196,637983.9945200983,0.0,320401,0,320401.0,6.46346996445509e-05,0.0,3.1210888854903697e-06,80342.91179505142,0.0,80342.91179505142,3,85260.164,1.0,1.0,0,0,0.005000356338944426,0.0,-1,0.9826589595375712,0.0,320399.97999999905,59681.53000000006,13346.85,0.0,10.0,1193176.2855198504,80341.66,80341.66,0,80342.66,0.0,1548.03,0.0
19,Balaka,DR,1.0,312017840039,helped,a,137427.98,5.58603188097581,3333.333333333333,144895.968558238,564547.3063400745,0.0,357335,0,357335.0,6.46346996445509e-05,0.0,2.798494410007416e-06,89604.48463809266,0.0,89604.48463809266,3,85260.164,1.0,1.0,0,0,0.005254142466427323,0.0,-1,0.9826589595375712,0.0,357333.97999999905,49323.8100000001,12088.3,0.0,10.0,1996079.1161566048,89603.23,89603.23,0,89604.23,0.0,1726.48,0.0
20,Balaka,DR,1.0,312017840054,helped,a,137427.98,7.44804173233367,0.0,108527.60809894963,432804.66428548866,0.0,266526,0,266526.0,6.46346996445509e-05,0.0,3.7519791690116534e-06,66833.52668714478,0.0,66833.52668714478,3,85260.164,1.0,1.0,0,0,0.006070995066305478,0.0,-1,0.9826589595375712,0.9826589595375712,266524.97999999905,68669.20000000008,9054.43,0.0,10.0,1985089.3227102244,66832.28,66832.28,0,66833.28,0.0,1287.73,0.0
21,Balaka,DR,1.0,312017840069,helped,a,137427.98,3.724020866166835,6850.0,129592.74476819354,489494.1802654579,0.0,300550,0,300550.0,6.46346996445509e-05,0.0,3.3272334054233903e-06,75365.63196792714,0.0,75365.63196792714,3,85260.164,1.0,1.0,0,0,0.00555571106688188,0.0,-1,0.9826589595375712,0.9826589595375712,300548.97999999905,62040.39999999978,10811.23,0.0,10.0,1119250.7473055727,75364.38,75364.38,0,75365.38,0.0,1452.13,0.0
