,region,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,pcexp,pcsoc,c,pov_line,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,ARMM,EQ,1,153829114,helped,a,0.9321750945914897,202556.04127608586,822.4791037502216,243302.09000000003,22302.6775,760591.1790441405,0.5850000000000003,131692,15056,146748.0,1.7262187634817956e-06,4799.915016424437,0.5850000000000003,119023.77670748683,4799.915016424437,123823.69172391127,1,15573.959716184301,500.0,50.0,0,0.004054684583948997,0.30985262895886395,-1,0.0,0.0,24009.33,2.3999999999968904,30381.34,0.0,1.151,23417.680603377317,8008.85,7741.04,267.81,22213.52,22087.4,0.03,63150.0
1,ARMM,EQ,1,153893114,helped,a,0.7508978320116265,64055.99846989873,0.0,98041.71899999998,22302.6775,307529.6367150249,0.6150000000000003,48523,5547,54070.0,1.7262187634817956e-06,1768.4065220580737,0.6150000000000003,45310.977913254734,1768.4065220580737,47079.38443531281,1,15573.959716184301,500.0,50.0,0,0.006387406222212574,0.1592756186085919,-1,0.0,0.0,8107.030000000003,0.8799999999893509,30381.1,0.0,2.254,6392.519155241451,2714.03,2615.36,98.67,7759.29,7713.1,0.01,11770.0
2,ARMM,EQ,1,156627419,helped,a,1.6307460002526792,54179.25679093233,0.0,116599.21000000004,22302.6775,365739.33074917743,0.8450000000000005,37955,4339,42294.0,1.7262187634817956e-06,1383.2911301983022,0.8450000000000005,44172.1858427464,1383.2911301983022,45555.47697294471,1,15573.959716184301,500.0,50.0,0,0.005857093968392719,0.07325701447190587,-1,0.0,0.0,3247.6200000000126,0.6099999999998689,30381.14,0.0,2.245,5777.776632488899,1129.53,1052.35,77.18,3918.82,3886.64,0.01,6833.0
3,ARMM,EQ,1,156642019,helped,a,0.6883468451265947,17723.054010602886,0.0,21066.311000000005,22302.6775,66079.16542911426,0.3150000000000001,20604,2355,22959.0,1.7262187634817956e-06,750.7837316471541,0.026,7068.640342614846,750.7837316471541,7819.424074262,3,15573.959716184301,500.0,50.0,0,0.013779572685382052,0.0,-1,2.90944123314066,2.90944123314066,19148.950000000004,9771.509999999991,30380.97,0.0,10.0,13278.175137946433,6149.71,6107.82,41.89,6647.83,0.0,128.06,0.0
4,ARMM,EQ,1,157025015,helped,a,2.6958153950128607,13719.49946384411,1370.7984756648525,26179.943,22302.6775,77819.3944434954,0.6150000000000003,12835,1467,14302.0,1.7262187634817956e-06,467.68566213434184,0.619,10188.297621681355,467.68566213434184,10655.983283815696,2,15573.959716184301,500.0,50.0,0,0.012360773468492348,0.0,-1,0.28901734104046245,0.0,2170.0300000000047,13631.13999999999,30380.98,0.0,10.0,6140.857222521095,726.21,700.12,26.09,2085.58,0.0,39.95,0.0
5,ARMM,EQ,1,157260118,helped,a,2.327404413220095,15971.575618886436,0.0,23040.299000000003,22302.6775,72271.01741530617,0.4050000000000002,18402,2104,20506.0,1.7262187634817956e-06,670.7638944312578,0.311,6845.575389384442,670.7638944312578,7516.3392838157,2,15573.959716184301,500.0,50.0,0,0.013176071421869688,0.0,-1,2.90944123314066,0.0,11810.500000000007,8544.589999999987,30380.98,0.0,10.0,27926.231715078102,3825.29,3787.86,37.43,7520.43,0.0,144.47,0.0
6,ARMM,EQ,1,157260240,helped,a,2.327404413220095,14777.319904494298,0.0,18463.852,22302.6775,57915.97450387407,0.3050000000000001,18664,2134,20798.0,1.7262187634817956e-06,680.3280184012854,0.029,6450.160325886405,680.3280184012854,7130.488344287691,3,15573.959716184301,500.0,50.0,0,0.014718679224862096,0.0,-1,2.90944123314066,2.90944123314066,17209.420000000006,11638.900000000003,30380.97,0.0,10.0,40352.7881762287,5527.46,5489.5,37.96,6026.81,0.0,116.09,0.0
7,ARMM,EQ,1,157260362,helped,a,1.3690614467821567,18888.916513407694,0.0,25606.15,22302.6775,80319.37921417347,0.3250000000000001,24361,2785,27146.0,1.7262187634817956e-06,887.8695085508808,0.328,9194.32077526482,887.8695085508808,10082.1902838157,2,15573.959716184301,500.0,50.0,0,0.012498498805629704,0.0,-1,2.90944123314066,0.0,15019.440000000013,1105.4200000000033,30380.98,0.0,10.0,20905.63741471011,4868.16,4818.62,49.54,9825.77,0.0,188.72,0.0
8,ARMM,EQ,1,157260484,helped,a,1.6428736435194449,17636.373318933318,0.0,25441.725000000002,22302.6775,79803.62366610044,0.2350000000000001,30788,3520,34308.0,1.7262187634817956e-06,1122.190545816553,0.011,10315.341626306828,1122.190545816553,11437.532172123381,3,15573.959716184301,500.0,50.0,0,0.012538821464144603,0.0,-1,2.90944123314066,0.0,29837.249999999978,320.0800000000022,30380.98,0.0,10.0,49351.875272319725,9576.86,9514.25,62.61,9905.14,0.0,190.83,0.0
9,ARMM,EQ,1,157640114,helped,a,0.9223149902431247,25157.71522539576,0.0,32336.271000000004,22302.6775,101429.89917739607,0.7950000000000005,11536,1319,12855.0,1.7262187634817956e-06,420.50265054887313,0.7950000000000005,12848.844470607892,420.50265054887313,13269.347121156765,1,15573.959716184301,500.0,50.0,0,0.011122054727009103,0.0,-1,0.0,0.0,1141.639999999997,15419.450000000004,30381.0,0.0,10.0,1137.07997826226,393.04,369.58,23.46,1314.65,0.0,25.14,0.0
