,district,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5.0,521411,helped,a,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,96075.86350575878,298482.23822773044,1.0350000000000006,26491,0,26491.0,1.9049443693893946e-05,0.0,1.0350000000000006,35945.14363996173,0.0,35945.14363996173,1,45477.532103761216,500.0,50.0,0,0.006452423250034839,0.008102290501755057,-1,0.0,0.0,23976.98,6095.610000000001,8006.75,14378.0,0.885,130385.87839196148,7873.2,7873.2,0,33189.23,14378.0,356.12,14378.0
1,Ampara,PF,5.0,521421,helped,a,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75242.7396226009,233759.24517809914,0.9650000000000006,22473,0,22473.0,1.9049443693893946e-05,0.0,0.9650000000000006,28920.08440643464,0.0,28920.08440643464,1,45477.532103761216,500.0,50.0,0,0.007291177913142125,0.0017042683526418386,-1,0.0,0.0,20477.92,17880.15,6270.57,2603.0,2.495,139010.08136694966,6715.17,6715.17,0,26847.23,2603.0,462.35,2603.0
2,Ampara,PF,5.0,521431,helped,a,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,106153.01613378567,329789.2799926544,0.9050000000000006,36981,0,36981.0,1.9049443693893946e-05,0.0,0.9050000000000006,45371.29892112131,0.0,45371.29892112131,1,45477.532103761216,500.0,50.0,0,0.006138522139138441,0.011100549346060274,-1,0.0,0.0,33893.31,6670.87,8846.56,20871.0,0.858,183849.41219372072,11101.53,11101.53,0,42314.53,20871.0,406.1,20871.0
3,Ampara,PF,5.0,521441,helped,a,1.3326477057779957,0.0,0.0,0.0,0.0,52153.133146515145,114097.59696869811,354470.98654056026,1.2150000000000007,25613,0,25613.0,1.9049443693893946e-05,0.0,1.2150000000000007,39364.141821386125,0.0,39364.141821386125,1,45477.532103761216,500.0,50.0,0,0.005920954814369124,0.0059783513533068966,-1,0.0,0.0,22783.76,7180.809999999998,9508.64,12990.0,0.912,31081.915480373675,7507.38,7507.38,0,35845.35,12990.0,432.35,12990.0
4,Ampara,PF,5.0,521451,helped,a,1.3326477057779957,0.0,0.0,0.0,0.0,52153.133146515145,115579.38394231752,359074.5058462817,0.6750000000000004,58997,0,58997.0,1.9049443693893946e-05,0.0,0.6750000000000004,58813.00855410599,0.0,58813.00855410599,1,45477.532103761216,500.0,50.0,0,0.005882877539578337,0.017521852558359453,-1,0.0,0.0,55282.57999999999,7318.85,9632.14,32935.0,0.859,74636.62722468298,18027.37,18027.37,0,55831.6,32935.0,434.2,32935.0
5,Ampara,PF,5.0,521471,helped,a,7.995886234667974,0.0,720.0,720.0,2.7877594928468792e-08,52153.133146515145,49717.95779459116,152220.96471851468,1.1150000000000009,11880,0,11880.0,1.9049443693893946e-05,0.0,0.04,4290.425690829945,0.0,4290.425690829945,2,45477.532103761216,500.0,50.0,0,0.008969605760501797,0.0,-1,0.09633911368015413,0.09633911368015413,11834.54,17749.679999999997,4143.38,0.0,10.0,94700.55796208771,3812.27,3812.27,0,4286.02,0.0,82.55,0.0
6,Ampara,PF,5.0,521481,helped,a,5.330590823111983,0.0,1050.0,1050.0,4.065482593735031e-08,52153.133146515145,115980.86811557523,357055.80042100244,0.7550000000000004,49825,0,49825.0,1.9049443693893946e-05,0.0,0.7550000000000004,53655.63418751024,0.0,53655.63418751024,1,45477.532103761216,500.0,50.0,0,0.005872686506321973,0.014155208732620411,-1,0.0,0.0,46329.590000000004,7367.42,9665.59,27901.0,0.866,250582.9720964432,15131.17,15131.17,0,50622.57,27901.0,430.73,27901.0
7,Ampara,PF,5.0,522211,helped,a,6.195368639664273,0.0,75.0,0.0,0.0,52153.133146515145,284422.00113435223,883390.4708798284,1.1150000000000009,74270,0,74270.0,1.9049443693893946e-05,0.0,1.1150000000000009,106717.17881749503,0.0,106717.17881749503,1,45477.532103761216,500.0,50.0,0,0.0037501479504966095,0.007672222090240835,-1,0.0,0.0,66705.61,17860.57,23703.11,40553.0,0.868,422240.3313877204,21937.56,21937.56,0,97929.48,40553.0,1085.4,40553.0
8,Ampara,PF,5.0,522221,helped,a,6.195368639664273,1.0,10000.0,0.0,0.0,52153.133146515145,129672.37951033609,371752.8468531203,0.7950000000000005,48359,0,48359.0,1.9049443693893946e-05,0.0,0.7950000000000005,54011.46774245206,0.0,54011.46774245206,1,45477.532103761216,500.0,50.0,0,0.005554004860953645,0.011602916296872042,-1,0.0,0.0,44793.479999999996,8346.6,10806.57,26466.0,0.897,281795.78499195183,14640.93,14640.93,0,50801.43,26466.0,461.43,26466.0
9,Ampara,PF,5.0,522231,helped,a,7.744210799580341,0.0,94080.0,2880.0,1.1151037971387515e-07,52153.133146515145,100713.4562502218,20255.484945174856,1.1150000000000009,1694,0,1694.0,1.9049443693893946e-05,0.0,1.1150000000000009,2435.9859540096477,0.0,2435.9859540096477,1,45477.532103761216,500.0,50.0,0,0.006302113864059151,0.0,-1,0.0,0.0,1521.46,8170.2699999999995,8392.82,0.0,10.0,12038.37568794764,502.16,502.16,0,2235.43,0.0,42.61,0.0
10,Ampara,PF,5.0,522241,helped,a,7.744210799580341,0.0,0.0,0.0,0.0,52153.133146515145,94882.42426754633,294774.5388950141,1.1150000000000009,24415,0,24415.0,1.9049443693893946e-05,0.0,1.1150000000000009,35081.45797326133,0.0,35081.45797326133,1,45477.532103761216,500.0,50.0,0,0.006492876008407336,0.007546734659502496,-1,0.0,0.0,21928.329999999998,5986.65,7907.3,13331.0,0.868,173505.40318552175,7211.6,7211.6,0,32192.65,13331.0,356.81,13331.0
11,Ampara,PF,5.0,522251,helped,a,4.646526479748205,0.0,120000.0,0.0,0.0,52153.133146515145,131010.66008786157,33757.067917946515,1.0350000000000006,3080,0,3080.0,1.9049443693893946e-05,0.0,1.0350000000000006,4181.629432476817,0.0,4181.629432476817,1,45477.532103761216,500.0,50.0,0,0.005525564823893344,0.0,-1,0.0,0.0,2787.7099999999996,10534.14,10917.61,0.0,10.0,13214.07079469673,917.67,917.67,0,3861.07,0.0,73.66,0.0
12,Ampara,PF,5.0,522261,helped,a,10.841895119412476,0.0,0.0,0.0,0.0,52153.133146515145,111383.75275658847,346039.79201288056,0.9650000000000006,35061,0,35061.0,1.9049443693893946e-05,0.0,0.9650000000000006,45119.346743826136,0.0,45119.346743826136,1,45477.532103761216,500.0,50.0,0,0.005992652195204157,0.009896921058372758,-1,0.0,0.0,31948.409999999996,7043.7699999999995,9282.48,19853.0,0.851,352882.0023466372,10476.59,10476.59,0,41885.41,19853.0,417.06,19853.0
13,Ampara,PF,5.0,522271,helped,a,3.0976843198321364,0.0,0.0,0.0,0.0,52153.133146515145,603014.2101218522,1873405.291949407,0.8450000000000005,219416,0,219416.0,1.9049443693893946e-05,0.0,0.8450000000000005,256032.436611145,0.0,256032.436611145,1,45477.532103761216,500.0,50.0,0,0.0025755276840664504,0.011582909331060789,-1,0.0,0.0,202261.8,38402.22,50253.89,122896.0,0.869,636827.6422102391,66172.96,66172.96,0,239889.61,122896.0,2216.79,122896.0
14,Ampara,PF,5.0,522281,helped,a,7.744210799580341,0.0,0.0,0.0,0.0,52153.133146515145,88070.20901855528,273610.79203276447,0.7950000000000005,35730,0,35730.0,1.9049443693893946e-05,0.0,0.7950000000000005,39906.17036185242,0.0,39906.17036185242,1,45477.532103761216,500.0,50.0,0,0.0067393107493158464,0.013474471503488017,-1,0.0,0.0,33095.630000000005,5598.869999999999,7339.58,20352.0,0.847,260255.7427939888,10817.3,10817.3,0,37534.46,20352.0,325.56,20352.0
15,Ampara,PF,5.0,522291,helped,a,3.0976843198321364,0.0,7500.0,7500.0,2.903916138382166e-07,52153.133146515145,86404.19988064798,245106.2981694993,1.0350000000000006,22519,0,22519.0,1.9049443693893946e-05,0.0,1.0350000000000006,30555.763129311446,0.0,30555.763129311446,1,45477.532103761216,500.0,50.0,0,0.006803972806767725,0.007180162074847535,-1,0.0,0.0,20381.92,5517.240000000001,7200.7,11611.0,0.935,64408.477312736904,6692.85,6692.85,0,28213.05,11611.0,314.5,11611.0
16,Ampara,PF,5.0,522311,helped,a,6.862163885846625,0.5813953488372093,21500.0,9000.0,3.484699366058599e-07,52153.133146515145,79292.62361468919,179465.71174474113,0.7950000000000005,23161,0,23161.0,1.9049443693893946e-05,0.0,0.7950000000000005,25868.525022535527,0.0,25868.525022535527,1,45477.532103761216,500.0,50.0,0,0.0071025385845269635,0.007533349001503843,-1,0.0,0.0,21453.35,5280.19,6607.98,11123.0,1.062,149488.80917122582,7012.43,7012.43,0,24331.11,11123.0,250.92,11123.0
17,Ampara,PF,5.0,522321,helped,a,5.146622914384968,0.0,10000.0,2000.0,7.743776369019108e-08,52153.133146515145,86096.49546855854,236374.1270900428,1.0350000000000006,20101,0,20101.0,1.9049443693893946e-05,0.0,1.0350000000000006,27274.87477057337,0.0,27274.87477057337,1,45477.532103761216,500.0,50.0,0,0.006816120485721976,0.00580769960429451,-1,0.0,0.0,18193.390000000003,5593.469999999999,7175.05,9546.0,1.014,95520.54929754787,5974.26,5974.26,0,25183.7,9546.0,296.5,9546.0
18,Ampara,PF,5.0,522331,helped,a,3.4310819429233126,0.9176332403464984,81732.0,6000.0,2.3231329107057327e-07,52153.133146515145,163859.607889532,254842.1194038969,0.8450000000000005,30183,0,30183.0,1.9049443693893946e-05,0.0,0.8450000000000005,35221.637964958194,0.0,35221.637964958194,1,45477.532103761216,500.0,50.0,0,0.004940763204850552,0.0032521217247751645,-1,0.0,0.0,27823.260000000002,11414.109999999999,13655.34,10566.0,1.425,97030.894413413,9104.35,9104.35,0,33000.92,10566.0,427.12,10566.0
19,Ampara,PF,5.0,522351,helped,a,8.577704857308284,0.8274309922552461,24171.2,1800.0,6.969398732117198e-08,52153.133146515145,77842.67503685429,166652.3756447483,0.6750000000000004,26391,0,26391.0,1.9049443693893946e-05,0.0,0.6750000000000004,26309.185959128667,0.0,26309.185959128667,1,45477.532103761216,500.0,50.0,0,0.0071683816546623084,0.0028819535579612757,-1,0.0,0.0,24729.430000000004,18483.55,6487.13,4473.0,2.625,214898.61222292163,8064.61,8064.61,0,24975.49,4473.0,391.92,4473.0
