,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,ethnicity,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5,521411,helped,a,2,2.0,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,1.0350000000000006,27868,0,27868.0,3.5513017078299155e-07,0.0,1.0350000000000006,37802.73311703022,0.0,37802.73311703022,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.14706267176282112,-1,0.0,0.0,3.4699999999983966,0.09000000000119007,7997.09,0.0,0.861,18.87029151380787,1.14,1.14,0,4.8,4.8,0.0,15499.0
1,Ampara,PF,10,521411,helped,a,2,2.0,6.480996107587006,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,0.7150000000000004,43289,0,43289.0,4.31272698699118e-07,0.0,0.7150000000000004,44868.72402982348,0.0,44868.72402982348,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.2876828318467289,-1,0.0,0.0,86.71000000000063,0.09999999999917013,7997.19,0.0,0.888,569.7443678179778,28.26,28.26,0,91.12,91.12,0.0,23780.0
2,Ampara,PF,25,521411,helped,a,2,2.0,7.559263766962934,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,0.6750000000000004,48576,0,48576.0,4.376776262442786e-07,0.0,0.6750000000000004,48405.61990142312,0.0,48405.61990142312,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.34011747094379763,-1,0.0,0.0,137.72999999999894,0.09999999999992308,7997.27,0.0,0.859,1054.7440734043303,44.86,44.86,0,139.04,139.04,0.0,27107.0
3,Ampara,PF,50,521411,helped,a,2,2.0,8.021197682071167,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,0.7550000000000004,43256,0,43256.0,5.501359293079845e-07,0.0,0.7550000000000004,46564.759777173065,0.0,46564.759777173065,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.2856718206153575,-1,0.0,0.0,61.18000000000823,0.09000000000013958,7997.3,0.0,0.841,497.955952103044,19.96,19.96,0,66.83,66.83,0.0,24679.0
4,Ampara,PF,100,521411,helped,a,2,2.0,8.61601669604615,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,1.1150000000000009,24295,0,24295.0,5.224134885767901e-07,0.0,1.1150000000000009,34899.58539824348,0.0,34899.58539824348,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.11869470109024308,-1,0.0,0.0,1.510000000012985,0.09000000000046376,7997.34,0.0,0.892,13.268665712022951,0.5,0.5,0,2.22,2.22,0.0,12913.0
5,Ampara,PF,250,521411,helped,a,2,2.0,9.196914413949381,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,1.0350000000000006,25789,0,25789.0,6.57633025499361e-07,0.0,1.0350000000000006,34982.58520005355,0.0,34982.58520005355,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.13118980587797102,-1,0.0,0.0,3.19999999999475,0.09000000000074398,7997.38,0.0,0.91,29.9819409894267,1.05,1.05,0,4.42,4.42,0.0,13643.0
6,Ampara,PF,500,521411,helped,a,2,2.0,10.304290237838977,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,0.6750000000000004,48508,0,48508.0,7.753356011399262e-07,0.0,0.6750000000000004,48337.85841111316,0.0,48337.85841111316,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.3394504623645282,-1,0.0,0.0,137.52000000000828,0.099999999999461,7997.49,0.0,0.859,1435.5937159358118,44.79,44.79,0,138.83,138.83,0.0,27069.0
7,Ampara,PF,1000,521411,helped,a,2,2.0,10.940873140029225,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,0.7550000000000004,40498,0,40498.0,8.338383399792486e-07,0.0,0.7550000000000004,43595.79344960132,0.0,43595.79344960132,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.2604793904750408,-1,0.0,0.0,57.310000000030854,0.0900000000011732,7997.53,0.0,0.866,636.2117730930371,18.69,18.69,0,62.59,62.59,0.0,22670.0
8,Ampara,PF,5,521421,helped,a,2,2.0,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,0.7550000000000004,32860,0,32860.0,3.5513017078299155e-07,0.0,0.757,29675.31309219934,0.0,29675.31309219934,2,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.15789604686588923,-1,0.0,0.0,46.969999999998024,0.09999999999759716,6263.0,0.0,2.384,317.5699482868832,15.32,15.32,0,51.4,51.4,0.0,7419.0
9,Ampara,PF,10,521421,helped,a,2,2.0,8.101245134483758,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,1.0350000000000006,20058,0,20058.0,4.31272698699118e-07,0.0,1.0350000000000006,27208.526656430033,0.0,27208.526656430033,1,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.029631970582845956,-1,0.0,0.0,2.499999999997768,0.09000000000049418,6263.08,0.0,2.894,20.6581750929155,0.82,0.82,0,3.46,3.46,0.0,1360.0
