,district,hazard,rp,hhid,helped_cat,affected_cat,pov_line,pcwgt,pcsoc,c,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5.0,52101051011,helped,a,43493.30859375,5.065581348701985,0.0,42252.664021083285,1.2150000000000007,8820,0,8820.0,2.077849307181373e-05,0.0,0.35,5905.865192958284,0.0,5905.865192958284,2,36346.798828125,0,0.009729778363522642,0.0,-1,0.057803468208092484,0.057803468208092484,8645.69,18191.480000000003,3521.06,0.0,-2.995,44091.782519558335,2859.74,2859.74,0,5906.21,0.0,113.42,0.0
1,Ampara,PF,5.0,52101051021,helped,a,43493.30859375,7.09181388818278,0.0,93914.6057375128,0.7550000000000004,39546,0,39546.0,2.077849307181373e-05,0.0,0.7550000000000004,42849.96114763902,0.0,42849.96114763902,1,36346.798828125,0,0.006526245786778747,0.00856890825540087,-1,0.0,0.0,37857.27,6715.91,7826.22,22720.0,0.852,272410.82599101576,12620.16,12620.16,0,41621.23,22720.0,358.38,22720.0
2,Ampara,PF,5.0,52101051041,helped,a,43493.30859375,3.0393488092211913,0.0,189890.06322699293,0.8450000000000005,68845,0,68845.0,2.077849307181373e-05,0.0,0.8450000000000005,80792.8632101656,0.0,80792.8632101656,1,36346.798828125,0,0.004589642686662065,0.007146450908854067,-1,0.0,0.0,65563.14,13552.58,15824.17,39553.0,0.855,202540.16828279803,21894.17,21894.17,0,78204.4,39553.0,732.53,39553.0
3,Ampara,PF,5.0,52101051051,helped,a,43493.30859375,4.052465078961589,0.0,185510.68880117586,0.8450000000000005,68896,0,68896.0,2.077849307181373e-05,0.0,0.8450000000000005,80852.7141219779,0.0,80852.7141219779,1,36346.798828125,0,0.004643500821149795,0.007459311805781353,-1,0.0,0.0,65611.70999999999,13212.869999999999,15459.22,40048.0,0.841,270253.6279113457,21910.39,21910.39,0,78262.34,40048.0,724.1,40048.0
4,Ampara,PF,5.0,52101051061,helped,a,43493.30859375,6.078697618442383,0.0,119899.00962193315,1.1150000000000009,28984,0,28984.0,2.077849307181373e-05,0.0,1.1150000000000009,41839.774666038786,0.0,41839.774666038786,1,36346.798828125,0,0.005775933677332382,0.004185478473111912,-1,0.0,0.0,27174.879999999997,8555.28,9991.58,15672.0,0.886,168775.10016302892,9122.12,9122.12,0,40080.11,15672.0,462.05,15672.0
5,Ampara,PF,5.0,52101051081,helped,a,43493.30859375,7.09181388818278,0.0,111920.58600889785,1.2150000000000007,22178,0,22178.0,2.077849307181373e-05,0.0,1.2150000000000007,34232.791807321555,0.0,34232.791807321555,1,36346.798828125,0,0.005978262876591124,0.0029555758586028687,-1,0.0,0.0,20673.850000000002,8031.039999999998,9326.72,10643.0,0.967,150087.8868951118,6953.22,6953.22,0,32666.92,10643.0,417.04,10643.0
6,Ampara,PF,5.0,52101051091,helped,a,43493.30859375,6.078697618442383,0.0,93183.89750288203,0.8450000000000005,35114,0,35114.0,2.077849307181373e-05,0.0,0.8450000000000005,41207.939556420286,0.0,41207.939556420286,1,36346.798828125,0,0.006551783832808398,0.0076975594456909074,-1,0.0,0.0,33440.1,6634.119999999999,7765.32,20648.0,0.827,206608.91414021433,11167.0,11167.0,0,39887.71,20648.0,364.48,20648.0
7,Ampara,PF,5.0,52101051101,helped,a,43493.30859375,5.065581348701985,0.0,107344.88809052586,1.1150000000000009,27195,0,27195.0,2.077849307181373e-05,0.0,1.1150000000000009,39257.2685634462,0.0,39257.2685634462,1,36346.798828125,0,0.0061043483897546946,0.0045335187179670455,-1,0.0,0.0,25497.54,7618.999999999999,8945.41,15072.0,0.864,131964.7261103726,8559.07,8559.07,0,37606.21,15072.0,426.46,15072.0
8,Ampara,PF,5.0,52101053011,helped,a,43493.30859375,1.8010988102314913,22499.999450683594,205349.94354133014,0.6750000000000004,88838,0,88838.0,2.077849307181373e-05,0.0,0.6750000000000004,89153.61551834243,0.0,89153.61551834243,1,36346.798828125,0,0.004413495638762264,0.008348542575940247,-1,0.0,0.0,85438.53000000001,14869.8,17112.5,48638.0,0.912,155897.673695231,28438.53,28438.53,0,86864.49,48638.0,725.7,48638.0
9,Ampara,PF,5.0,52101053021,helped,a,43493.30859375,3.6021976204629826,0.0,173356.1517292169,0.9650000000000006,51646,0,51646.0,2.077849307181373e-05,0.0,0.9650000000000006,66806.54336193207,0.0,66806.54336193207,1,36346.798828125,0,0.004803528445287456,0.005524090484819324,-1,0.0,0.0,48844.05,12365.230000000001,14446.35,28974.0,0.873,179247.94717652476,16348.75,16348.75,0,64367.84,28974.0,670.5,28974.0
