,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,ethnicity,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5,521411,helped,a,2,2.0,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,1.0350000000000006,27868,0,27868.0,4.6650499013816605e-07,0.0,1.0350000000000006,37802.73311703022,0.0,37802.73311703022,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.06531807153793907,-1,0.0,0.0,25.449999999998393,0.09000000001074598,7997.5,0.0,2.049,138.38213776797852,8.35,8.35,0,35.22,35.22,0.0,4536.0
1,Ampara,PF,10,521411,helped,a,2,2.0,6.480996107587006,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,0.7150000000000004,43289,0,43289.0,5.749508230308281e-07,0.0,0.7150000000000004,44868.72402982348,0.0,44868.72402982348,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.1890387827694743,-1,0.0,0.0,343.8300000000006,0.09000000000321556,7997.71,0.0,1.78,2259.2752431048343,112.07,112.07,0,361.32,361.32,0.0,12563.0
2,Ampara,PF,25,521411,helped,a,2,2.0,7.559263766962934,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,0.6750000000000004,48576,0,48576.0,6.027016078078515e-07,0.0,0.6750000000000004,48405.61990142312,0.0,48405.61990142312,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.23579213778641903,-1,0.0,0.0,505.6399999999991,0.0999999999954058,7997.87,0.0,1.688,3872.3084572644257,164.69,164.69,0,510.47,510.47,0.0,15490.0
3,Ampara,PF,50,521411,helped,a,2,2.0,8.021197682071167,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,0.7550000000000004,43256,0,43256.0,7.201940942466139e-07,0.0,0.7550000000000004,46564.759777173065,0.0,46564.759777173065,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.18823367839928104,-1,0.0,0.0,262.1300000000083,0.09000000000857195,7997.92,0.0,1.686,2133.3979475005344,85.51,85.51,0,286.32,286.32,0.0,13038.0
4,Ampara,PF,100,521411,helped,a,2,2.0,8.61601669604615,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,1.1150000000000009,24295,0,24295.0,7.358516290691136e-07,0.0,1.1150000000000009,34899.58539824348,0.0,34899.58539824348,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.04042632659464406,-1,0.0,0.0,12.900000000012982,0.09999999999303692,7998.02,0.0,2.265,113.55910005400011,4.24,4.24,0,18.94,18.94,0.0,2792.0
5,Ampara,PF,250,521411,helped,a,2,2.0,9.196914413949381,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,1.0350000000000006,25789,0,25789.0,8.580049514140208e-07,0.0,1.0350000000000006,34982.58520005355,0.0,34982.58520005355,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.05235598719471334,-1,0.0,0.0,23.54999999999475,0.09000000000916147,7998.1,0.0,2.225,220.90988422301584,7.72,7.72,0,32.58,32.58,0.0,3498.0
6,Ampara,PF,500,521411,helped,a,2,2.0,10.304290237838977,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,0.6750000000000004,48508,0,48508.0,9.926035785544327e-07,0.0,0.6750000000000004,48337.85841111316,0.0,48337.85841111316,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.23501101495062549,-1,0.0,0.0,504.9600000000083,0.09000000000049618,7998.31,0.0,1.688,5271.3657569713705,164.47,164.47,0,509.78,509.78,0.0,15468.0
7,Ampara,PF,1000,521411,helped,a,2,2.0,10.940873140029225,0.0,0.0,0.0,0.0,52153.133146515145,95959.80233399478,298482.23822773044,0.7550000000000004,40498,0,40498.0,1.0756922543972038e-06,0.0,0.7550000000000004,43595.79344960132,0.0,43595.79344960132,1,45477.532103761216,1.0,1.0,0,0,0.006456324099581879,0.16622932799778542,-1,0.0,0.0,245.44000000003075,0.09999999999735802,7998.39,0.0,1.784,2724.7150467932147,80.06,80.06,0,268.09,268.09,0.0,11335.0
8,Ampara,PF,5,521421,helped,a,2,2.0,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,0.7550000000000004,32860,0,32860.0,4.6650499013816605e-07,0.0,0.757,29675.31309219934,0.0,29675.31309219934,2,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.15720187936985852,-1,0.0,0.0,201.869999999998,0.09999999999759716,6263.32,0.0,2.384,1364.8977802578097,65.85,65.85,0,220.91,220.91,0.0,7419.0
9,Ampara,PF,10,521421,helped,a,2,2.0,8.101245134483758,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,1.0350000000000006,20058,0,20058.0,5.749508230308281e-07,0.0,1.0350000000000006,27208.526656430033,0.0,27208.526656430033,1,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.02956621753739543,-1,0.0,0.0,18.289999999997764,0.09000000000049418,6263.48,0.0,2.894,151.16923420944883,6.0,6.0,0,25.31,25.31,0.0,1360.0
10,Ampara,PF,25,521421,helped,a,2,2.0,9.449079708703666,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,0.6750000000000004,36754,0,36754.0,6.027016078078515e-07,0.0,0.685,29675.31309219934,0.0,29675.31309219934,2,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.20094428232267103,-1,0.0,0.0,373.6699999999877,0.09999999999591784,6263.61,0.0,2.548,3577.7050501063522,121.73,121.73,0,381.09,381.09,0.0,8606.0
11,Ampara,PF,50,521421,helped,a,2,2.0,10.026497102588957,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,0.9050000000000006,25555,0,25555.0,7.201940942466139e-07,0.0,0.92,29675.313092199343,0.0,29675.313092199343,2,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.08068749328053416,-1,0.0,0.0,50.92000000000422,0.09000000000573055,6263.65,0.0,2.341,519.6733448272279,16.66,16.66,0,64.34,64.34,0.0,4155.0
12,Ampara,PF,100,521421,helped,a,2,2.0,10.770020870057687,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,0.6450000000000004,39238,0,39238.0,7.358516290691136e-07,0.0,0.654,29675.313092199347,0.0,29675.313092199347,2,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.2326334191230372,-1,0.0,0.0,500.2599999999994,0.09000000000369585,6263.73,0.0,2.55,5456.092572771217,162.87,162.87,0,494.19,494.19,0.0,9793.0
13,Ampara,PF,250,521421,helped,a,2,2.0,11.496143017436724,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,0.8450000000000005,27344,0,27344.0,8.580049514140208e-07,0.0,0.85,29675.31309219935,0.0,29675.31309219935,2,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.10014035137351504,-1,0.0,0.0,87.61999999998972,0.09000000000887537,6263.79,0.0,2.32,1023.9614585629708,28.64,28.64,0,104.35,104.35,0.0,5045.0
14,Ampara,PF,500,521421,helped,a,2,2.0,12.880362797298721,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,0.9650000000000006,23152,0,23152.0,9.926035785544327e-07,0.0,0.984,29675.313092199336,0.0,29675.313092199336,2,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.056249814700362194,-1,0.0,0.0,29.850000000000907,0.09000000000159508,6263.95,0.0,2.508,391.8206362938388,9.78,9.78,0,39.71,39.71,0.0,2671.0
15,Ampara,PF,1000,521421,helped,a,2,2.0,13.67609142503653,0.0,0.0,0.0,0.0,52153.133146515145,75151.84519596056,233759.24517809914,1.0350000000000006,20276,0,20276.0,1.0756922543972038e-06,0.0,1.0350000000000006,27504.242022423736,0.0,27504.242022423736,1,45477.532103761216,1.0,1.0,0,0,0.007295585836639659,0.032523473338706664,-1,0.0,0.0,18.500000000003816,0.09000000000039537,6264.02,0.0,2.894,258.06784519049154,6.07,6.07,0,25.6,25.6,0.0,1375.0
16,Ampara,PF,5,521431,helped,a,2,2.0,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,106024.78160131093,329789.2799926544,1.1150000000000009,24922,0,24922.0,4.6650499013816605e-07,0.0,1.1150000000000009,35800.26619860152,0.0,35800.26619860152,1,45477.532103761216,1.0,1.0,0,0,0.006142233217965426,0.10596995511277851,-1,0.0,0.0,13.249999999996167,0.09999999999910773,8836.34,0.0,0.942,72.1761997449158,4.35,4.35,0,19.45,19.45,0.0,12530.0
17,Ampara,PF,10,521431,helped,a,2,2.0,6.480996107587006,0.0,0.0,0.0,0.0,52153.133146515145,106024.78160131093,329789.2799926544,1.1150000000000009,27452,0,27452.0,5.749508230308281e-07,0.0,1.1150000000000009,39434.59223513398,0.0,39434.59223513398,1,45477.532103761216,1.0,1.0,0,0,0.006142233217965426,0.12275075138831469,-1,0.0,0.0,14.540000000005085,0.09000000000180958,8836.57,0.0,0.868,96.30760215877586,4.78,4.78,0,21.35,21.35,0.0,14985.0
18,Ampara,PF,25,521431,helped,a,2,2.0,7.559263766962934,0.0,0.0,0.0,0.0,52153.133146515145,106024.78160131093,329789.2799926544,0.9650000000000006,31369,0,31369.0,6.027016078078515e-07,0.0,0.9650000000000006,40355.983375488766,0.0,40355.983375488766,1,45477.532103761216,1.0,1.0,0,0,0.006142233217965426,0.15243958790898376,-1,0.0,0.0,45.949999999997075,0.09000000000117542,8836.74,0.0,0.899,353.8491369315128,15.05,15.05,0,60.22,60.22,0.0,16950.0
19,Ampara,PF,50,521431,helped,a,2,2.0,8.021197682071167,0.0,0.0,0.0,0.0,52153.133146515145,106024.78160131093,329789.2799926544,0.8450000000000005,38781,0,38781.0,7.201940942466139e-07,0.0,0.8450000000000005,45237.74581927476,0.0,45237.74581927476,1,45477.532103761216,1.0,1.0,0,0,0.006142233217965426,0.20987624813020087,-1,0.0,0.0,127.8699999999908,0.09000000000088587,8836.8,0.0,0.869,1042.5150627387156,41.78,41.78,0,151.6,151.6,0.0,21714.0
20,Ampara,PF,100,521431,helped,a,2,2.0,8.61601669604615,0.0,0.0,0.0,0.0,52153.133146515145,106024.78160131093,329789.2799926544,1.0350000000000006,30335,0,30335.0,7.358516290691136e-07,0.0,1.0350000000000006,41149.2001257755,0.0,41149.2001257755,1,45477.532103761216,1.0,1.0,0,0,0.006142233217965426,0.1438191349872553,-1,0.0,0.0,27.679999999993342,0.09999999999989666,8836.91,0.0,0.861,243.31631149628592,9.08,9.08,0,38.31,38.31,0.0,16871.0
21,Ampara,PF,250,521431,helped,a,2,2.0,9.196914413949381,0.0,0.0,0.0,0.0,52153.133146515145,106024.78160131093,329789.2799926544,0.9650000000000006,34558,0,34558.0,8.580049514140208e-07,0.0,0.9650000000000006,44458.60797252513,0.0,44458.60797252513,1,45477.532103761216,1.0,1.0,0,0,0.006142233217965426,0.17531752629994163,-1,0.0,0.0,50.640000000002054,0.09999999999943303,8837.0,0.0,0.851,474.4688146156675,16.59,16.59,0,66.37,66.37,0.0,19562.0
